name,id
Alessandro Cardelli,17130115
Alessandro De Biagi,17016605
Alessandro Mancini,17016634
Andrea Belluzzi,17009046
Andrea Zafferani,17016606
Annamaria Muccioli,17098208
Augusto Michelotti,17009037
Denis Amici,17009057
Denise Bronzetti,17016619
Elena Tonnini,17016613
Enrico Carattoni,17141949
Fabio Berardi,17128823
Federico Pedini Amati,17016633
Filippo Tamagnini,17016602
Francesca Michelotti,17016623
Francesco Morganti,17016599
Franco Santi,17009051
Gerardo Giovagnoli,17002008
Gian Franco Terenzi,17009044
Gian Matteo Zeppa,17016609
Gian Nicola Berti,17016610
Giovanni Francesco Ugolini,17016601
Grazia Zafferani,17134542
Guerrino Zanotti,17009042
Italo Righi,17009047
Ivan Foschi,17016624
Lorella Stefanelli,17009055
Luca Beccari,17130117
Luca Lazzari,17132421
Luca Santolini,17016635
Luigi Mazza,17009049
Manuel Ciavatta,17009052
Marco Gatti,17009041
Marco Podeschi,17016603
Maria Luisa Berti,17016607
Mariella Mularoni,17131642
Marino Riccardi,17016614
Mario Lazzaro Venturini,17009060
Massimo Andrea Ugolini,17130114
Massimo Cenci,17016608
Matteo Fiorini,17016668
Michele Muratori,17016618
Milena Gasperoni,17141952
Mimma Zavoli,17016611
Nicola Renzi,17130112
Nicola Selva,17016627
Oscar Mina,17009050
Paolo Crescentini,17016632
Paride Andreoli,17009036
Remo Giancecchi,17139561
Roberto Ciavatta,17016612
Roberto Venturini,17009058
Roger Zavoli,17018805
Rossano Fabbri,17016604
Simone Celli,17016631
Stefano Canti,17130113
Tony Margiotta,17009043
Valeria Ciavatta,17128826
Vladimiro Selva,17130111
William Giardi,17009056
