name,id
Aadan Xaaji Diiriye dirir,50
Abdillahi Hussein Egeh,4
Abokor C/raxmaan Good,5
Axmed Cabdi Nuur (kijaandhe),6
Axmed Maxamed Diiriye (nac nac),9
Axmed Maxamed Nuur,56
Axmed Xasan Aadan Muuse (Waysa cade),55
Axmed barkhad obsiiye,53
Axmed ducaale bulaale,7
Baar Siciid Faarax,57
Bashe Mohamoud Farah,2
Bashiir Sh. Xuseen Tukaale,32
C/casiis Ismaaciil Ducaale,59
C/kariin Aw Cali Shabeel,60
C/laahi Axmed Yuusuf ( Madar),61
C/qaadir Askar Xasan,33
C/qaadir Jaamac Xaamud,63
C/qaadir Jibriil Tukaale,74
C/qaadir X. Ismaaciil Jirde,62
C/raxmaan Cismaan Caalin,34
C/raxmaan Maxamed Jaamac,19
C/raxmaan Maxamed Jaamac,64
C/raxmaan Muuse Jaamac,30
C/raxmaan Yuusuf Cartan,11
Cabdi Hirad Warfaa,70
Cabdi Maxamuud Jaamac,58
Cabdiraxmaan Maxamed Cabdillaahi (Cirro),1
Cali Maxamed Aadan,12
Cali Obsiiye Diiriye (cali- gabilay),65
Cali Sh. Ibraahin Aareye,67
Cali X.Maxamed Muuse,66
Cali Xasan Maxamed Jaamac (cali marexaan),13
Cali Yuusuf Axmed,3
Cumar Axmed Saleebaan (san wayne),14
Faarax Maxamuud Cabdile,35
Farxaan Maxamed Cali,68
"Hon, C/raxman Maxamed Tanyanle",10
Ibraahim Axmed Haybe,16
Ibraahim Axmed Reygal,17
Ibraahim Caraale Cabdi,72
Ibraahim Jaamac Cali Rayte,18
Ibraahim Mahdi Buubaa,38
Ibraahim Maxamed Xuseen (Dhaa Dheere),73
Jaamac Xasan Aadan,39
Mahdi C/laahi Maxmuud,41
Mahdi Xuseen Cadare,20
Maxamed Axmed Aadan (Wali Xaawo),40
Maxamed Axmed Maxamed (dhakool),76
Maxamed Baaruud Shide,42
Maxamed BarkhadMiigane,77
Maxamed Cali xirsi,22
Maxamed Cismaan Maxamed (bulqas),23
Maxamed Faarax Qabiile,44
Maxamed Saalax Cige,80
Maxamed X. Maxamuud Cumar Xaashi,27
Maxamed X. yuusuf Axmed (waabeye),28
Maxamed Xuseen X. Ciise,26
Maxamed cumar Aadan Jiir,24
Maxamed jaamac Cabdi,25
Maxamed jaamac Cali Guuleed,45
Maxamed yaasiin Sh. Cali,75
Maxamuud Axmed Obsiiye,21
Maxamuud Jaamac Warfaa Diiriye,8
Maxamuud Jaamac X. Cilmi (dable),79
Maxamuud dhunkaal Guutaale,78
Muuse Maxamed Ismaaciil (hoos-u- jeed),46
Naasir X. cali Shire,47
Saleebaan Cawad Cali (bukhaari),48
Saleebaan Yuusuf Cali Koore,81
Siciid Cartan Cismaan faarax,82
Siciid Cilmi Rooble,29
Siciid Maxamed Cilmi,49
Siciid Warsame Ismaaciil (Gaani),52
Xaamud Cismaan Cigaal,31
Xaashi Xuseen Caabi,36
Xamse Maxamed Gaada wayne,15
Xasan Cawaale Caynaan,69
Xasan Muuse Hufane (Karaamo),54
Xuseen Ismaaciil yuusuf,71
Xuseen Maxamed Cige,37
Yaasiin Cali Warsame,43
hon. aadan muxumed hoori (mataan),51
