name,id
Aaron Motsoaledi,pakishe-aaron-motsoaledi
Abinaar Modikela Matlhoko,abinaar-modikela-matlhoko
Abram Molefe Mudau,abram-molefe-mudau
Agnes Daphne Noluthando Qikani,agnes-noluthando-daphne-qikani
Ahmed Munzoor Shaik Emam,ahmed-munzoor-shaik-emam
Alan Ross Mcloughlin,alan-ross-mcloughlin
Amos Fish Mahlalela,amos-fish-mahlalela
Amos Masondo,nkosiyakhe-amos-masondo
Anchen Dreyer,anchen-margaretha-dreyer
Anchen Margaretha Dreyer,anchen-margaretha-dreyer
Andrew Frans Madella,andrew-frans-madella
Andrew Grant Whitfield,andrew-grant-whitfield
Andricus Pieter Van der Westhuizen,andricus-pieter-van-der-westhuizen
Andries Nel,andries-carl-nel
Angela Thokozile Didiza,angela-thokozile-didiza
Angelina Molebatsi,maapi-angelina-molebatsi
Angie Motshekga,matsie-angelina-motshekga
Annelie Lotriet,annelie-lotriet
Annette Lovemore,annette-theresa-lovemore
Annette Steyn,annette-steyn
Annette Theresa Lovemore,annette-theresa-lovemore
Anton De Waal Alberts,anton-de-waal-alberts
Archibold Mzuvukile Figlan,a-m-figlan
Asanda Matshobeni,asanda-matshobeni
Ayanda Dlodlo,ayanda-dlodlo
Baleka Mbete,baleka-mbete
Bantu Holomisa,bantubonke-harrington-holomisa
Bantubonke Harrington Holomisa,bantubonke-harrington-holomisa
Barbara Thomson,barbara-thomson
Bathabile Dlamini,bathabile-olive-dlamini
Beatrice Thembekile Ngcobo,beatrice-thembekile-ngcobo
Beauty Nomvuzo Dlulane,beauty-nomvuzo-dlulane
Belinda Bozzoli,belinda-bozzoli
Benedict Anthony Duke Martins,benedict-anthony-duke-martins
Bennet Mzwenqaba Bhanga,bennet-mzwenqaba-bhanga
Bertha Peace Mabe,bertha-peace-mabe
Beverley Lynnette Abrahams,beverley-lynette-abrahams
Bheki Cele,bhekokwakhe-hamilton-cele
Bhekizizwe Abram Radebe,bhekiziswe-abram-radebe
Blade Nzimande,bonginkosi-emmanuel-nzimande
Bongani Michael Mkongi,bongani-michael-mkongi
