name,id
AHN Cheolsoo,19621122
AHN Gyu Baek,1961196
AHN Hong Joon,19511109
AHN Hyo Dae,19551128
AHN Sangsoo,ahn-sangsoo
AN Min Suk,1966164
BAE Jae Jeung,1968212
BAEK Jae Hyun,19511115
BAEK Kun Ki,19501102
BOO Jwahyun,19561116
BYUN Jae Ill,19481129
BYUNG Doo Min,1958170
Bae Duk Kwang,bae-duk-kwang
Bak Maeng Woo,bak-maeng-woo
CHANG Byoung Wan,19521123
CHANG Ha Na,197729
CHANG Yoon Seok,1950199
CHIN Young,1950136
CHO Hae Jin,19631127
CHO Hyun Yong,19451101
CHO Jeong Sik,19631126
CHO Kyoung-tae,1968139
CHO Myung Chul,19591136
CHO Won jin,19591111
CHOI Bong Hong,19421169
CHOI Dong-ic,19621112
CHOI Jae Cheon,1963188
CHOI Jae Sung,1965198
CHOI Kyu Sung,1950196
CHOI Kyunghwan,19551143
CHOI Minhee,1960217
CHOI Won Sik,choi-won-sik
CHOO Mi Ae,1958211
CHOUNG Byoung-gug,choung-byoung-gug
CHUN Jung-bae,19541106
CHUN Soon Ok,1953218
CHUNG Doo-un,1957191
CHUNG Hee Soo,19531123
CHUNG MI KYUNG,196528
CHUNG Moon Hun,1966167
CHUNG Sye-kyun,1950181
CHUNG Woo Taik,19531117
CHYUNG Hojoon,1971140
Chung Ui Hwa,19481123
DO Jong Hwan,19551145
EUN Soo Mi,196328
HA Tae Keung,1968138
HAM Jin Gyu,19591124
HAN Jeoung Ae,196529
HAN Ki Ho,19521135
HAN Sun Kyo,19591125
HONG Eui Rak,19551146
HONG Ihk Pyo,1967139
HONG Il Pyo,19561109
HONG Ji Man,1968141
HONG Jong Haak,19591139
HONG Moon Jong,19551153
HONG Moon Pyo,194719
HONG Young-pyo,19571126
HWANG Jin Ha,19461131
HWANG Ju-hong,19521141
HWANG Woo Yea,19471117
HWANG Young Cheul,1965162
Hong Chul Ho,hong-chul-ho
"Hwang, In Ja",1955210
IN Jae Keun,1953215
IN-SOOK PARK,194828
JANG Jung-eun,1967213
JEON Hae Cheol,19621104
JEON Jeong Hee,1960216
JEONG Jinhoo,19571151
JEONG Kab Yoon,1950188
JHUN Ha Jin,19581115
JIN Sun Mee,196723
JIN Sung Joon,1967154
JOO Ho Young,19601113
JOO Seung Yong,19521139
JOO Young Soon,19461137
JUN Byung Hun,1958172
JUNG Cheong Rae,19651109
JUNG Soo-sung,19461135
JUNG Sung Ho,19621103
Jeong Yong Ki,1962142
KANG Chang Hee,19461111
KANG Chang-il,19521149
KANG Dong Won,19531120
KANG Eunhee,1964213
KANG Ghil Boo,19421164
KANG Gi Jung,1964154
KANG Gi Yun,19601167
KANG Seoghoon,1964171
KANG Seok Ho,19551112
KIL Jeong Woo,19551119
KIM Choon Jin,19531121
KIM Do Eup,1964174
KIM Dongcheol,19551151
KIM Dongwan,19581130
KIM Eul Dong,194526
KIM Gi Juhn,1957139
KIM Gwang Lim,19481132
KIM Hack Yong,19611113
KIM Han Gil,19531101
KIM Han Pyo,19541123
KIM Hee Jung,1971214
KIM Hee-kuk,19581100
KIM Hoe Sun,19551120
KIM Hyun,196226
KIM Jae Kyung,19611132
KIM Jae Yun,19651105
KIM Jaewon,1964196
KIM Jang-sil,19561133
KIM Je Nam,1963211
KIM Jin Tae,1964183
KIM Jong Hoon,19521114
KIM Jong Tae,19491120
KIM Jung Hoon,kim-jung-hoon
KIM Jung Rok,19511112
KIM Ki Sik,1966174
KIM Ki Sun,19521133
KIM Kwan Young,196916
KIM Kwang Jin,198113
KIM Kyung Hyub,19621100
KIM Min-ki,1966166
KIM Moo Sung,1951151
KIM Myung Yeon,1964179
KIM Sang Hee,1954213
KIM Sang Hoon,1963196
KIM Sang Min,1973110
KIM Se Yeon,1972113
KIM Seung Nam,1966172
KIM Sung Chan,19541122
KIM Sung Ju,1964191
KIM Sung Tae,1958193
KIM Sunggon,19521138
KIM Tae Heum,19631112
KIM Tae Ho,19621110
KIM Tae Won,19511102
KIM Tae-nyeon,1965191
KIM Tae-whan,19431139
KIM Woo Nam,19551144
KIM Yong-ik,19521151
KIM Young Hwan,19551102
KIM Young Joo,kim-young-joo
KIM Young Woo,1967149
KIM Yunduk,1966170
KIM Yung Rok,19551138
"KIM, Yongtae",1968136
KWEON Seong Dong,19601157
KWON Eun Hee,195928
KYUNG Dae Soo,19581127
Kim Je Sik,kim-je-sik
"Kim, Yong Nam",1970125
LEE Byung Suk,19521108
LEE Cha Ik,19551127
LEE Chan-yeol,19591117
LEE Cheol Woo,lee-cheol-woo
LEE Choon Suak,1963117
LEE Elisa,1954215
LEE Hack Young,19521132
LEE Hae Chan,19521128
LEE Hag Jae,19641105
LEE Hahn Koo,1945180
LEE Hansung,19571154
LEE Hun Seung,1963191
LEE Hyun-jae,19491115
LEE In-young,1964170
LEE Jae Oh,1945194
LEE Jae Young,lee-jae-young
LEE Jang Woo,1965187
LEE Jasmine,197728
LEE Jin Bok,19571120
LEE Jong Jin,1950187
LEE Jong Kul,19571101
LEE Ju-young,19511108
LEE Kanghoo,19531115
LEE Koon Hyon,19521109
LEE Lee Jae,19591126
LEE Man-woo,19501100
LEE Mi Kyung,lee-mi-kyung
LEE Myoung Su,19551133
LEE No Keun,19541103
LEE Sang Il,19611135
LEE Sang Min,19581111
LEE Sanng Jik,19631115
