name,id
Abuk Malual Aken,55
Abuk Payit Ayik,56
Achol Barouk Akasha,57
Adeng Leek Deng,58
Agnes Kwaje Lasuba,6
Agyou Agyou Thiep,59
Akon Bol Akok,60
Akon Diang Athian,62
Akot Dau Niyok,63
Akuot Deng Kawal,50
Aleu Ayieny Aleu,19
Alfred Wol Acwal,61
Andrew Okong Ayom,18
Angelina Nyamouka Magoun,26
Angelo Lokinga Lohita,64
Angoryang Mark Loifidi,65
Anthony Lino Makana,4
Arop Madut Arop,66
Asha Abboz Akuei,54
Awut Deng Achuil,5
Aya Janet Alex,67
Bangout Amum Okiech,17
Barnaba Marial Benjamin,7
Barnardo Kpasira Martin,71
Bataria Mirror Maker,68
Beatrice Aber Samson,69
Bellario Ahoy Ngong,73
Benjamin Malek Alier,70
Betty Achan Ogwaro,53
Bidali Moses Onesimo,72
Bul Andrea Cosmas,74
Charles Majak Alier,75
Charles Wello Onyony,76
Daniel Awet Akot,3
Daniel Deng Monydit,23
David Deng Athorbei,8
David Gai Chan,78
David Okuer Akwany,37
David Unyo Demey,79
David Yien Bilieth,80
Debora Ajok Garang,30
Deng Dau Deng,81
Dengtiel A. Kur,22
Dousman Joyce James,82
Dr. David Nailo Mayo,77
Dr. Luka T. Monoja,11
Dr. Martha Martin Dak,31
Dr. Richard K. Mulla,152
Dr. Riek Machar Teny,167
Dr. Theophilus Ochang Lotti,160
Elias Mathuc,83
Elizabeth Adut Mel,84
Elizabeth Nyaluac Tap,85
Elizabeth Nyawac Chol,87
Emelia Aluel Bol,86
Fatima Nyawang Biliu,88
Festo Faustino Kumba,89
Francis Lokurnyang Angou,90
Gadwani Lopuke Cormoi,96
Garang Deng Akong,91
Gathuak Riak Jak,93
Gatwech Lam Puoch,92
George Costa Faustino,94
Gier Chuang Aluong,9
Gordon Matot Tut,51
Grace Amo Alex,95
Henry Dilah Odwar,28
Henry Omai Akolawin,38
Henry Stephen Danga,97
Ismail Mathew Mukhter,98
Jacob Dau Kuol,99
James Gatkur Wishierbal,100
James Janka Duku,32
James Kok Ruea,10
James Kueth Chol,101
James Lual Deng,27
James Reat Gony,35
James Wani Igga,1
Jasmine Samuel Adakayi,46
John Chol Machar,102
John Ivo Mounto,103
John Jok Chol,104
Josephine Napwon Cosmos,105
Joy Kwaje Eluzai,24
Julius Ajeo Moilinga,106
Juma AlI Malau,107
Juma Amiro Dobo,108
June Malek Kur,109
Kom Kom Geng,25
Kong Dak Jishlive,110
Kornelio Mawien Dhor,111
Kuany Ayom Deng,112
Kuony War Jok,113
Kuot Deng Kuot,114
Kur Akol Deng,39
Kutin Bayak Gil,43
Listisia Ihure Santino,115
Lucy Iyaya Loki,42
Machok Majong Jong,116
Madalena Pita Emilion,117
Madut Biar Yel,12
Majok Dut Muorwel,119
Majok Yak Majok,118
Maker Deng Malou,120
Manasseh Magok Rundial,121
Mark Lotede Lowi,122
Mark Nyipouch Ubong,123
Martha Akuany Deng,125
Martha Atong Mansor,126
Martha Ayuek Yac,132
Martin Ohuro Okeruk,127
Mary Atong Bak,47
Mary Bicensio Wani,130
Mary Kiden Enoka,49
Mary Kiden Kimbo,36
Mary Nawai Martin,48
Mary Nyaulang Ret,129
Mary Puru Michael,128
Mary Rero Jwac,124
Mat Ron War Roy,131
Mel Wal Achien Yor,133
Michael Makuei Lueth,13
Michael Muot Dieu,134
Mohammed Ahmed Musa,135
Monica Ayen Maguat,136
Negere Joseph Paciko,138
Ngong Deng Gum,52
Nhial Deng Nhial,14
Nibol Daniel Dhieu,139
Nyachut Arok,137
Nyalok Tiong Gatluak,15
Nyanyang Lok Rich,140
Nyibol Bol Matip,141
Ohidei Victor Omuho,142
Onyoti Adigo Nyikwac,2
Parmena Awerial Along,40
Pascal Bandindi Uru,29
Paul Mayom Akec,16
Paulino Laku Kedia,145
Peter Bashir Gbandi,143
Peter Longole Kuam,146
Philip Thon Leek,147
Prof. Barri A. Wanji,20
Prof. Paul Logale Jumi,144
Ramadan El Amin,148
Rebecca Atuet Makuet,149
Rejoice Bauda Simon,151
Remijo Lasu Peter,44
Rev. Mathew Mathiang Deang,34
Riek Maniel Ayuel,150
Ruai Kuol Jal,45
Samuel Aban Achin,153
Samuel Duwar Deng,154
Sebur John Mansuk,155
Simon Deng Duang,156
Simon Malual Deng,157
Stephen Ajongo Akol,33
Suzan Wasuk Sokiri,158
Timothy Taban Tuch,159
Timothy Tut Chuol,21
Tongun Lado Rombek,161
Tulio Odongi Ayahus,162
Umjuma Juma Sabil,41
Victoria Adhar Arop,163
Vosca Martin Kumbori,164
Weu Kong Koyang,165
Zakaria Matur Makuer,166
