id,name,sort_name,given_name,family_name,area,council,party,faction,image,term,source,birth_date,gender,council_id,start_date,end_date
801,Fabio Abate,"Abate, Fabio",Fabio,Abate,TI,S,FDP-Liberale,RL,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2565.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=801,,,,,
3867,Andreas Aebi,"Aebi, Andreas",Andreas,Aebi,BE,N,SVP,V,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2670.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=3867,,,,,
4049,Matthias Aebischer,"Aebischer, Matthias",Matthias,Aebischer,BE,N,SP,S,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2760.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4049,,,,,
4053,Thomas Aeschi,"Aeschi, Thomas",Thomas,Aeschi,ZG,N,SVP,V,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2758.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4053,,,,,
1131,Evi Allemann,"Allemann, Evi",Evi,Allemann,BE,N,SP,S,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2583.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=1131,,,,,
1256,Hans Altherr,"Altherr, Hans",Hans,Altherr,AR,S,FDP-Liberale,RL,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2645.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=1256,,,,,
4107,Cesla Amarelle,"Amarelle, Cesla",Cesla,Amarelle,VD,N,SP,S,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3014.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4107,,,,,
4090,Céline Amaudruz,"Amaudruz, Céline",Céline,Amaudruz,GE,N,SVP,V,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2796.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4090,,,,,
1288,Viola Amherd,"Amherd, Viola",Viola,Amherd,VS,N,CVP,CE,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2646.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=1288,,,,,
1135,Adrian Amstutz,"Amstutz, Adrian",Adrian,Amstutz,BE,N,SVP,V,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2584.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=1135,,,,,
4058,Jacqueline Badran,"Badran, Jacqueline",Jacqueline,Badran,ZH,N,SP,S,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2762.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4058,,,,,
4138,Guillaume Barazzone,"Barazzone, Guillaume",Guillaume,Barazzone,GE,N,CVP,CE,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3040.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4138,,,,,
4088,Isidor Baumann,"Baumann, Isidor",Isidor,Baumann,UR,S,CVP,CE,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2793.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4088,,,,,
1138,Martin Bäumle,"Bäumle, Martin",Martin,Bäumle,ZH,N,glp,GL,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2585.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=1138,,,,,
305,Didier Berberat,"Berberat, Didier",Didier,Berberat,NE,S,SP,S,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2370.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=305,,,,,
350,Maria Bernasconi,"Bernasconi, Maria",Maria,Bernasconi,GE,N,SP,S,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2436.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=350,,,,,
4102,Kathrin Bertschy,"Bertschy, Kathrin",Kathrin,Bertschy,BE,N,glp,GL,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3016.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4102,,,,,
277,Peter Bieri,"Bieri, Peter",Peter,Bieri,ZG,S,CVP,CE,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2356.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=277,,,,,
15,Max Binder,"Binder, Max",Max,Binder,ZH,N,SVP,V,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2270.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=15,,,,,
4030,Prisca Birrer-Heimo,"Birrer-Heimo, Prisca",Prisca,Birrer-Heimo,LU,N,SP,S,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2743.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4030,,,,,
3871,Pirmin Bischof,"Bischof, Pirmin",Pirmin,Bischof,SO,S,CVP,CE,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2674.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=3871,,,,,
3831,Ivo Bischofberger,"Bischofberger, Ivo",Ivo,Bischofberger,AI,S,CVP,CE,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2667.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=3831,,,,,
4050,Thomas Böhni,"Böhni, Thomas",Thomas,Böhni,TG,N,glp,GL,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2756.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4050,,,,,
26,Roland F. Borer,"Borer, Roland F.",Roland F.,Borer,SO,N,SVP,V,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2272.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=26,,,,,
28,Toni Bortoluzzi,"Bortoluzzi, Toni",Toni,Bortoluzzi,ZH,N,SVP,V,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2274.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=28,,,,,
3872,Jacques Bourgeois,"Bourgeois, Jacques",Jacques,Bourgeois,FR,N,FDP-Liberale,RL,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2675.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=3872,,,,,
4067,Heinz Brand,"Brand, Heinz",Heinz,Brand,GR,N,SVP,V,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2772.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4067,,,,,
823,Pascale Bruderer Wyss,"Bruderer Wyss, Pascale",Pascale,Bruderer Wyss,AG,S,SP,S,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2573.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=823,,,,,
307,Toni Brunner,"Brunner, Toni",Toni,Brunner,SG,N,SVP,V,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2372.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=307,,,,,
4025,Roland Rino Büchel,"Büchel, Roland Rino",Roland Rino,Büchel,SG,N,SVP,V,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2740.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4025,,,,,
1104,Jakob Büchler,"Büchler, Jakob",Jakob,Büchler,SG,N,CVP,CE,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2588.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=1104,,,,,
453,André Bugnon,"Bugnon, André",André,Bugnon,VD,N,SVP,V,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2477.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=453,,,,,
4101,Christine Bulliard-Marbach,"Bulliard-Marbach, Christine",Christine,Bulliard-Marbach,FR,N,CVP,CE,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3017.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4101,,,,,
4086,Yannick Buttet,"Buttet, Yannick",Yannick,Buttet,VS,N,CVP,CE,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2790.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4086,,,,,
4070,Martin Candinas,"Candinas, Martin",Martin,Candinas,GR,N,CVP,CE,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2770.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4070,,,,,
3830,Marina Carobbio Guscetti,"Carobbio Guscetti, Marina",Marina,Carobbio Guscetti,TI,N,SP,S,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2666.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=3830,,,,,
4075,Andrea Caroni,"Caroni, Andrea",Andrea,Caroni,AR,N,FDP-Liberale,RL,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2775.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4075,,,,,
3828,Ignazio Cassis,"Cassis, Ignazio",Ignazio,Cassis,TI,N,FDP-Liberale,RL,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2664.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=3828,,,,,
4108,Isabelle Chevalley,"Chevalley, Isabelle",Isabelle,Chevalley,VD,N,glp,GL,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3604.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4108,,,,,
4007,Max Chopard-Acklin,"Chopard-Acklin, Max",Max,Chopard-Acklin,AG,N,SP,S,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2734.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4007,,,,,
4135,Raymond Clottu,"Clottu, Raymond",Raymond,Clottu,NE,N,SVP,V,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3037.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4135,,,,,
4026,Raphaël Comte,"Comte, Raphaël",Raphaël,Comte,NE,S,FDP-Liberale,RL,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2741.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4026,,,,,
3914,Robert Cramer,"Cramer, Robert",Robert,Cramer,GE,S,GPS,G,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2717.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=3914,,,,,
1133,Christophe Darbellay,"Darbellay, Christophe",Christophe,Darbellay,VS,N,CVP,CE,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2592.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=1133,,,,,
1124,Dominique de Buman,"de Buman, Dominique",Dominique,de Buman,FR,N,CVP,CE,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2593.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=1124,,,,,
4051,Thomas de Courten,"de Courten, Thomas",Thomas,de Courten,BL,N,SVP,V,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2757.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4051,,,,,
4079,Fathi Derder,"Derder, Fathi",Fathi,Derder,VD,N,FDP-Liberale,RL,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2788.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4079,,,,,
61,Verena Diener Lenz,"Diener Lenz, Verena",Verena,Diener Lenz,ZH,S,glp,GL,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2044.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=61,,,,,
4068,Roland Eberle,"Eberle, Roland",Roland,Eberle,TG,S,SVP,V,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2774.jpg,50,http://www.parlament.ch/d/suche/Seiten/biografie.aspx?biografie_id=4068,,,,,
