id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
3923,Ada Marra,,,S,s,VD,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2726.jpg,
1135,Adrian Amstutz,,,V,v,BE,National Council,49,2012-01-22,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2584.jpg,
3907,Adèle Thorens Goumaz,,,G,g,VD,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2710.jpg,
4111,Alain Ribaux,,,RL,rl,NE,National Council,49,2013-08-31,,,male
4100,Albert Rösti,,,V,v,BE,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3010.jpg,
4054,Albert Vitali,,,RL,rl,LU,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2761.jpg,
3908,Alec von Graffenried,,,G,g,BE,National Council,49,2015-06-05,,,male
224,Alexander Tschäppät,,,S,s,BE,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2328.jpg,
3887,Alfred Heer,,,V,v,ZH,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2690.jpg,
4128,Aline Trede,,,G,g,BE,National Council,49,2013-03-04,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3032.jpg,
4096,Alois Gmür,,,CE,ce,SZ,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3001.jpg,
4075,Andrea Caroni,,,RL,rl,AR,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2775.jpg,
3880,Andrea Martina Geissbühler,,,V,v,BE,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2683.jpg,
3867,Andreas Aebi,,,V,v,BE,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2670.jpg,
97,Andreas Gross,,,S,s,ZH,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2296.jpg,
453,André Bugnon,,,V,v,VD,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2477.jpg,
3829,Andy Tschümperlin,,,S,s,SZ,National Council,49,2012-02-20,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2665.jpg,
4136,Anne Mahrer,,,G,g,GE,National Council,49,2013-11-28,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3038.jpg,
3889,Antonio Hodgers,,,G,g,GE,National Council,49,2013-11-26,,,male
4093,Balthasar Glättli,,,G,g,ZH,National Council,49,2013-11-27,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3003.jpg,
4121,Barbara Gysi,,,S,s,SG,National Council,49,2011-12-12,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3026.jpg,
3904,Barbara Schmid-Federer,,,CE,ce,ZH,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2707.jpg,
3882,Bastien Girod,,,G,g,ZH,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2685.jpg,
1156,Bea Heim,,,S,s,SO,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2601.jpg,
4059,Beat Flach,,,GL,gl,AG,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2765.jpg,
4032,Beat Jans,,,S,s,BS,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2745.jpg,
4142,Beat Walti,,,RL,rl,ZH,National Council,49,2014-06-02,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3044.jpg,
4082,Bernhard Guhl,,,BD,bd,AG,National Council,49,2015-05-04,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2785.jpg,
4084,Bruno Pezzatti,,,RL,rl,ZG,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2784.jpg,
526,Bruno Zuppiger,,,V,v,ZH,National Council,49,2012-09-10,,,male
1120,Carlo Sommaruga,,,S,s,GE,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2632.jpg,
404,Caspar Baader,,,V,v,BL,National Council,49,2014-07-31,,,male
4107,Cesla Amarelle,,,S,s,VD,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3014.jpg,
1125,Chantal Galladé,,,S,s,ZH,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2597.jpg,
1139,Christa Markwalder,,,RL,rl,BE,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2614.jpg,
1150,Christian Levrat,,,S,s,FR,National Council,49,2012-05-28,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2613.jpg,
4118,Christian Lohr,,,CE,ce,TG,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3024.jpg,
3895,Christian Lüscher,,,RL,rl,GE,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2698.jpg,
151,Christian Miesch,,,V,v,BL,National Council,49,2014-09-08,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2311.jpg,
3912,Christian Wasserfallen,,,RL,rl,BE,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2715.jpg,
3924,Christian van Singer,,,G,g,VD,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2727.jpg,
4101,Christine Bulliard-Marbach,,,CE,ce,FR,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3017.jpg,
4149,Christine Häsler,,,G,g,BE,National Council,49,2015-06-08,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3051.jpg,
21,Christoph Blocher,,,V,v,ZH,National Council,49,2014-05-31,,,male
542,Christoph Mörgeli,,,V,v,ZH,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2519.jpg,
1133,Christophe Darbellay,,,CE,ce,VS,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2592.jpg,
4131,Claudia Friedl,,,S,s,SG,National Council,49,2013-03-04,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3035.jpg,
3875,Corina Eichenberger-Walther,,,RL,rl,AG,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2678.jpg,
4045,Corrado Pardini,,,S,s,BE,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2751.jpg,
4057,Cédric Wermuth,,,S,s,AG,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2759.jpg,
4090,Céline Amaudruz,,,V,v,GE,National Council,49,,,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2796.jpg,
