name,id
Abas Zuberi M Mtemvu,1348
Abdalla Haji Ali,1709
Abdallah Rished Mohamed,1049
Abdallah Shamis Zuhura,1050
Abdallah Sharia Ameir,1674
Abdallah Shaweji Alhaj,1051
Abdul Jabiri Marombwa,1427
Abdul Rajab Mteketa,1698
Abdul-Aziz Mohamed Abood,1648
Abdulaziz Abdi Mohammed,1052
Abdulkarim Esmail Hassan Shah,1229
Abdulsalaam Selemani Amer,1649
Abia Nyabakari Muhama,1565
Aboud Awesu Khamis,1054
Adam Kighoma Ali Malima,1426
Aeshi Khalfan Hilaly,1657
Aggrey Deaisile Joshua Mwanri,1192
Agness Elias Hokororo,1566
Agripina Zaituni Buyogera,1746
Ahmed Ally Salum,1444
Ahmed Juma Ngwali,1711
Ahmed Mabkhut Shabiby,1411
Al-Qassmy Salum Ally Khadija,1487
Al-Shaymaa John Kwegyir,1493
Albert Obama Ntabaliba,1753
Ali Haji Ali,1472
Ali Iddi Seif,1686
Ali Khamis Kijakazi,1055
Ali Khamis Seif,1382
Ali Mjaka Omary,1056
Ali Omar Salim,1283
Ali Othman Fatma,1342
Ali Said Fatma,1057
Ali Salum Khamis,1058
Ali Tarab Dr. Ali,1359
Aliko Nikusuma Kibona,1642
Ally Abdully Mohamed,1060
Ally Mohamed Keissy,1741
Ally Sleyum Aziza,1059
Alphaxard Kangi Ndege Lugola,1687
Ambassador Khamis Juma Suedi Kagasheki,1356
Ame Pandu Ame,1365
Ameir Ahmada Shaibu,1061
Ameir Ali Ameir,1400
Amina Amour Abdulla,1767
Amina Andrew Clement,1718
Amina Mohamed Mwidau,1618
Amina Nassoro Makilagi,1567
Amos Gabriel Makalla,1733
Anastazia James Wambura,1304
Andrew John Chenge,1029
Angellah Jasmine Mbelwa Kairuki,1568
Anna Margareth Abdallah,1028
AnnaMaryStella John Robert Mallac,1594
Anne Kilango Malecela,1111
Anne Semamba Makinda,1268
Antony Gervase Mbassa,1635
Asha Mohamed Omar,1569
Asha Mshimba Jecha,1341
Assa Othman Hamad,1759
Assumpter Nshunju Mshama,1673
Athuman Rashid Mfutakamba,1725
Augustino Lyatonga Mrema,1682
Augustino Manyanda Masele,1744
Azza Hillal Hamad,1570
Bafadhili Awadhi Nuru,1478
Bahati Ali Abeid,1053
Bakary Khamis Abubakar,1479
Banyikwa Filipo Prof. Feethan,1358
Bazuka Jacob Robert,1069
Beatrice Matumbo Shellukindo,1450
Benardetha Kasabago Mushashu,1325
Bendera Nkaya Joel,1066
Benedict Ngalama Ole-Nangoro,1494
Bernard Kamillius Membe,1151
Betty Eliezer Machangu,1571
Boma Thecla Lydia,1067
Bozzen S. Zamda,1299
Brg. Gen. Hassan Athumani Ngwilizi,1016
Bukwimba Jeremiah Maselle Lolesia,1556
Burian Salha Dr. Batilda,1068
Capt. George Huruma Mkuchika,1420
Capt. John Damiano Komba,1432
Capt. John Zefania Chiligati,1040
Catherine V. Magige,1572
Cecilia Daniel Paresso,1774
Chambiri Werema Kisyeri,1071
Charles John Poul Mwijage,1633
"Charles Muhangwa ""Mawematatu"" Kitwanga",1684
Chaurembo Said Ania,1473
Chegeni Masunga Dr. Raphael,1142
Cheyo Asimulike Gideon,1018
Cheyo M. Isaac,1247
Chiduo Daudi Dr. Aaron,1072
Chiku Aflah Abwao,1595
Chitalilo Mchele Samuel,1074
Choya Kasazi Anatory,1075
Christina Lissu Mughwai,1596
Christopher Olonyokie Ole-Sendeka,1387
Christowaja Gerson Mtinda,1597
Chubi Saidi Likungu Omar,1076
Clara Diana Mwatuka,1617
Conchesta Leonce Rwamlaza,1598
Cynthia Hilda Ngoye,1201
David Ernest Silinde,1696
David Zacharia Kafulila,1688
Degera Constantine Paschal,1077
Deo Haule Filikunjombe,1627
Deo Kasenyenda Sanga,1631
Deogratias Aloyce Ntukamazina,1632
Derefa Newe Leonard,1078
Desderius John Mipata,1742
Devota Mkuwa Likokola,1309
Dewji Gulamabbas Hasnain,1464
Diallo Mwandu Dr. Anthony,1046
Diana Mkumbo Chilolo,1073
Dr. Abdallah Omar Kigoda,1030
Dr. Abdulla Juma Abdulla Saadalla,1714
Dr. Binilith Satano Mahenge,1354
Dr. Charles John Tizeba,1670
Dr. Christine Gabriel Ishengoma,1555
Dr. Cyril August Chami,1373
Dr. Dalaly Peter Kafumu,1770
Dr. David Mathayo David,1375
Dr. David Mciwa Mallole,1624
Dr. Emmanuel John Nchimbi,1431
Dr. Faustine Engelbert Ndugulile,1622
Dr. Fenella Ephraim Mukangara,1574
Dr. Festus Bulugu Limbu,1044
Dr. Hadji Hussein Mponda,1646
Dr. Hamisi Andrea Kigwangalla,1662
Dr. Harrison George Mwakyembe,1394
Dr. Hussein Ali Mwinyi,1042
Dr. John Pombe Joseph Magufuli,1014
Dr. Lucy Sawere Nkya,1207
Dr. Mary Machuche Mwanjelwa,1579
Dr. Mary Michael Nagu,1009
Dr. Maua Abeid Daftari,1032
Dr. Milton Makongoro Mahanga,1133
Dr. Muhammed Seif Khatib,1008
Dr. Pudenciana Wilfred Kikwembe,1584
Dr. Seif Seleman Rashidi,1656
Dr. Shukuru Jumanne Kawambwa,1424
Dr. Stephen Kebwe Kebwe,1640
Dr. Terezya Pius Luoga Huvisa,1573
Dr. Titus Mlengeya Dismas Kamani,1678
Dunstan Daniel Mkapa,1418
Dunstan Luka Kitandula,1681
Edward Ngoyai Lowassa,1021
Elizabeth Nkunda Batenga,1065
Emmanuel Mussa Meryce,1488
Eng. Christopher Kajoro Chiza,1370
Eng. Gerson Hosea Malangalila Lwenge,1630
Eng. Mohamed Habib Juma Mnyaa,1381
Eng. Ramo Matala Makani,1747
Esmail Hussein Abdullatif,1080
Ester Amos Bulaya,1576
Esther Lukago Midimu Minza,1575
Esther Nicholas Matiko,1599
Eustace Osler Katagira,1357
Ezekia Dibogo Wenje,1734
Ezekiel Magolyo Maige,1439
Faida Mohamed Bakar,1064
Faith Mohamed Mitambo,1658
Fakharia Shomar Khamis,1577
Faki Shamis Bakari,1289
Farrah Ali Col. Saleh,1408
Fatuma Abdallah Mikidadi,1310
Felister Aloyce Bura,1315
Felix Francis Mkosamali,1667
Fereji Abdulhabib Fatma,1469
Feruz Khamis Abdallah,1081
Freeman Aikaeli Mbowe,1260
Fundikira Abdallah Chifu,1082
Galinoma Jones Stephen,1351
Gama Amir Dr. Zainab,1083
Gama M. Lawrence,1084
Gaudence Cassian Kayombo,1433
Gaudentia Mugosi Kabaka,1305
Gembe Benjamini Lephy,1085
George Boniface Taguluvala Simbachawene,1350
Godbless Jonathan Lema,1748
Godfrey Weston Zambi,1397
Goodluck Joseph Ole-Medeye,1758
Gosbert Begumisa Blandes,1457
Grace Sindato Kiwelu,1250
Gregory George Teu,1623
Haji Juma Ali,1459
Haji Juma Sereweji,1227
Haji Khatib Kai,1702
Haji Khatibu Jina,1086
Haji Kombo Mussa,1710
Haji Makame Faki,1731
Haji Mwita Dr. Haji,1087
Haji Yahaya Ussi,1088
Haji Yunus Zuleikha,1340
Halima James Mdee,1339
Halinga Mbeyale Edson,1089
Hamad Ali Hamad,1739
Hamad Rashid Mohamed,1378
Hamad Yussuf Masauni,1671
Hamoud Abuu Jumaa,1737
Haroub Mohamed Shamis,1701
Hasnain Mohamed Murji,1178
Hawa Abdulrahman Ghasia,1419
Hemed Mohammed Hemed,1377
Henry Daffa Shekifu,1663
Herbert James Mntangi,1176
Hezekiah Ndahani Chibulunje,1043
Highness Samson Kiwia,1736
Hoogan Singh Parmukh,1090
Hussein Mussa Mzee,1683
Hussein Nassor Amar,1652
Idd Mohamed Azzan,1346
Iddi Ali Ambassador Seif,1367
Ignas Aloyce Malocha,1691
Innocent Edward Kalogeris,1647
Islam Khamis Salama,1091
Ismail Aden Rage,1726
Issa Kassim Issa,1407
Iwvatta J.R. Ismail,1093
Jaddy Simai Jaddy,1719
Jaku Hashim Ayoub,1760
James Daudi Lembeli,1438
Janet Zebedayo Mbene,1564
Janguo Saidi Athumani,1265
January Yusuf Makamba,1693
Jasson Samson Rweikiza,1699
Jecha Abass Mwadini,1290
Jecha Abbas Mwadini,1363
Jenista Joakim Mhagama,1155
Jerome Dismas Bwanausi,1650
Jitu Vrajlal Soni,1750
Job Yustino Ndugai,1199
John John Mnyika,1621
John Magale Shibuda,1441
John Momose Cheyo,1436
John Paul Lwanji,1447
Joseph Roman Selasini Shao,1636
Josephine Johnson Genzabuke,1329
Josephine Tabitha Changulla,1578
Joshua Samwel Nassari,1773
Joyce John Mukya,1600
Juma Abdallah Njwayo,1421
Juma Ahmad Rajab,1366
Juma Haji Ali,1722
Juma Khamis Shoka,1282
Juma Kombo Yussuf,1094
Juma Omar Riziki,1481
Juma Othman Ali,1720
Juma Said Ali,1291
Juma Selemani Nkamia,1625
Juma Sururu Juma,1729
Kabisa Peter,1095
Kabourou Walid Dr. Amani,1246
Kaboyonga Juma Siraju,1448
Kabwe Zuberi Zitto,1403
Kadika Jadi Mgeni,1476
Kagonji H. Charles,1096
Kahama Bina Janet,1097
Kahama Clement George,1019
Kahatano L. Rhoda,1098
Kahumbi M. Steven,1099
Kaika Saning'o Telele,1344
Kajege Muguta Charles,1390
Kamala Buberwa Dr. Diodorus,1100
Karamagi Mustafa Nazir,1294
Karavina Amani Ally,1101
Kasaka E.M. Njelu,1264
Kasella-Bantu Louise Teddy,1254
Kassim Majaliwa Majaliwa,1637
Kazi Masaba Stephen,1103
Keenja N. Charles,1024
Kevela Jilaoneka Yono Stanley,1355
Khalfan Abdallah Salim,1361
Khalfan Hashim Ramadhani,1104
Khalifa Issa Mohammed,1288
Khalifa Suleiman Khalifa,1287
Khamis Abdallah Vuai,1401
Khamis Hassan Mwajuma,1482
Khamis Hemed Salim,1379
Khamis Juma Zahor,1105
Khamis Mbarouk Sharifa,1106
Khan Parkar Shamim,1031
Khatib Issa Abdisalaam,1033
Khatib Juma Mohamed,1280
Khatib Rajab Hassan,1107
Khatib Said Haji,1705
Kheir Ali Khamis,1713
Kheri Khatib Ameir,1062
Kidawa Hamid Saleh,1223
Kidunda Salim Juma,1108
Kigoda Omar Dr. Aisha,1109
Kigwalilo Chande Hassan,1110
Kijiko Ntibenda Felix,1371
Kikwete Mrisho Jakaya,1015
Kilasi Julio Estherina,1112
Killimbah Hassan Juma,1446
Kimaro Bent Aloyce,1374
Kimbau Omar Halima,1273
Kimbita Godwin Fuya,1460
Kimiti Peter Paul,1113
Kimwanga Adam Mkiwa,1484
Kipole Enock Emmanuel,1114
Kissassi Edington Remidius,1115
Kisyeri Werema Chambiri,1749
Kitine H. B. Hassy,1116
Kiumbwa Makame Mbaraka,1327
Kolimba Haule Stanley,1117
Kombani Ompeshi Celina,1416
