name,id
Allyson Baksh,ALB15
Avinash Singh,ASI13
Christine Kangaloo,CKA01
Clarence Rambharat,CLR15
Daniel Dookie,DDK10
Daniel Solomon,DS911
David Small,DSM13
Dennis Moses,DNM15
Dhanayshar Mahabir,DM13
Foster Cummings,FCU01
Franklin Khan,FKH02
H.R. Ian Roach,HRR13
Hafeez Ali,HFZ15
Jennifer Baptiste-Primus,JBP15
Jennifer Raffoul,JRF15
Khadijah Ameen,KHA15
Lester Henry,LHE76
Melissa Ramkissoon,MRK15
Nadine Stewart,NDS15
Nigel De Freitas,NDF15
Paul Richards,PRI15
Paula Gopee-Scoon,PGO01
Rodger Samuel,RSL10
Sarah Budhu,SBU15
Sophia Chote,SKC15
Stephen Creese,SCR15
Taurel Shrikissoon,TRA14
Vasant Bharath,VBH01
Wade Mark,WMA01
Walede Michael Coppin,WCO15
Wayne Sturge,WST13
