name,wikipedia__tk,party,area,term,source
Necdet Ünüvar,Necdet Ünüvar,Adalet ve Kalkınma Partisi,Adana,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Fatma Güldemet Sarı,"",Adalet ve Kalkınma Partisi,Adana,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Sadullah Kısacık,"",Adalet ve Kalkınma Partisi,Adana,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Talip Küçükcan,Talip Küçükcan,Adalet ve Kalkınma Partisi,Adana,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Mehmet Şükrü Erdinç,Mehmet Şükrü Erdinç,Adalet ve Kalkınma Partisi,Adana,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Elif Doğan Türkmen,"",Cumhuriyet Halk Partisi,Adana,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Zülfikar İnönü Tümer,"",Cumhuriyet Halk Partisi,Adana,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
İbrahim Özdiş,İbrahim Özdiş,Cumhuriyet Halk Partisi,Adana,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Aydın Uslupehlivan,"",Cumhuriyet Halk Partisi,Adana,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Mevlüt Karakaya,Mevlüt Karakaya,Milliyetçi Hareket Partisi,Adana,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Muharrem Varlı,Muharrem Varlı,Milliyetçi Hareket Partisi,Adana,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Seyfettin Yılmaz,Seyfettin Yılmaz,Milliyetçi Hareket Partisi,Adana,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Rıdvan Turan,"",Halkların Demokratik Partisi,Adana,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Meral Danış Beştaş,"",Halkların Demokratik Partisi,Adana,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Ahmet Aydın,Ahmet Aydın (Adıyamanlı),Adalet ve Kalkınma Partisi,Adıyaman,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Adnan Boynukara,"",Adalet ve Kalkınma Partisi,Adıyaman,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
İbrahim Halil Fırat,"",Adalet ve Kalkınma Partisi,Adıyaman,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Salih Fırat,Salih Fırat,Adalet ve Kalkınma Partisi,Adıyaman,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Behçet Yıldırım,"",Halkların Demokratik Partisi,Adıyaman,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Halil Ürün,Halil Ürün (Afyonlu),Adalet ve Kalkınma Partisi,Afyonkarahisar,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Ali Özkaya,"",Adalet ve Kalkınma Partisi,Afyonkarahisar,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Remziye Sıvacı,"",Adalet ve Kalkınma Partisi,Afyonkarahisar,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Mehmet Parsak,"",Milliyetçi Hareket Partisi,Afyonkarahisar,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Burcu Kayıkcı,"",Cumhuriyet Halk Partisi,Afyonkarahisar,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Leyla Zana,Leyla Zana,Halkların Demokratik Partisi,Ağrı,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Berdan Öztürk,"",Halkların Demokratik Partisi,Ağrı,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Dirayet Taşdemir,"",Halkların Demokratik Partisi,Ağrı,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Mehmet Emin İlhan,"",Halkların Demokratik Partisi,Ağrı,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
İlknur İnceöz,İlknur İnceöz,Adalet ve Kalkınma Partisi,Aksaray,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Nevzat Palta,"",Adalet ve Kalkınma Partisi,Aksaray,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Turan Yaldır,"",Milliyetçi Hareket Partisi,Aksaray,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Naci Bostancı,Naci Bostancı,Adalet ve Kalkınma Partisi,Amasya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Sait Yüce,"",Adalet ve Kalkınma Partisi,Amasya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Mustafa Tuncer,"",Cumhuriyet Halk Partisi,Amasya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Yalçın Akdoğan,Yalçın Akdoğan,Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Ahmet Gündoğdu,"",Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Ali İhsan Arslan,"",Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Jülide Sarıeroğlu,"",Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Murat Alparslan,"",Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Ertan Aydın,"",Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Tülay Selamoğlu,Tülay Selamoğlu,Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Ayşe Gülsün Bilgehan,Ayşe Gülsün Bilgehan,Cumhuriyet Halk Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Necati Yılmaz,"",Cumhuriyet Halk Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Tekin Bingöl,Tekin Bingöl,Cumhuriyet Halk Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Aylin Nazlıaka,Aylin Nazlıaka,Cumhuriyet Halk Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Levent Gök,Levent Gök,Cumhuriyet Halk Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Ali Haydar Hakverdi,"",Cumhuriyet Halk Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Bülent Kuşoğlu,Bülent Kuşoğlu,Cumhuriyet Halk Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Yıldırım Tuğrul Türkeş,Yıldırım Tuğrul Türkeş,Milliyetçi Hareket Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Zühal Topcu,Zühal Topcu,Milliyetçi Hareket Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Mustafa Erdem,Mustafa Erdem,Milliyetçi Hareket Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Sırrı Süreyya Önder,Sırrı Süreyya Önder,Halkların Demokratik Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Emrullah İşler,Emrullah İşler,Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Ahmet İyimaya,Ahmet İyimaya,Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Lütfiye Selva Çam,"",Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Vedat Bilgin,Vedat Bilgin,Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Aydın Ünal,"",Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Ayhan Yılmaz,"",Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Mahmut Sami Mallı,"",Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Nevzat Ceylan,"",Adalet ve Kalkınma Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Şenal Sarıhan,"",Cumhuriyet Halk Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Murat Emir,"",Cumhuriyet Halk Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Ahmet Haluk Koç,Ahmet Haluk Koç,Cumhuriyet Halk Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Nihat Yeşil,"",Cumhuriyet Halk Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Şefkat Çetin,"",Milliyetçi Hareket Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Mustafa Mit,"",Milliyetçi Hareket Partisi,Ankara,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Lütfi Elvan,Lütfi Elvan,Adalet ve Kalkınma Partisi,Antalya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Mustafa Köse,"",Adalet ve Kalkınma Partisi,Antalya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Hüseyin Samani,Hüseyin Samani,Adalet ve Kalkınma Partisi,Antalya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Gökcen Özdoğan Enç,"",Adalet ve Kalkınma Partisi,Antalya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Sena Nur Çelik,"",Adalet ve Kalkınma Partisi,Antalya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Niyazi Nefi Kara,Niyazi Nefi Kara,Cumhuriyet Halk Partisi,Antalya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Deniz Baykal,Deniz Baykal,Cumhuriyet Halk Partisi,Antalya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Çetin Osman Budak,"",Cumhuriyet Halk Partisi,Antalya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Mustafa Akaydın,Mustafa Akaydın,Cumhuriyet Halk Partisi,Antalya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Devrim Kök,"",Cumhuriyet Halk Partisi,Antalya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Mehmet Günal,Mehmet Günal,Milliyetçi Hareket Partisi,Antalya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Ahmet Selim Yurdakul,"",Milliyetçi Hareket Partisi,Antalya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Tarkan Akıllı,"",Milliyetçi Hareket Partisi,Antalya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Hakkı Saruhan Oluç,Hakkı Saruhan Oluç,Halkların Demokratik Partisi,Antalya,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
Taşkın Aktaş,"",Halkların Demokratik Partisi,Ardahan,25,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi
