id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
abdi_Özkök,Abdi Özkök,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Bolu,Grand National Assembly,15,,,,
abdulkadir_Öncel,Abdulkadir Öncel,,,Milli Selamet Partisi,milli_selamet_partisi,Urfa,Grand National Assembly,15,,,,
abdullah_bazancir,Abdullah Bazancir,,,Milli Selamet Partisi,milli_selamet_partisi,Bingöl,Grand National Assembly,15,,,,
abdullah_cilli,Abdullah Cilli,,,Adalet Partisi,adalet_partisi,Hatay,Grand National Assembly,15,,,,
abdurrahim_erdem,Abdurrahim Erdem,,,Adalet Partisi,adalet_partisi,Antalya,Grand National Assembly,15,,,,
abdurrahman_köksaloğlu,Abdurrahman Köksaloğlu,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,İstanbul,Grand National Assembly,15,,,,
abdurrahman_Ünsal,Abdurrahman Ünsal,,,Milli Selamet Partisi,milli_selamet_partisi,Adıyaman,Grand National Assembly,15,,,,
abdülbaki_cartı,Abdülbaki Cartı,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Siirt,Grand National Assembly,15,,,,
abdülkerim_doğru,Abdülkerim Doğru,,,Milli Selamet Partisi,milli_selamet_partisi,Kars,Grand National Assembly,15,,,,
abdülkerim_zilan,Abdülkerim Zilan,,,Bağımsız,bağımsız,Siirt,Grand National Assembly,15,,,,
abdüllatif_ensarioğlu,Abdüllatif Ensarioğlu,,,Adalet Partisi,adalet_partisi,Diyarbakır,Grand National Assembly,15,,,,
abidin_İnan_gaydalı,Abidin İnan Gaydalı,,,Adalet Partisi,adalet_partisi,Bitlis,Grand National Assembly,15,,,,
adil_ali_cinel,Adil Ali Cinel,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Trabzon,Grand National Assembly,15,,,,
adil_demir,Adil Demir,,,Adalet Partisi,adalet_partisi,İzmir,Grand National Assembly,15,,,,
adnan_akarca,Adnan Akarca,,,Demokratik Parti,demokratik_parti,Muğla,Grand National Assembly,15,,,,
ahmet_akçeel,Ahmet Akçeel,,,Milli Selamet Partisi,milli_selamet_partisi,Balıkesir,Grand National Assembly,15,,,,
ahmet_arıkan,Ahmet Arıkan,,,Milli Selamet Partisi,milli_selamet_partisi,Sivas,Grand National Assembly,15,,,,
ahmet_bahir_ersoy,Ahmet Bahir Ersoy,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,İstanbul,Grand National Assembly,15,,,,
ahmet_balkan,Ahmet Balkan,,,Adalet Partisi,adalet_partisi,Manisa,Grand National Assembly,15,,,,
ahmet_buldanlı,Ahmet Buldanlı,,,Adalet Partisi,adalet_partisi,Muğla,Grand National Assembly,15,,,,
ahmet_durakoğlu,Ahmet Durakoğlu,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Sivas,Grand National Assembly,15,,,,
ahmet_hamdi_Çelebi,Ahmet Hamdi Çelebi,,,Milli Selamet Partisi,milli_selamet_partisi,Muş,Grand National Assembly,15,,,,
ahmet_haşim_benli,Ahmet Haşim Benli,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Kütahya,Grand National Assembly,15,,,,
ahmet_karaaslan,Ahmet Karaaslan,,,Adalet Partisi,adalet_partisi,Malatya,Grand National Assembly,15,,,,
ahmet_mahir_ablum,Ahmet Mahir Ablum,,,Adalet Partisi,adalet_partisi,Kütahya,Grand National Assembly,15,,,,
ahmet_nihat_akın,Ahmet Nihat Akın,,,Adalet Partisi,adalet_partisi,Zonguldak,Grand National Assembly,15,,,,
ahmet_orhan_senemoğlu,Ahmet Orhan Senemoğlu,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Elazığ,Grand National Assembly,15,,,,
ahmet_sebati_ataman,Ahmet Sebati Ataman,,,Adalet Partisi,adalet_partisi,Zonguldak,Grand National Assembly,15,,,,
ahmet_tevfik_paksu,Ahmet Tevfik Paksu,,,Milli Selamet Partisi,milli_selamet_partisi,Maraş,Grand National Assembly,15,,,,
ahmet_topaloğlu,Ahmet Topaloğlu,,,Adalet Partisi,adalet_partisi,Adana,Grand National Assembly,15,,,,
ahmet_türk,Ahmet Türk,,,Demokratik Parti,demokratik_parti,Mardin,Grand National Assembly,15,,,,
ahmet_türkel,Ahmet Türkel,,,Adalet Partisi,adalet_partisi,Bursa,Grand National Assembly,15,,,,
ahmet_yılmaz,Ahmet Yılmaz,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Uşak,Grand National Assembly,15,,,,
ahmet_Çakmak,Ahmet Çakmak,,,Adalet Partisi,adalet_partisi,Bolu,Grand National Assembly,15,,,,
ahmet_İhsan_kırımlı,Ahmet İhsan Kırımlı,,,Adalet Partisi,adalet_partisi,Balıkesir,Grand National Assembly,15,,,,
ahmet_Şener,Ahmet Şener,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Trabzon,Grand National Assembly,15,,,,
alev_coşkun,Alev Coşkun,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,İzmir,Grand National Assembly,15,,,,
ali_acar,Ali Acar,,,Milli Selamet Partisi,milli_selamet_partisi,Samsun,Grand National Assembly,15,,,,
ali_döğerli,Ali Döğerli,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Muğla,Grand National Assembly,15,,,,
ali_elverdi,Ali Elverdi,,,Adalet Partisi[1],adalet_partisi[1],Bursa,Grand National Assembly,15,,,,
ali_fuat_eyüboğlu,Ali Fuat Eyüboğlu,,,Milliyetçi Hareket Partisi,milliyetçi_hareket_partisi,Yozgat,Grand National Assembly,15,,,,
ali_kurt,Ali Kurt,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Tokat,Grand National Assembly,15,,,,
ali_kökbudak,Ali Kökbudak,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Konya,Grand National Assembly,15,,,,
ali_naili_erdem,Ali Naili Erdem,,,Adalet Partisi,adalet_partisi,İzmir,Grand National Assembly,15,,,,
ali_nejat_Ölçen,Ali Nejat Ölçen,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,İstanbul,Grand National Assembly,15,,,,
ali_recai_İskenderoğlu,Ali Recai İskenderoğlu,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Diyarbakır,Grand National Assembly,15,,,,
ali_sanlı,Ali Sanlı,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Burdur,Grand National Assembly,15,,,,
ali_topuz,Ali Topuz,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,İstanbul,Grand National Assembly,15,,,,
ali_yılmaz,Ali Yılmaz,,,Adalet Partisi,adalet_partisi,Hatay,Grand National Assembly,15,,,,
ali_zülfikaroğlu,Ali Zülfikaroğlu,,,Demokratik Parti,demokratik_parti,Maraş,Grand National Assembly,15,,,,
ali_İhsan_balım,Ali İhsan Balım,,,Adalet Partisi,adalet_partisi,Isparta,Grand National Assembly,15,,,,
ali_İhsan_ulubahşi,Ali İhsan Ulubahşi,,,Adalet Partisi,adalet_partisi,Afyonkarahisar,Grand National Assembly,15,,,,
ali_Şevki_erek,Ali Şevki Erek,,,Adalet Partisi,adalet_partisi,Tokat,Grand National Assembly,15,,,,
alp_doğan_Öztunç,Alp Doğan Öztunç,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,İstanbul,Grand National Assembly,15,,,,
alparslan_türkeş,Alparslan Türkeş,,,Milliyetçi Hareket Partisi,milliyetçi_hareket_partisi,Adana,Grand National Assembly,15,,,,
arif_hüdai_oral,Arif Hüdai Oral,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Denizli,Grand National Assembly,15,,,,
arif_kemal_Önder,Arif Kemal Önder,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,İzmir,Grand National Assembly,15,,,,
arif_tosyalıoğlu,Arif Tosyalıoğlu,,,Adalet Partisi,adalet_partisi,Çankırı,Grand National Assembly,15,,,,
ata_bodur,Ata Bodur,,,Demokratik Parti,demokratik_parti,Ordu,Grand National Assembly,15,,,,
atilla_atila,Atilla Atila,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Elazığ,Grand National Assembly,15,,,,
ayşe_aliye_köksal,Ayşe Aliye Köksal,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Eskişehir,Grand National Assembly,15,,,,
azmi_yavuzalp,Azmi Yavuzalp,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Niğde,Grand National Assembly,15,,,,
bahattin_karakoç,Bahattin Karakoç,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Diyarbakır,Grand National Assembly,15,,,,
bahri_dağdaş,Bahri Dağdaş,,,Demokratik Parti,demokratik_parti,Konya,Grand National Assembly,15,,,,
battal_köksal,Battal Köksal,,,Demokratik Parti,demokratik_parti,Adana,Grand National Assembly,15,,,,
behiç_tozkoparan,Behiç Tozkoparan,,,Adalet Partisi,adalet_partisi,Aydın,Grand National Assembly,15,,,,
bilal_taranoğlu,Bilal Taranoğlu,,,Adalet Partisi,adalet_partisi,Ordu,Grand National Assembly,15,,,,
cahit_angın,Cahit Angın,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Çorum,Grand National Assembly,15,,,,
cahit_karakaş,Cahit Karakaş,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Zonguldak,Grand National Assembly,15,,,,
cahit_kayra,Cahit Kayra,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Ankara,Grand National Assembly,15,,,,
celal_paydaş,Celal Paydaş,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Urfa,Grand National Assembly,15,,,,
celal_Ünver,Celal Ünver,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Malatya,Grand National Assembly,15,,,,
cemal_cebeci,Cemal Cebeci,,,Milli Selamet Partisi,milli_selamet_partisi,Kayseri,Grand National Assembly,15,,,,
cemal_külahlı,Cemal Külahlı,,,Adalet Partisi,adalet_partisi,Bursa,Grand National Assembly,15,,,,
cemal_tercan,Cemal Tercan,,,Adalet Partisi,adalet_partisi,İzmir,Grand National Assembly,15,,,,
cemil_erhan,Cemil Erhan,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Ağrı,Grand National Assembly,15,,,,
cemil_yavaş,Cemil Yavaş,,,Adalet Partisi,adalet_partisi,İstanbul,Grand National Assembly,15,,,,
cemil_Ünal,Cemil Ünal,,,Adalet Partisi,adalet_partisi,Kars,Grand National Assembly,15,,,,
cevat_atılgan,Cevat Atılgan,,,Demokratik Parti,demokratik_parti,Tokat,Grand National Assembly,15,,,,
cevat_sayın,Cevat Sayın,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Edirne,Grand National Assembly,15,,,,
cevat_yalçın,Cevat Yalçın,,,Adalet Partisi,adalet_partisi,Rize,Grand National Assembly,15,,,,
