name,id
Akierra Mary Deanne Missick,Q4700892
Akierra Missick,Q4700892
Amanda Missick,amanda_missick
Charles Washington Misick,Q7972058
Clarence Selver,clarence_selver
Derek Hugh Taylor,Q5262064
Derek Taylor,Q5262064
Dr. Rufus Washington Ewing,Q7378029
George Alexander Lightbourne,george_alexander_lightbourne
Goldray McMillin Ewing,goldray_mcmillin_ewing
John Philips,john_philips
Josephine Conolly,josephine_conolly
Lillian Swann-Misick,lillian_swann-misick
Norman Benjamin Saunders,Q3343818
Norman Saunders,Q3343818
Porsha Monique Stubbs-Smith,porsha_monique_stubbs-smith
Ricardo Don-Hue Gardiner,ricardo_don-hue_gardiner
Rufus Ewing,Q7378029
Ruth Delores Blackman,ruth_delores_blackman
Sean Rickard Astwood,sean_rickard_astwood
Sharlene Cartwright-Robinson,Q7489886
Sharlene Linette Catrwright-Robinson,Q7489886
Vaden Delroy Williams,vaden_delroy_williams
Washington Misick,Q7972058
Ρούφους Γιούινγκ,Q7378029
Норман Сондерс,Q3343818
درک هیو تیلور,Q5262064
