name,id
Alesana Seluka,alesana_seluka
Apisai Ielemia,Q316267
Elisala Pita,Q15968283
Enele Sopoaga,Q330640
Falesa Pitoi,Q2377016
Fauoa Maani,Q15972515
Iakoba Italeli,Q3147210
Isaia Italeli,Q6078458
Kamuta Latasi,Q739504
Kausea Natano,Q6378927
Leneuoti Maatusi,leneuoti_maatusi
Lotoala Metia,Q2378838
Maatia Toafa,Q287513
Mackenzie Kiritome,mackenzie_kiritome
Monise Lafai,monise_lafai
Namoliki Sualiki,Q6961984
Otinielu Tausi,Q7108741
Pelenike Isaia,Q7161303
Puakena Boreham,Q19795263
Samuelu Teo,samuelu_teo
Satini Manuella,Q18355480
Taom Tanukale,Q7684285
Taukelina Finikaso,Q7688699
Tavau Teii,Q7689043
Tomu Sione,Q923836
Vete Sakaio,Q7923554
Willy Telavi,Q561559
Απισάι Ιελέμια,Q316267
Γουίλι Τελάβι,Q561559
Ενέλε Σοποάγκα,Q330640
Ιάκομπα Ιταλέλι,Q3147210
Καμούτα Λατάζι,Q739504
Μαατία Τοάφα,Q287513
Τόμου Σιόνε,Q923836
"Иелемиа, Аписаи",Q316267
"Италели, Иакоба",Q3147210
"Латаси, Камута",Q739504
"Сионе, Тому",Q923836
"Сопоага, Энеле",Q330640
"Телави, Вилли",Q561559
"Тоафа, Маатиа",Q287513
إنال سوبواغا,Q330640
アピサイ・イエレミア,Q316267
イアコバ・イタレリ,Q3147210
マアティア・トアファ,Q287513
埃內爾·索本嘉,Q330640
