name,id
Aadroa Alex Onzima,39cd0a76-8a19-4e1e-ac6e-5a8903f6e84b
Ababiku Jesca,7cf40aaf-a410-4364-93e7-470d9149501e
Acayo Christine Cwinya-Ai,ee8127fd-c426-444c-840f-b3c9d94ec87d
Acheng Joy Ruth,4f7c2e54-23c8-4a4f-8944-75b30529cb8c
Achia Remigio,c9729da1-544d-4ea6-afe6-f3cfb37a2229
Achia Terence Naco,cbda87f3-648d-4712-9435-7e959a540182
Achieng Sarah Opendi,6d218bca-d825-4b4e-98f7-0299112504cf
Achile Manoah Mila,3fb96f35-fa3a-4422-875a-678a54d9755d
Acire Christopher,dcbd419c-7628-4b9b-9826-fa13c336d48c
Adong Lilly,3633dc6a-54e5-401d-9981-b5282ef4236b
Ajedra Gabriel Gadison Aridru,1f9243ee-1660-4fa3-9bfc-028e53014203
Ajok Lucy,08bc6bc3-47ed-4d24-bcad-a633e11bb608
Akello Judith Franca,2cec2ab5-bce3-4e0d-b496-03f1fac9c826
Akello Rose Lilly,10cd4e34-7e97-4e45-a259-e1430eb947d4
Akena James Micheal Jimmy,a8b85d78-2280-4046-87d8-d40a1cfb1169
Akiror Agnes Egunyu,40f7b261-76e0-4944-97b4-1865067f349a
Akol Rose Okullu,208ed326-da5c-44f5-88a6-4482dd854482
Akora Maxwell Ebong Patrick,ee76c193-d289-4bef-b0e2-b88f033c6384
Alaso Alice Asianut,dfc75d46-0ebe-4ef2-a9ed-be6d0b67e177
Alengot Proscovia Oromait,51d19300-1403-471c-9003-4d83c6ec7f5f
Aleper Margaret Achilla,809287ef-d55d-4665-9a7d-72b4b0554424
Aleper Simon Peter,66d4d393-0210-442f-bc08-0fe0b15bafec
Alero Tom Aza,f41f4ccb-19fb-4d75-91c4-2aeadd8d4714
Ali Moses,375f6d55-9f58-4de7-bf2d-d852dad344cb
Alitwala Rebecca Kadaga,c91436c9-5990-4932-aa3e-b5e677f3037b
Allen Andrew,efeb0f9e-feac-44ee-8653-32c999bb451d
Alum Santa Ogwang,0da7c788-83b1-4e46-b6b1-4d247148857d
Alupo Jessica Rose Epel,92d26239-7d6e-4eb5-86c4-a05f6887a292
Amali Caroline Okao,4cdf8aa7-b64e-4b1b-995d-73d69811d718
Amama Mbabazi,8fa89819-6bec-438f-9b29-a4dbfcfb4e79
Amero Susan,4e4bc2d8-fe19-43e7-be9a-6ff5691091d4
Amoding Monicah,8a2c3b99-d8e9-4922-a6f4-a3a82fa1ff2a
Amodoi Cyrus Imalingat,4cb434e5-fe03-421e-9b8a-a621974762df
Amoit Judith Mary,f2656216-0e7e-4376-95ee-94f36d754ce9
Amongi Betty Ongom,c7d7bfd5-1b90-4d2c-955e-f1298aa39066
Amongin Aporu Christine Hellen,791ca6cc-1f84-4ff5-afee-5cf22abf9163
Amongin Jacquiline,99eb3dbb-43b6-4da3-bde4-d3a999bdbd2f
Amuge Rebecca Otengo,9bccfac9-ef4e-4e8c-b051-06e77151c24a
Amuriat Oboi Patrick,43d4d610-6783-4266-a146-d53c44c1fe7c
Angina Charles,b0491947-a005-471f-a397-ea8f26e492f2
Anite Evelyn,d464bb17-ef56-49aa-ba81-249218cbb008
Anywarach Joshua Carter,305571a7-331a-4834-9353-48adf77bc887
Aol Betty Ocan,69e7b935-9529-43de-ad04-3d20be72db91
Arinaitwe Rwakajara K.,8a254cc7-bfd8-4424-8276-45080921f151
Aronda Nyakairima,c1a16ef2-c93c-4a54-b509-40f70fe911cd
Asamo Hellen Grace,6ceddccb-15e7-44f4-b11f-dc098e8cabd2
Asupasa Isiko Wilson Mpongo,4faa2b5d-0299-4c21-b86b-f8f15ecd6c30
Atiku Benard,28eb43cb-ffef-4c9d-8289-cc51bb72f385
Atim Anywar Beatrice,0a270996-670f-47c6-8241-256e8c72538c
Atim Joy Ongom,a8c1425e-371b-42a3-878e-ee73afaecc15
Atim Ogwal Cecilia Barbara,40177b13-fcef-4b8e-b7c1-6248d587dd05
Atuku Bigombe Betty,1cf1feba-42fe-4c74-8bda-514ebcfde5c8
Auma Juliana Modest,77c40d89-9b33-420d-8daf-32e081878a8a
Auru Anne,d743c0e4-a04c-4294-ad6f-bd4468d1d635
Awongo Ahmed,90f6786f-acd1-45a0-9ec1-6167e7be1e2e
Ayena Krispus,be76f438-92c1-45a1-bea9-a96d59c48621
Ayepa Michael,5afd5c55-b4de-46d2-b238-560602df0235
Ayoo Tonny,a78a8c4c-00d7-41e9-9a8c-4c982364c315
Baba Boliba James,4cb43bab-faf4-4ee4-b9e9-8bb64d803b42
Baba Diri Margaret,4ebb2ab5-596d-4946-a3c7-7db3aefb81ee
Babirye Veronica Kadogo,82089e93-ef3b-477f-ae48-5f81a638a8d1
Badda Fred,249ebcc6-3df5-4e07-857e-939556204d13
Bageine Shem Bajura,81d4965d-bc42-499d-89a6-52840ac8bc8f
Bagiire Vincent Waiswa O.,428c13c5-cb4d-48fc-80be-caffffe2a5c3
Bagoole John B,4f06fe1f-6a56-46eb-9ba2-8829f701911f
Bahati David,f4b28bb4-2dce-4c62-823c-393ff0393532
Bahinduka Mugarra Martin,0928e4d7-4a11-41c4-860c-c92b17af3674
Baka Stephen Mugabi,d84bcb37-93c7-474b-9cf2-d2b3c1b144f2
Bakabulindi Charles,97ea981b-f358-4ed8-8690-1c3ebbafe00a
Bakaluba Mukasa Peter,582ca5c5-8a79-4a1c-a0f0-c90f43a2c2ad
Bakeine Mabel Lillian Komugisha,ccbf67bf-e928-46e7-94f2-acf29d4192fc
Bakireke Nambooze Betty,04130522-0943-48e4-823b-422f80c324d8
Bako Christine Abia,806afc49-f104-409a-86c5-337e7a4c697b
Baliddawa Edward,30242c9a-9d04-4f98-9753-4f7a225aac34
Balyejjusa Sulaiman Kirunda,7c8f7a10-2d61-4962-a8d3-03d77ef30a98
Balyeku Moses Grace,1e7a6b04-9394-4c97-9f3b-4d8fdd4f6d3b
Bangirana Anifa Kawooya,5d40efb0-89b9-4f0f-a3ed-415dc6ca78d0
Banyenzaki Henry,116a74fb-c759-4db5-9888-e2a0b969c5b2
Barumba Beatrice Rusaniya Namala,49dbb050-63c7-41ae-84e8-2b01c0e2e2ea
Baryayanga Andrew Aja,884e0cd0-b131-4e1e-87fe-2a4b9b8ff081
Baryomunsi Chris,b6d9f4b3-d209-4b06-ad8b-823ccb0dd7ef
Bayigga Micheal P. Lulume,fd855a35-69fa-4c3a-8d86-4cd16d5f7957
Bazana Kabwegyere Tarsis,e1d3130e-54e8-4312-a6ed-e2ee007d5fc2
Bbumba Syda M. Namirembe,ac97bad8-8165-4b62-85a8-845ca2e636f1
Besisira Ignatius,50e52aa2-8406-4867-a4a8-2cd6e587a608
Bigirwa Julius Junjura,2a10f6fb-78ef-4695-8521-ba57a8a5199f
Bintu Jalia Lukumu N. Abwooli,d2b326d4-1f6f-4a76-a755-f8eba8f9725a
Biraahwa Mukitale Stephen Adyeeri,54920239-58a9-4eb1-ac80-83d72b125207
Biraaro Ephraim Ganshanga,10563c77-0030-4220-945e-0c0fd157b63d
Birekeraawo Nsubuga Mathius,601fe066-dc68-4bd3-81ef-f88f16a94edd
Bitekyerezo Kab Medard,bef0c839-87ba-43ed-894c-59907bb44407
Boona Emma,cd26d45f-3924-45e9-988b-67746670d9da
Bucyanayandi Tress,f0786e99-0f2d-47e0-8433-97a1cb9fcd9e
Bukenya Balibaseka Gilbert,21bb3f66-4105-4eec-a5e5-05241d3ea1bb
Businge Rusoke Victoria,ae28b38b-3188-478a-b546-e855ac25a001
Busingye Mary Karooro Okurut,8f938c8c-5ed8-4d19-b024-210837e5b6c9
Bwambale Bihande Yokasi,f8be1375-eac1-4201-b9a9-5c91b8cedb29
Byabagambi John,b2b6c570-5bf0-492b-a763-49a313fd1243
Byamukama Nulu,72ec8496-633d-4286-9e3e-5d836dd9f51d
Byandala Abraham James,2ac311b6-7b4f-4fbb-bd8c-27da8ba2b11c
Byarugaba Alex Bakunda,d467b8bd-7211-479b-ba66-e276724ce624
Byarugaba Grace Isingoma,d8b63ab3-bec4-4e85-b490-a8a4b3955e0b
Cadet Benjamin,9d1840ec-70a4-4acc-8c0b-4b97e817045d
Chebrot Stephen Chemoiko,63f36d9c-1b09-4f34-b25a-834f8486cc65
Chekwel Lydia,e67c34d0-af92-4ac9-9fbb-fc529fad7b03
Chemaswet Abdi Fadhil Kisos,672152be-576f-4c1a-aedc-3965474b044d
Chemutai Phyllis,89297a62-1c9f-4a8f-900c-175a259c227e
D'Ujanga Giw Simon,59ff23fa-3dac-40f9-885b-f19b2f025752
Dombo Emmanuel Lumala,c192e1b7-1329-4314-9161-7a5347fa26ac
Drito Martin Andi,7326ac6e-bf83-4822-87f1-619bfb6bddaa
Ebil Fred,c3c1f8d3-5e92-4840-b7a3-b3789262eb4b
Ecweru Musa Francis,13e2534d-7ae4-4643-a566-791de3af3a9c
Egunyu Nantume Janepher,96d745ae-b14c-46dc-92d6-dcb8aaf88c13
Ekanya Geofrey,b9a45340-0928-48bf-9c4d-6ed932270448
Ekuma George Stephen,cc0bd53a-6090-40f7-9e29-3789fdff6205
Ekwau Ibi Florence,23835331-7b26-4f27-90fd-594aef1064df
Engola Sam,d45de64b-da57-4f4e-ad22-7a9d30e778c5
Epetait Francis,3369ab0b-e499-446f-abbd-70dea0de9168
Eriaku Peter Emmanuel,0a0d064d-a8db-4a1a-9998-d7afa6148857
Fungaroo Kaps Hassan,d468c980-218a-46ee-8378-ea38360f3b52
Gudoi Yahaya,41b8987c-ddad-45f8-a5aa-853b364eba5e
Iriama Margaret,59e48081-43ec-4567-851e-0a7b4d119299
Iriama Rose,a65a2941-1ac5-4e49-89de-75c411dd5376
Isabirye Iddi,db00925f-93ed-4beb-b17e-85761fdbe388
Jacan Omach Fred Mandir,0de8e76e-f582-4f17-b508-d418c128d56e
Kaabule Evelyn Naome Mpagi N.,7e513b2a-6ad0-4d38-8858-4be3ef3327ae
Kaahwa Tophace Byagira,65cfd10a-4413-4fa8-b27f-e40900805482
Kabaale Kwagala Olivia,d329e8ef-4e77-43e1-bf11-08929ea57196
Kabahenda Flavia Rwabuhoro,a63f1676-c304-480f-a4c3-a8b2a0cc35e7
Kabajo James Kyewalabye,8954e771-d413-4aa9-9946-5856716aa946
Kabakumba Masiko Labwoni Princess,ef3abb0d-77e3-42b7-a9ab-78b9ca0cee31
Kabasharira Naome,c2c5f94f-b227-43e5-8e49-22542980b646
Kaddumukasa Ssozi Jerome,144cc97d-6b85-4f0d-8509-bc6d1e8b3ba1
Kafabusa Werikhe Michael,1399fa03-2a39-44fe-adfb-2e268162f14d
Kafeero Ssekitoleko Robert,1b4676c4-b7de-439b-9f36-3a649514797b
Kafuda Boaz,49e439c0-834f-460d-95af-e37f8e6a0767
Kahinda Otafiire,8fa4b646-b14c-41cb-8976-b5f7e9fa3d84
Kahunde Helen,645d30b5-896d-48a6-b254-e5e8d313f957
Kajara Aston Peterson,1e6879e4-880b-403e-b8cf-da1a8fee30da
Kajura Henry Muganwa,624da112-cfce-4958-887d-f6015e5670e9
Kakoba Onyango,986fbb36-77f7-482b-8030-15cf346462f4
Kakooza James,adea8541-cd09-47d7-98a0-3a2b0cf536aa
Kamanda Cos Bataringaya,6dbf44eb-4f0f-45b5-b40c-6f18e9f90a28
Kamara John Nizeyimana,ad68aa90-eebb-4abe-a8cd-de0854dd9425
Kamateeka Jovah,82f11047-e0c6-40e1-8023-1bbe38c9641e
Kamba Saleh Moses Wilson,27424f37-bf7f-4618-8c6c-b59975be930a
Kamuntu Ephraim,c6b27979-8e5a-43d2-879d-eac12dfe850b
Kangwagye Stephen,5d234bf7-21a2-4502-9b74-95322b50f4e6
Karuhanga Kafureeka Gerald,cd50940e-9368-4efe-87a3-67d9b35bb196
Karungi Elizabeth,0a045bbf-4b55-42fb-a7ce-a12e233aca3a
Kasaija Matia,7eed987e-34bd-4570-a50f-f3378b2fdf66
Kasaija Stephen Kagwera,db542736-96f3-46f2-babc-86d5b54cdac3
Kasamba Mathias,fc579483-795d-4601-a355-080965a3e3dd
Kase-Mubanda Freda Nanzira,9af1c62f-1751-4199-a641-5133d6eb04ee
Kasibante Moses,a02f744b-657a-487c-bb5f-16e4906289a8
Kasirivu-Atwooki Baltazar Kyamanywa,9a0cf10d-e534-40a3-9fc2-d3eea61b1048
Kasule Justine Lumumba,910c9f79-ebba-495f-836b-028f27def018
Kasule Robert Sebunya,91a8fa6a-1627-4298-984e-c94b8aa35f12
Kataaha Janet Museveni,600ed41f-be37-489a-a9e1-3b6abe43414f
Kataike Sarah Ndoboli,97df74e9-6a13-4041-a93d-7929d93b3439
Katirima Manoni Phinehas,e05c84d5-ba70-4566-8b3c-6a9dea57971e
Katoto Hatwib,ef534c4f-04e2-4e68-95a8-5045bc7212f5
Katumba Wamala,762aefff-ee1f-44b7-808d-2bb5318fb574
Katuntu Abdu,c99d060b-175e-4d41-94d7-ef8f343aaca0
Katuramu Hood Kiribedda,4509bcba-bbfc-4311-82d5-acc4c951d617
Katwesigye Oliver,c9e78d1d-db2f-468f-9faf-cddcc3e59ac1
Katwiremu Yorokamu Bategana,00d4c806-2ab7-45be-bf37-1ac8c553ad0b
Kawuma Mohamed,3e1f8d02-635a-469f-860c-d9dcab8059c5
Kayagi Sarah Netalisire,977ae5c1-220c-447e-8a70-1179bd9c433a
Khainza Justine,1c45039e-3dc5-4fa2-b615-d2be650ddf39
Khiddu Makubuya Edward,35b3ca23-5cc3-408a-9131-14ddb05e0a64
Kiboijana Margaret Namara,ea4822d0-a396-4381-9204-bd743fea5f4c
Kibuule Ronald,fc52ca03-16bd-494a-9540-305074bc30cb
Kiiza Monday Ernest Apuuli,f5ad9774-e1c5-481e-8740-c84be654f347
Kiiza Rwebembera James,aa7b9d7d-9291-4309-b5d1-c262f297e6c4
Kiiza Winifred,f3b29c66-1957-4e60-abe5-ee546ae4e8b5
Kikungwe Issa,de194475-6409-422a-a419-95bdbb12a17d
Kintu Florence,e3f03d44-99d7-4ac2-b805-0db2aa3617fa
Kitatta Aboud,1f7bcea3-68e1-4728-a9c5-66ac4cbc2b0f
Kiwanda Godfrey Ssubi,c126df5a-9f6e-46e1-8bca-922277e3b88d
Kiwanuka Maria,7a254cc7-0ca3-44a1-98aa-f4c0fefbe954
Kiyingi Asuman,0841802e-9f76-401e-b0ea-a2cf9ece2206
Kiyingi Bbosa Kenneth Joseph,308e7a86-ed7e-41b5-a39d-c465d66692b8
Kiyingi Deogratius,64664cd2-808f-4a51-89e5-c6e774c8395e
Kiyonga Chrispus Walter Bazarrabusa,3105ea56-d3d4-453d-9853-0e7af1028e4b
Komuhangi Margaret,3091585b-861f-4ff6-848a-3345e001fa6f
Kusasira Peace Kanyesigye Mubiru,85b514f9-450e-4abe-b204-8ab56857d7db
Kutesa Kahamba Sam,e12c07a3-5d37-47c0-aa36-25cc7688304e
Kwemara Ngabu William,67c3d223-4d00-4926-93eb-c5ebc42b17bb
Kwiyucwiny Grace Freedom,0fffa28b-3d56-4c5b-a3fd-26e241166752
Kwizera Eddie Wa Gahungu,a8097f55-d815-4539-b0a3-ca9ae53fb6f2
Kyambadde Amelia Anne,55b48caf-3df8-4bec-8948-c89b4915773e
Kyanjo Hussein,d5819e91-92b6-4620-b15b-0a30f3c828cc
Kyeyune Harun,bed0146a-6c24-4d7f-9cb7-497c452eee5a
Kyooma Xavier Akampurira,053883e6-a1c0-4b2d-bc1c-77cf42dcf4c8
Lakot Susan,5303941a-c210-4392-826b-f2bbfd775f9b
Lanyero Sarah Ochieng,5f234f33-4479-4131-99f6-d77631df9bd4
Lematia Ruth Molly Ondoru,04f04af1-e7ff-412b-b4b6-08d717f839be
Lokeris Aimat Peter,5da75bfc-b0ba-4e5b-b2cf-814c75a387ff
Lokeris Samson,615f32ae-d2f1-48ae-93d3-3144e79331cc
Lokii John Baptist,4f1ab0e6-1597-4f53-8aeb-7accc4e29525
Lokii Peter Abrahams,f76297bf-01bb-4d55-86e2-733e21ddde73
Lokodo Simon,29194e45-fd0e-460e-bc59-a02d16e7dfc7
Lolem Micah Akasile,3b499243-8d92-4051-8546-bfb533a0e459
Lowila Cd Oketayot,b392ac8b-2fcd-443b-aea4-496b39d8bed3
Lubega Godfrey,ebe3dfd7-4f68-4d89-b5b7-36a8c31deacd
Lubega Medard Sseggona,0c7ccb30-5b2c-4afe-b68d-966852a23e19
Lubogo Kenneth,2ebe4322-d87b-4a77-8841-2b6b1dfadbb4
Lugoloobi Amos,7fc1b51f-7f08-4ad6-b2b7-0f485801ebae
Lukyamuzi John Ken,56971f8e-0b9c-4f47-aca6-0ac715e429b3
Lwanga Timothy Mutekanga,d38a84fa-0295-4498-a46e-376fdff67b72
Lyomoki Samuel,f149e08f-fff4-448f-bb21-d0f9cc164a47
Madada Kyebakoze Sulaiman,9e7029a7-944b-4c37-ae6c-db7f22f5ba98
Maganda Julius,86f6fb64-0624-4b39-9bcc-ee9221005d4d
Magyezi Raphael,d055198d-5f40-48fd-812d-349e4a92769e
Makhoha Margaret,57dd30d2-d5a6-44c2-ac14-41b50daa2174
Mandera Amos,5f1955b8-eb91-4b99-b901-3c7ecfff0411
Matte Joseph Sibalinghana Kiregheya,63c8937e-a752-49bd-a910-3aa774f9485d
Mawanda Michael Maranga,58077aeb-d517-4b49-bf90-20a75ea6bbfb
Mayende Stephen Dede,4c61e6c8-fe2e-4d70-919a-f2debb1bfdb1
Mbabazi Betty Ahimbisibwe,96e8cfc5-32ca-4abe-819d-f87bb99f103a
Mbagadhi Frederick Nkayi,87e78a17-b1ff-41e7-88ea-b6c877f0f3dd
