id,name,name__ar,email,photo,term
12571,AHMED OBAID MOHAMMED ALMANSOORI,أحمد عبيد محمد المنصوري,a.o.almansoori@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/657ab7b1-de1a-4200-bd66-01b9774168cb.jpg,2011
12515,AHMED ABDULLA ALI ALAMASH AL TENAIJI,أحمد عبدالله علي الأعماش الطنيجي,a.alamash@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/853df165-9bcd-4313-b7e7-a99e023f0616.jpg,2011
12514,AHMED ABDULMALIK MOHD AHLI,أحمد عبدالملك محمد أهلي,a.ahli@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/8c6a9dc8-90d2-456c-a4ad-7fbe0b071f39.jpg,2011
12578,AHMED ALI MUFTAH SALEH ALZAABI,أحمد علي مفتاح صالح الزعابي,a.a.alzaabi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/c44dd2ca-ae67-4991-924f-c5a5543e3e9d.jpg,2011
12536,AHMED MOHAMED RASHID AL JARWAN AL SHAMSI,أحمد محمد راشد الجروان الشامسي,a.aljarwan@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/0af246fc-0e7a-4520-8bce-b995dd6f0d52.jpg,2011
12582,AHMED MOHAMMED RAHMAH ALSHAMSI,أحمد محمد رحمة الشامسي,a.m.alshamsi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/d0c06a69-0f34-44c7-9cd9-25c6b4939612.jpg,2011
12565,AHMED MOHAMMED SUHAIL ALAMERI,أحمد محمد سهيل بالحطم العامري,a.alameri@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/e854ba64-43fd-44c2-8beb-7532ef9b3a0b.jpg,2011
12537,HAMAD AHMED SULTAN ALRAHOOMI AL MHEIRI,حمد أحمد سلطان الرحومي المهيري,h.alrahoomi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/e21c3400-f94b-4b9b-b2a1-19af60003e58.jpg,2011
12584,HUMAID MOHAMED ALI BIN SALEM,حميد محمد علي بن سالم آل علي,H.binsalim@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/94633948-eeeb-4808-b8f9-d5dbfba17587.jpg,2011
12572,KHALIFA NASER MOHAMED ALSUWAIDI,خليفة ناصر محمد بالهول السويدي,k.alsuwaidi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/2ca42537-0209-488f-8ef8-d9fe751c82dd.jpg,2011
9812,Dr Amal Abdulla Jumaa Karam AlQubaisi,د. أمل عبدالله جمعة كرم القبيسي,a.alqubaisi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/50f54bc7-a8cc-4e6b-9209-72978481bd51.jpg,2011
12579,SHAIKHA ALI SALIM ALOWAIS,د. شيخة علي سالم العويس,s.alowais@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/c77b1a86-6dc1-4c98-a575-781d2df81ef0.jpg,2011
9825,ABDULRAHIM ABDULLATIFE ABDULLA ALSHAHIN,د. عبدالرحيم عبداللطيف عبدالله الشاهين الحرمي,a.alshahin@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/7cb40e3d-82cb-498f-89eb-3e75ba911df1.jpg,2011
9797,ABDULLA HAMAD RASHED ALSHAMSI,د. عبدالله حمد راشد الشامسي,a.alshamsi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/be0ec884-51d4-41bb-a1f4-8c8704edc00d.jpg,2011
12577,MUNA JUMA ESSA JASSIM ALBAHAR ALSULAITI,د. منى جمعة عيسى جاسم السليطي,m.albahar@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/7e4a2843-67bb-43ed-b919-a9caa1dc0b84.jpg,2011
