name,id
Al Franken,F000457
Alan Cranston,C000877
Alan Dixon,D000366
Alan Simpson,S000429
"Albert Gore, Jr.",G000321
Alfonse D'Amato,D000018
Amy Klobuchar,K000367
"Angus S. King, Jr.",K000383
Arlen Specter,S000709
Barack Obama,O000167
Barbara A. Mikulski,M000702
Barbara Boxer,B000711
Barry Goldwater,G000267
Ben Campbell,C000077
Ben Nelson,N000180
Ben Sasse,S001197
Benjamin L. Cardin,C000141
Bernard Sanders,S000033
Bill Bradley,B001225
Bill Cassidy,C001075
Bill Frist,F000439
Bill Nelson,N000032
Blanche Lincoln,L000035
Bob Corker,C001071
Bob Graham,G000352
Bob Smith,S000606
Brian Schatz,S001194
Brock Adams,A000031
Byron Dorgan,D000432
Carl Levin,L000261
Carol Moseley Braun,M001025
Carte Goodwin,G000561
Charles E. Schumer,S000148
"Charles Mathias, Jr.",M000241
Charles Percy,P000222
Charles Robb,R000295
Christopher A. Coons,C001088
Christopher Dodd,D000388
Christopher Murphy,M001169
Chuck Grassley,G000386
Chuck Hagel,H001028
Claiborne Pell,P000193
Claire McCaskill,M001170
"Connie Mack, III",M000019
Conrad Burns,B001126
Cory A. Booker,B001288
Cory Gardner,G000562
Craig Thomas,T000162
Dale Bumpers,B001057
Dan Quayle,Q000007
Daniel Coats,C000542
Daniel Evans,E000236
Daniel K. Akaka,A000069
Daniel K. Inouye,I000025
Daniel Moynihan,M001054
Daniel Sullivan,S001198
David Boren,B000639
David Durenberger,D000566
David Karnes,K000011
David Perdue,P000612
David Pryor,P000556
David Vitter,V000127
Dean Barkley,B001237
Dean Heller,H001041
Deb Fischer,F000463
Debbie Stabenow,S000770
Dee Huddleston,H000905
Dennis DeConcini,D000185
Dianne Feinstein,F000062
Dirk Kempthorne,K000088
Don Nickles,N000102
"Donald Riegle, Jr.",R000249
Edward J. Markey,M000133
Edward Kaufman,K000373
Edward Zorinsky,Z000013
Elizabeth Dole,D000601
Elizabeth Warren,W000817
Evan Bayh,B001233
Frank Murkowski,M001085
Frank R. Lautenberg,L000123
Fred Thompson,T000457
Fritz Hollings,H000725
Gary Hart,H000287
Gary Peters,P000595
George Allen,A000121
George LeMieux,L000572
George Mitchell,M000811
George Voinovich,V000126
Gordon Humphrey,H000951
Gordon Smith,S001142
Hank Brown,B000919
Harlan Mathews,M000236
Harris Wofford,W000665
Harrison Schmitt,S000132
"Harrison Williams, Jr.",W000502
"Harry Byrd, Jr.",B001209
Harry Reid,R000146
Heidi Heitkamp,H001069
"Henry Heinz, III",H000456
Henry Jackson,J000013
Herb Kohl,K000305
Hillary Clinton,C001041
"Howard Baker, Jr.",B000063
Howard Cannon,C000120
Howard Metzenbaum,M000678
Howell Heflin,H000445
Jack Reed,R000122
Jacob Hecht,H000439
Jake Garn,G000072
James Abdnor,A000009
James Broyhill,B000966
James E. Risch,R000584
James Exon,E000284
James Lankford,L000575
James M. Inhofe,I000024
James McClure,M000346
James Sanford,S000055
James Sasser,S000068
Jean Carnahan,C001043
Jeanne Shaheen,S001181
Jeff Bingaman,B000468
Jeff Chiesa,C001100
Jeff Flake,F000444
Jeff Merkley,M001176
Jeff Sessions,S001141
Jennings Randolph,R000046
"Jeremiah Denton, Jr.",D000259
Jerry Moran,M000934
Jesse Helms,H000463
Jim Bunning,B001066
Jim DeMint,D000595
Jim Jeffords,J000072
Jim Talent,T000024
Jim Webb,W000803
Jocelyn Burdick,B001076
Joe Donnelly,D000607
"Joe Manchin, III",M001183
John Ashcroft,A000356
John Barrasso,B001261
John Boozman,B001236
John Breaux,B000780
John Chafee,C000269
John Cornyn,C001056
"John D. Rockefeller, IV",R000361
John Danforth,D000030
John E. Walsh,W000818
John East,E000017
John Edwards,E000286
John Ensign,E000194
John F. Kerry,K000148
"John Glenn, Jr.",G000236
John Hoeven,H001061
"John Johnston, Jr.",J000189
John McCain,M000303
John Melcher,M000635
John Seymour,S000269
John Stennis,S000852
John Sununu,S001078
John Thune,T000250
John Tower,T000322
John Warner,W000154
Johnny Isakson,I000055
Jon Corzine,C001042
Jon Kyl,K000352
Jon Tester,T000464
Joni Ernst,E000295
"Joseph Biden, Jr.",B000444
Joseph I. Lieberman,L000304
Judd Gregg,G000445
Kay Bailey Hutchison,H001016
Kay R. Hagan,H001049
Kelly Ayotte,A000368
Ken Salazar,S001163
Kent Conrad,C000705
Kirsten E. Gillibrand,G000555
Kit Bond,B000611
Lamar Alexander,A000360
Larry Craig,C000858
Larry Pressler,P000513
Lauch Faircloth,F000437
"Lawton Chiles, Jr.",C000356
Lincoln Chafee,C001040
Lindsey Graham,G000359
Lisa Murkowski,M001153
"Lloyd Bentsen, Jr.",B000401
"Lowell Weicker, Jr.",W000253
Mack Mattingly,M000257
Malcolm Wallop,W000092
Marco Rubio,R000595
Maria Cantwell,C000127
Mark Andrews,A000208
Mark Begich,B001265
Mark Dayton,D000596
Mark Hatfield,H000343
Mark Kirk,K000360
Mark L. Pryor,P000590
Mark R. Warner,W000805
Mark Udall,U000038
Martin Heinrich,H001046
Mary L. Landrieu,L000550
Max Baucus,B000243
Maxwell Cleland,C001034
Mazie K. Hirono,H001042
Mel Martinez,M001162
Michael B. Enzi,E000285
Michael F. Bennet,B001267
Mike Crapo,C000880
Mike DeWine,D000294
Mike Johanns,J000291
Mike Lee,L000577
Mike Rounds,R000605
Mitch McConnell,M000355
Nancy Kassebaum,K000017
Nicholas Brady,B000756
Norm Coleman,C001057
Olympia J. Snowe,S000663
Orrin G. Hatch,H000338
Pat Roberts,R000307
Patrick J. Leahy,L000174
Patrick J. Toomey,T000461
Patty Murray,M001111
Paul Coverdell,C000813
"Paul Kirk, Jr.",K000374
Paul Laxalt,L000148
Paul Sarbanes,S000064
Paul Simon,S000423
"Paul Trible, Jr.",T000367
Paul Tsongas,T000393
Paul Wellstone,W000288
Paula Hawkins,H000374
Pete Domenici,D000407
Pete Wilson,W000607
Peter Fitzgerald,F000442
Phil Gramm,G000365
Quentin Burdick,B001077
Rand Paul,P000603
Richard Blumenthal,B001277
Richard Bryan,B000993
Richard Burr,B001135
Richard C. Shelby,S000320
Richard G. Lugar,L000504
Richard J. Durbin,D000563
Rick Santorum,S000059
Rob Portman,P000449
Robert Bennett,B000382
Robert Byrd,B001210
Robert Dole,D000401
"Robert Kasten, Jr.",K000019
Robert Kerrey,K000146
Robert Krueger,K000333
Robert Menendez,M000639
"Robert P. Casey, Jr.",C001070
Robert Packwood,P000009
Robert Stafford,S000776
Robert Torricelli,T000317
Rod Grams,G000367
Roger F. Wicker,W000437
Roger Jepsen,J000101
Roland Burris,B001266
Ron Johnson,J000293
Ron Wyden,W000779
Roy Blunt,B000575
Rudy Boschwitz,B000647
Russell Feingold,F000061
Russell Long,L000428
Sam Brownback,B000953
Samuel Hayakawa,H000384
Samuel Nunn,N000171
Saxby Chambliss,C000286
Scott P. Brown,B001268
Sheila Frahm,F000438
Sheldon Whitehouse,W000802
Shelley Moore Capito,C001047
Sherrod Brown,B000944
Slade Gorton,G000333
Spark Matsunaga,M000250
Spencer Abraham,A000355
Steve Daines,D000618
Steven Symms,S001138
Strom Thurmond,T000254
Susan M. Collins,C001035
Tammy Baldwin,B001230
Ted Cruz,C001098
Ted Kennedy,K000105
Ted Stevens,S000888
Thad Cochran,C000567
Thom Tillis,T000476
Thomas Eagleton,E000004
Thomas R. Carper,C000174
Tim Hutchinson,H001015
Tim Johnson,J000177
Tim Kaine,K000384
Tim Scott,S001184
Timothy Wirth,W000647
Tom Coburn,C000560
Tom Cotton,C001095
Tom Daschle,D000064
Tom Harkin,H000206
Tom Udall,U000039
Trent Lott,L000447
Warren Rudman,R000497
Wayne Allard,A000109
Wendell Ford,F000268
William Armstrong,A000219
William Cohen,C000598
William M. Cowan,C001099
William Proxmire,P000553
"William Roth, Jr.",R000460
"Wyche Fowler, Jr.",F000329
Zell Miller,M001141
