executive,en_party_name,website,id,en_title,image,email,en_constituency_name,name,group,area,twitter,en_region_name,other_name,term,name__en,gender,birth_date,given_name,identifier__viaf,family_name,identifier__lcauth,identifier__sudoc,identifier__isni,identifier__nta,identifier__freebase,identifier__hansard,wikipedia__en
The Minister for Communities and Tackling Poverty,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=154,154,The Minister for Communities and Tackling Poverty,http://www.senedd.assemblywales.org/UserData/4/5/1/Info00000154/bigpic.jpg,Lesley.Griffiths@assembly.wales,Wrexham,Lesley Griffiths,Welsh Labour,Wrexham,,,,4,Lesley Griffiths,female,1960-01-01,Lesley,,,,,,,,,Lesley Griffiths
The Minister for Natural Resources,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=178,178,The Minister for Natural Resources,http://www.senedd.assemblywales.org/UserData/8/7/1/Info00000178/bigpic.jpg,Carl.Sargeant@assembly.wales,Alyn and Deeside,Carl Sargeant,Welsh Labour,Alyn and Deeside,,,,4,Carl Sargeant,male,1968-01-01,Carl,,,,,,,,,Carl Sargeant
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=152,152,,http://www.senedd.assemblywales.org/UserData/2/5/1/Info00000152/bigpic.jpg,Janice.Gregory@assembly.wales,Ogmore,Janice Gregory,Welsh Labour,Ogmore,,,,4,Janice Gregory,female,1955-01-10,Janice,,,,,,,,,Janice Gregory
The Minister for Finance and Government Business,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=156,156,The Minister for Finance and Government Business,http://www.senedd.assemblywales.org/UserData/6/5/1/Info00000156/bigpic.jpg,Jane.Hutt@assembly.wales,Vale of Glamorgan,Jane Hutt,Welsh Labour,Vale of Glamorgan,http://twitter.com/JaneHutt,,,4,Jane Hutt,female,1949-12-15,Jane,,,,,,,,,Jane Hutt
The First Minister,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=102,102,The First Minister,http://www.senedd.assemblywales.org/UserData/2/0/1/Info00000102/bigpic.jpg,Carwyn.Jones@assembly.wales,Bridgend,Carwyn Jones,Welsh Labour,Bridgend,,,,4,Carwyn Jones,male,1967-03-21,Carwyn,256290018,Jones,no2009057457,,,,/m/09bptc,,Carwyn Jones
"The Minister for Economy, Science and Transport",Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=155,155,"The Minister for Economy, Science and Transport",http://www.senedd.assemblywales.org/UserData/5/5/1/Info00000155/bigpic.jpg,Edwina.Hart@assembly.wales,Gower,Edwina Hart,Welsh Labour,Gower,,,,4,Edwina Hart,female,1957-04-26,Edwina,63834552,,,,,,,,Edwina Hart
The Minister for Health and Social Services,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=253,253,The Minister for Health and Social Services,http://www.senedd.assemblywales.org/UserData/3/5/2/Info00000253/bigpic.jpg,Mark.Drakeford@assembly.wales,Cardiff West,Mark Drakeford,Welsh Labour,Cardiff West,http://twitter.com/MarkDrakeford,,,4,Mark Drakeford,male,1954-09-19,Mark,71727654,,,,,,,,Mark Drakeford
The Minister for Public Services,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=582,582,The Minister for Public Services,http://www.senedd.assemblywales.org/UserData/2/8/5/Info00000582/bigpic.jpg,Leighton.Andrews@assembly.wales,Rhondda,Leighton Andrews,Welsh Labour,Rhondda,http://twitter.com/leightonandrews,,,4,Leighton Andrews,male,1957-08-11,Leighton,44222793,,,122624351,,,,,Leighton Andrews
The Minister for Education and Skills,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=166,166,The Minister for Education and Skills,http://www.senedd.assemblywales.org/UserData/6/6/1/Info00000166/bigpic.jpg,Huw.Lewis@assembly.wales,Merthyr Tydfil and Rhymney,Huw Lewis,Welsh Labour,Merthyr Tydfil and Rhymney,http://twitter.com/huwlewis,,,4,Huw Lewis,male,1964-01-17,Huw,19503394,,,,,,,,Huw Lewis
Commissioner-Welsh Liberal Democrats,Welsh Liberal Democrats,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=133,133,Commissioner,http://www.senedd.assemblywales.org/UserData/3/3/1/Info00000133/bigpic.jpg,Peter.Black@assembly.wales,,Peter Black,Welsh Liberal Democrats,South Wales West,http://twitter.com/peterblackwales,South Wales West,,4,Peter Black,male,1960-01-30,Peter,29672987,,,035358904,0000 0001 1440 6093,291414435,,,Peter Black (Welsh politician)
,Welsh Liberal Democrats,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=184,184,,http://www.senedd.assemblywales.org/UserData/4/8/1/Info00000184/bigpic.jpg,Kirsty.Williams@assembly.wales,Brecon and Radnorshire,Kirsty Williams,Welsh Liberal Democrats,Brecon and Radnorshire,http://twitter.com/kirsty_williams,,,4,Kirsty Williams,female,1971-03-19,Kirsty,90505796,Williams,,,,,,,Kirsty Williams
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=425,425,,http://www.senedd.assemblywales.org/UserData/5/2/4/Info00000425/bigpic.jpg,llyr.gruffydd@assembly.wales,,Llyr Gruffydd,Plaid Cymru,North Wales,http://twitter.com/LlyrGruffydd,North Wales,,4,Llyr Huws Gruffydd,male,1970-09-25,,,,,,,,,,Llyr Huws Gruffydd
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=383,383,,http://www.senedd.assemblywales.org/UserData/3/8/3/Info00000383/bigpic.jpg,Simon.Thomas@assembly.wales,,Simon Thomas,Plaid Cymru,Mid and West Wales,http://twitter.com/SimonThomasAC,Mid and West Wales,,4,Simon Thomas,male,1963-12-28,Simon,,,,,,,,,Simon Thomas (politician)
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=185,185,,http://www.senedd.assemblywales.org/UserData/5/8/1/Info00000185/bigpic.jpg,Leanne.Wood@assembly.wales,,Leanne Wood,Plaid Cymru,South Wales Central,http://twitter.com/leannewood,South Wales Central,,4,Leanne Wood,female,1971-12-13,,,,,,,,/m/02phppl,,Leanne Wood
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=162,162,,http://www.senedd.assemblywales.org/UserData/2/6/1/Info00000162/bigpic.jpg,Elin.Jones@assembly.wales,Ceredigion,Elin Jones,Plaid Cymru,Ceredigion,http://twitter.com/ElinCeredigion,,,4,Elin Jones,female,1966-09-01,Elin,21912192,Jones,,,,,,,Elin Jones
