name,wikiname,area,group,term,id,name__fr,name__de,name__nb,name__da,name__nn,name__sv,name__en,wikipedia__de,wikipedia__fr,gender,birth_date,given_name,name__it
Patalione Kanimoa,"","Hahake, Wallis",Groupe RPWF-UMP,2012,,,,,,,,,,,,,,
Atoloto Kolokilagi,"","Hihifo, Wallis",Groupe RPWF-UMP,2012,,,,,,,,,,,,,,
Yannick Feleu,"","Mua, Wallis",Groupe RPWF-UMP,2012,,,,,,,,,,,,,,
Toma Savea,"","Alo, Futuna",Groupe RPWF-UMP,2012,,,,,,,,,,,,,,
Pasikale Niutoua,"","Sigave, Futuna",Groupe centriste,2012,,,,,,,,,,,,,,
Sosefo Motuku,"","Alo, Futuna",Groupe centriste,2012,,,,,,,,,,,,,,
Sosefo Suve,Sosefo Suve,"Hihifo, Wallis",Non-inscrits divers droite,2012,Q16677532,Sosefo Suve,,,,,,Sosefo Suve,,Sosefo Suve,male,,,Sosefo Suve
Mireille Laufilitoga,"","Mua, Wallis",Non-inscrits divers droite,2012,,,,,,,,,,,,,,
Emile Selui,"","Mua, Wallis",Non-inscrits divers droite,2012,,,,,,,,,,,,,,
Nivaleta Iloai,Nivaleta Iloai,"Hihifo, Wallis",Non-inscrits divers gauche,2012,Q16666634,Nivaleta Iloai,,,,,,Nivaleta Iloai,,Nivaleta Iloai,female,,,Nivaleta Iloai
Petelo Falelavaki,"","Sigave, Futuna",Non-inscrits divers gauche,2012,,,,,,,,,,,,,,
Mikaele Kulimoetoke,"","Hahake, Wallis",Non-inscrits divers gauche,2012,,,,,,,,,,,,,,
Bernard Taufana,"","Mua, Wallis",Non-inscrits divers gauche,2012,,,,,,,,,,,,,,
Savelina Vea,"","Sigave, Futuna",Groupe USPWF,2012,,,,,,,,,,,,,,
Vetelino Nau,Vetelino Nau,"Alo, Futuna",Groupe USPWF,2012,Q3556407,Vetelino Nau,,,,,,Vetelino Nau,,Vetelino Nau,male,,,Vetelino Nau
David Vergé,David Vergé,"Hahake, Wallis",Non-inscrits divers gauche,2012,Q3018926,David Vergé,David Vergé,David Vergé,David Vergé,David Vergé,David Vergé,David Vergé,David Vergé,David Vergé,male,1972-01-10,David,
Petelo Hanisi,Petelo Hanisi,"Hahake, Wallis",Non-inscrits divers gauche,2012,Q16669591,Petelo Hanisi,,,,,,Petelo Hanisi,,Petelo Hanisi,male,,Petelo,Petelo Hanisi
Munipoese Muliakaaka,"","Mua, Wallis",Non-inscrits divers gauche,2012,,,,,,,,,,,,,,
Eselone Ikai,"","Mua, Wallis",Non-inscrits divers gauche,2012,,,,,,,,,,,,,,
Frédéric Baudry,"","Alo, Futuna",Non-inscrits divers gauche,2012,,,,,,,,,,,,,,
