name,wikiname,area,party,term
Patalione Kanimoa,"","Hahake, Wallis",Groupe RPWF-UMP,2012
Atoloto Kolokilagi,"","Hihifo, Wallis",Groupe RPWF-UMP,2012
Yannick Feleu,"","Mua, Wallis",Groupe RPWF-UMP,2012
Toma Savea,"","Alo, Futuna",Groupe RPWF-UMP,2012
Pasikale Niutoua,"","Sigave, Futuna",Groupe centriste,2012
Sosefo Motuku,"","Alo, Futuna",Groupe centriste,2012
Sosefo Suve,Sosefo Suve,"Hihifo, Wallis",Non-inscrits divers droite,2012
Mireille Laufilitoga,"","Mua, Wallis",Non-inscrits divers droite,2012
Emile Selui,"","Mua, Wallis",Non-inscrits divers droite,2012
Nivaleta Iloai,Nivaleta Iloai,"Hihifo, Wallis",Non-inscrits divers gauche,2012
Petelo Falelavaki,"","Sigave, Futuna",Non-inscrits divers gauche,2012
Mikaele Kulimoetoke,"","Hahake, Wallis",Non-inscrits divers gauche,2012
Bernard Taufana,"","Mua, Wallis",Non-inscrits divers gauche,2012
Savelina Vea,"","Sigave, Futuna",Groupe USPWF,2012
Vetelino Nau,Vetelino Nau,"Alo, Futuna",Groupe USPWF,2012
David Vergé,David Vergé,"Hahake, Wallis",Non-inscrits divers gauche,2012
Petelo Hanisi,Petelo Hanisi,"Hahake, Wallis",Non-inscrits divers gauche,2012
Munipoese Muliakaaka,"","Mua, Wallis",Non-inscrits divers gauche,2012
Eselone Ikai,"","Mua, Wallis",Non-inscrits divers gauche,2012
Frédéric Baudry,"","Alo, Futuna",Non-inscrits divers gauche,2012
