name,id
Abel Sichula,403
Alexander Bwalya Chikwanda,195
Alfreda C Kansembe Mwamba,359
Allan Divide Mbewe,313
Annie Chungu Munshya,213
Austin Chiyobeka Milambo,319
Berina Katongo Kawandami,281
Boniface Mutale,349
Boyd Hamusonde,222
Brian Kaimbi Chitafu,3391
Brian Macloudine Muleya Ntundu,385
Brig. Gen Brian Chituwo (Rtd) GCDS,211
Brig. Gen. Benson Mathias Kapaya (Rtd),253
Carlos Jose Antonio,5
Catherine Namugala,370
Charles Zulu,432
Chifita Matafwali,309
Chifumu Kingdom Banda,63
Chinga Miyutu,323
Chishimba Kambwili,240
Chitalu Chilufya,3340
Chomba Freedom Sikazwe,404
Christabel Ngimbu,3352
Christopher Bwalya Yaluma,429
Christopher Kalila Kalila,231
Christopher Mulenga,341
Clive Darius Miyanda,321
Col. Gerry Chanda (Rtd),189
Col. Joseph Lungu,299
Conellius Mweetwa,363
Danny Ching'imbu,196
David Mabumba,301
Davies Chisopa,3384
Davies Mwango,361
Davies Mwila,367
Dawson Kafwaya,3363
Derick Livune,292
Dorothy Mupeta Kazunga,285
Eddie Musonda,3379
Edgar Sing’ombe,411
Effron Chakupa Lungu,298
Elijah Julaki Muchima,337
Emerine Kabanshi,224
Emmanuel Tawanda Chenda,191
Ephraim Kaang'andu Belemu,186
Evans Lawrence,3792
Fackson Shamenda,393
Felix C Mutati,353
Forrie Raisi Tembo,420
Gabriel Namulambe,372
Gary G Nkombo,82
Geoffrey Bwalya Mwamba,360
Geoffrey Lungwangwa,296
Given Lubinda,293
Greyford Monde,326
Guy Lindsay Scott,392
Harry Kalaba,228
Hastings Sensembeka Chansa,190
Highvie Hambulo Hamududu,220
Howard Kunda,290
Humphrey Iddoh Mwanza,362
Ingrid Mphande,3402
Inonge Mutukwa Wina,427
Isaac Kafulamchenga Banda,3
Jacob Jack Mwiimbu,368
James Mambepa Kapyanga,255
January Jamson Zimba,433
Jean Kapata,242
John Kufuna,288
John T Ngwata Phiri,387
Joseph Katema,265
Joseph Mwenya Kasonde,138
Josephine Mwiya Limata,291
Keith Mukata,340
Kennedy Kaunda Hamudulu,221
Kenneth Chipungu,197
Kenneth Konga,286
Lazarous Bwalya Chungu,187
Levy Chabala,188
Levy Joseph Ngoma,376
Likando Mweemba Mufalali,338
Lt Col. (Rtd) Panji Kaunda,275
Luxon Syanzila Kazabu,283
Lwiji Ambrose Lufuma,295
Margaret Mhango Mwanakatwe,3754
Margaret Miti,3372
Maxas Joel Bweupe Ng’onga,379
Michael Liwanga Kaingu,225
Micheal Zondani Jay Katambo,264
Mighty Mumba,343
Miles Sampa,390
Misheck Mutelo,3226
Mkhondo Danwood Lungu,53
Moono Lubezhi,294
Moses Chishimba,207
Moses Muteteka,354
Mundia Ndalamei,374
Munji Habeenzu,219
Musenge Laban Mwenya,364
Mushili Allan Malama,302
Mutaba Andrew Mwali,355
Mutinta C Mazoka,310
Mwalimu Simfukwe,409
Mwambwa Gertrude Mulumemui Mwendaweli Imenda,223
Mwansa Kapeya,263
Mwansa Mbulakulima,314
Mwimba Henry Malama,304
Nathaniel Mubukwanu,335
Nevelyn Gillies Willombe,423
Ngosa Simbyakula,408
Nicholas Kumbukani Banda,4
Nickson Chilangwa,193
Nkandu Luo,300
Obius Chabu Chisala,199
Obvious Summerton Mwaliteta,356
Oliver Chinyama Mulomba,342
Patrick Anselm Ngoma,377
Patrick Matibini,51
Patrick Mucheleka,102
Peter Phiri,3335
Philip Kosamu,287
Poniso Njeulu,381
Rayford Mbulu,315
Raymond Lukonde Mpundu,333
Request Muntanga,344
Reuben Phiri Mtolo,88
Rev. Lt. Gen.Ronald Shikapwasha,394
Richard Musukwa,348
Richwell Siamunene,395
Rodgers Mwewa,366
Rogers Lyambai Lingweshi,3346
Ronald K Chitotela,209
Sarah Sayifwanda,391
Sianga Siyauya,398
Sichone Malozo,402
Situmbeko Musokotwane,347
Stephen Chungu,218
Stephen Kampyongo,260
Stephen Katuka,272
Steven Masumba,307
Sydney Mushanga,345
Sylvia Masebo,150
Victoria Kalima,238
Vincent Mwale,358
Vitalis Moonga Mooya,329
Whiteson Banda,185
Wylbur Chisiya Simuusa,410
Yamfwa Dingle Mukanga,69
