id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
31,Abacar Chande,Abacar Chande,,,,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,area/nampula,NAMPULA,Assembleia da República,8,,,,male
176,Abdala Ossifo Ibraimo,Abdala Ossifo Ibraimo,,,,BANCADA PARLAMENTAR DA RENAMO,RENAMO,area/zambÉzia,ZAMBÉZIA,Assembleia da República,8,,,,male
126,Abdul Gafur Mamade Hossene Issufo,Abdul Gafur Mamade Hossene Issufo,,,,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,area/maputo_provincia,MAPUTO PROVINCIA,Assembleia da República,8,,,,male
159,Abiba Aba,Abiba Aba,,,,BANCADA PARLAMENTAR DA RENAMO,RENAMO,area/nampula,NAMPULA,Assembleia da República,8,,,,female
24,Afonso Januário Bombene,Afonso Januário Bombene,,,,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,area/cabo_delgado,CABO DELGADO,Assembleia da República,8,,,,male
18,Afonso Lopes Nipero,Afonso Lopes Nipero,,,,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,area/cabo_delgado,CABO DELGADO,Assembleia da República,8,,,,male
144,Agostinho André Likangóne,Agostinho André Likangóne,,,,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,area/África,ÁFRICA,Assembleia da República,8,,,,male
5,Agostinho Cosme Manje,Agostinho Cosme Manje,,,,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,area/niassa,NIASSA,Assembleia da República,8,,,,male
90,Agostinho Gomes Chipindula,Agostinho Gomes Chipindula,,,,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,area/sofala,SOFALA,Assembleia da República,8,,,,male
43,Agostinho José Lobato,Agostinho José Lobato,,,,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,area/nampula,NAMPULA,Assembleia da República,8,,,,male
118,Agostinho Zacarias Vuma,Agostinho Zacarias Vuma,,,,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,area/gaza,GAZA,Assembleia da República,8,,,,male
60,Aida Maria Soares,Aida Maria Soares,,,,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,area/zambezia,ZAMBEZIA,Assembleia da República,8,,,,female
165,Ainca Micusserima Chande,Ainca Micusserima Chande,,,,BANCADA PARLAMENTAR DA RENAMO,RENAMO,area/nampula,NAMPULA,Assembleia da República,8,,,,female
