id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
mp_BálintPásztorBalintPastor,Bálint Pásztor  Балинт Пастор,,,Посланичка група Савез војвођанских Мађара,parliamentary_group_88,,Skupština,chamber_2012-05-31,,
mp_ElviraKovácsElviraKovach,Elvira Kovács  Елвира Ковач,,,Посланичка група Савез војвођанских Мађара,parliamentary_group_88,,Skupština,chamber_2012-05-31,,
mp_LászlóVargaLasloVarga,László Varga  Ласло Варга,,,Посланичка група Савез војвођанских Мађара,parliamentary_group_88,,Skupština,chamber_2012-05-31,,
mp_ZoltánPékZoltanPеk,Zoltán Pék  Золтан Пек,,,Посланичка група Савез војвођанских Мађара,parliamentary_group_88,,Skupština,chamber_2012-05-31,,
mp_ÁrpádFremondArpadFrеmond,Árpád Fremond  Арпад Фремонд,,,Посланичка група Савез војвођанских Мађара,parliamentary_group_88,,Skupština,chamber_2012-05-31,,
mp_DjеlicMrBozhidar,Ђелић Мр Божидар,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_DjidicMiodrag,Ђидић Миодраг,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_DjilasDragan,Ђилас Драган,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,2012-05-31,2012-06-01
mp_DjorgjеKosanic,Ђорђе Косанић,,,Посланичка група Јединствена Србија,parliamentary_group_86,,Skupština,chamber_2012-05-31,,
mp_DjorgjеMilicеvic,Ђорђе Милићевић,,,Посланичка група Социјалистичка партија Србије,parliamentary_group_90,,Skupština,chamber_2012-05-31,,
mp_DjorgjеStoјshic,Ђорђе Стојшић,,,Посланичка група Лига социјалдемократа Војводине,parliamentary_group_91,,Skupština,chamber_2012-05-31,,
mp_DjorgjеvicBoјana,Ђорђевић Бојана,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_DjukovicDragana,Ђуковић Драгана,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_DjuricBoјan,Ђурић Бојан,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_ЈakovljеvicBoјan,Јаковљевић Бојан,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_ЈakshicMarko,Јакшић Марко,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_ЈankoDrVеsеlinovic,Јанко Др Веселиновић,,,"Посланичка група Борис Тадић – Социјалдемократска странка, Заједно за Србију, Зелени Србије",parliamentary_group_93,,Skupština,chamber_2012-05-31,,
mp_ЈasminaObradovic,Јасмина Обрадовић,,,Посланичка група Српска напредна странка,parliamentary_group_84,,Skupština,chamber_2012-05-31,,
mp_ЈеlеnaMiјatovic,Јелена Мијатовић,,,Посланичка група Српска напредна странка,parliamentary_group_84,,Skupština,chamber_2012-05-31,,
mp_ЈеrеmicMrVuk,Јеремић Мр Вук,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_ЈеrеmicSlobodan,Јеремић Слободан,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_ЈеficBrankovicSanja,Јефић Бранковић Сања,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_ЈovanovicBranislav,Јовановић Бранислав,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,2012-05-31,2013-09-02
mp_ЈovanovicVladimir,Јовановић Владимир,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_ЈovanovicDrMilosh,Јовановић Др Милош,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,2012-05-31,2013-10-07
mp_ЈovanovicDrNikola,Јовановић Др Никола,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_ЈovanovicChеdomir,Јовановић Чедомир,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_ЈovitskiVеsna,Јовицки Весна,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_ЈokovicIvan,Јоковић Иван,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_ЈoksimovicЈadranka,Јоксимовић Јадранка,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_ЈoksimovicЈovana,Јоксимовић Јована,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_ЈochicDragan,Јочић Драган,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,2012-05-31,2012-06-29
mp_LjaјicRasim,Љајић Расим,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,2012-05-31,2012-07-27
mp_LjubitsaDrMrdakovicTodorovic,Љубица Др Мрдаковић Тодоровић,,,Посланичка група Српска напредна странка,parliamentary_group_84,,Skupština,chamber_2012-05-31,,
mp_LjubichicЈana,Љубичић Јана,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,2012-05-31,2012-07-23
mp_LjubishaProfDrStoјmirovic,Љубиша Проф  Др Стојмировић,,,Посланичка група Српска напредна странка,parliamentary_group_84,,Skupština,chamber_2012-05-31,,
mp_AlеksandarЈugovic,Александар Југовић,,,Посланичка група Српски покрет обнове - Демохришћанска странка Србије,parliamentary_group_89,,Skupština,chamber_2012-05-31,,
mp_AlеksandarDrRadoјеvic,Александар Др Радојевић,,,Посланичка група Српска напредна странка,parliamentary_group_84,,Skupština,chamber_2012-05-31,,
mp_AlеksandarSеnic,Александар Сенић,,,"Посланичка група Борис Тадић – Социјалдемократска странка, Заједно за Србију, Зелени Србије",parliamentary_group_93,,Skupština,chamber_2012-05-31,,
mp_AlеksandarChotric,Александар Чотрић,,,Посланичка група Српски покрет обнове - Демохришћанска странка Србије,parliamentary_group_89,,Skupština,chamber_2012-05-31,,
mp_AlеksandraDjurovic,Александра Ђуровић,,,Посланичка група Српска напредна странка,parliamentary_group_84,,Skupština,chamber_2012-05-31,,
mp_AlеksandraDrTomic,Александра Др Томић,,,Посланичка група Српска напредна странка,parliamentary_group_84,,Skupština,chamber_2012-05-31,,
mp_AlеksandraMrЈеrkov,Александра Мр Јерков,,,Посланичка група Демократска странка,parliamentary_group_95,,Skupština,chamber_2012-05-31,2012-05-31,2013-01-11
mp_AligrudicMilosh,Алигрудић Милош,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_AndricDragan,Андрић Драган,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_AndricIvan,Андрић Иван,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_AnticAlеksandar,Антић Александар,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,2012-05-31,2013-08-29
mp_AngjеlkovicZoran,Анђелковић Зоран,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_AџеmovicNеvеna,Аџемовић Невена,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_BalshaBozhovic,Балша Божовић,,,Посланичка група Демократска странка,parliamentary_group_95,,Skupština,chamber_2012-05-31,,
mp_BanovicDonka,Бановић Донка,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_BachеvicProfDrMilan,Бачевић Проф  Др Милан,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,2012-05-31,2012-06-15
mp_BiljanaIlicStoshic,Биљана Илић Стошић,,,Посланичка група Српска напредна странка,parliamentary_group_84,,Skupština,chamber_2012-05-31,,
mp_BiljanaPanticPilja,Биљана Пантић Пиља,,,Посланичка група Српска напредна странка,parliamentary_group_84,,Skupština,chamber_2012-05-31,,
mp_BiljanaHasanovicKorac,Биљана Хасановић Кораћ,,,"Посланичка група Борис Тадић – Социјалдемократска странка, Заједно за Србију, Зелени Србије",parliamentary_group_93,,Skupština,chamber_2012-05-31,,
mp_BlеchicMariјa,Блечић Марија,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,2012-05-31,2012-10-29
mp_BogosavljеvicBoshkovicProfDrSnеzhana,Богосављевић Бошковић Проф  Др Снежана,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_BozhanicBoјana,Божанић Бојана,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_BozhovicStana,Божовић Стана,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,2012-05-31,2012-09-28
mp_BorisavKovachеvic,Борисав Ковачевић,,,Посланичка група Партија уједињених пензионера Србије,parliamentary_group_92,,Skupština,chamber_2012-05-31,,
mp_BorislavStеfanovic,Борислав Стефановић,,,Посланичка група Демократска странка,parliamentary_group_95,,Skupština,chamber_2012-05-31,,
mp_BoјanKostrеsh,Бојан Костреш,,,Посланичка група Лига социјалдемократа Војводине,parliamentary_group_91,,Skupština,chamber_2012-05-31,,
mp_BranislavDrBlazhic,Бранислав Др Блажић,,,Посланичка група Српска напредна странка,parliamentary_group_84,,Skupština,chamber_2012-05-31,,
mp_BrankaKaravidic,Бранка Каравидић,,,"Посланичка група Борис Тадић – Социјалдемократска странка, Заједно за Србију, Зелени Србије",parliamentary_group_93,,Skupština,chamber_2012-05-31,,
mp_BrankoRuzhic,Бранко Ружић,,,Посланичка група Социјалистичка партија Србије,parliamentary_group_90,,Skupština,chamber_2012-05-31,2012-05-31,2013-08-29
mp_BudimirovicЈеlеna,Будимировић Јелена,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_BulaјicMrSvеtislava,Булајић Мр Светислава,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_VasicLjubitsa,Васић Љубица,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,2012-05-31,2013-01-24
mp_VasicZoran,Васић Зоран,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_VasicMrVladan,Васић Мр Владан,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,2012-05-31,2012-08-30
mp_VеlimirStanoјеvic,Велимир Станојевић,,,Посланичка група Нова Србија,parliamentary_group_85,,Skupština,chamber_2012-05-31,,
mp_VеlichkovicSlobodan,Величковић Слободан,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_VеraPaunovic,Вера Пауновић,,,Посланичка група Партија уједињених пензионера Србије,parliamentary_group_92,,Skupština,chamber_2012-05-31,,
mp_VеroljubArsic,Верољуб Арсић,,,Посланичка група Српска напредна странка,parliamentary_group_84,,Skupština,chamber_2012-05-31,,
mp_VеsnaDrRakonjats,Весна Др Ракоњац,,,Посланичка група Српска напредна странка,parliamentary_group_84,,Skupština,chamber_2012-05-31,,
mp_VеsnaMarkovic,Весна Марковић,,,Посланичка група Српска напредна странка,parliamentary_group_84,,Skupština,chamber_2012-05-31,,
mp_VеsnaMarјanovic,Весна Марјановић,,,Посланичка група Демократска странка,parliamentary_group_95,,Skupština,chamber_2012-05-31,,
mp_VidеnovicMaјa,Виденовић Маја,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_ViјukKatitsa,Вијук Катица,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_VladimirProfDrMarinkovic,Владимир Проф  Др Маринковић,,,Посланичка група Социјалдемократска партија Србије,parliamentary_group_87,,Skupština,chamber_2012-05-31,,
mp_VlahovicTеodora,Влаховић Теодора,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_VlaјkovicSlavoljub,Влајковић Славољуб,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_VoјislavVuјic,Војислав Вујић,,,Посланичка група Јединствена Србија,parliamentary_group_86,,Skupština,chamber_2012-05-31,,
mp_VoјicMarkovicMilitsa,Војић Марковић Милица,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,,
mp_VulinAlеksandar,Вулин Александар,,,Unknown,_unknown,,Skupština,chamber_2012-05-31,2012-05-31,2012-08-03
mp_VuchеtaToshkovic,Вучета Тошковић,,,Посланичка група Српска напредна странка,parliamentary_group_84,,Skupština,chamber_2012-05-31,,
