id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
TK6,Dr Andrew Southcott MP,Andrew.Southcott.MP@aph.gov.au,https://www.facebook.com/AndrewSouthcottMP,Liberal Party of Australia,liberal_party_of_australia,"Boothby, South Australia",House of Representatives,44,,
72184,Dr David Gillespie MP,,https://twitter.com/DaveGillespieMP,The Nationals,the_nationals,"Lyne, New South Wales",House of Representatives,44,,
DYN,Dr Dennis Jensen MP,Dennis.Jensen.MP@aph.gov.au,http://twitter.com/DennisJensenMP,Liberal Party of Australia,liberal_party_of_australia,"Tangney, Western Australia",House of Representatives,44,,
37998,Dr Jim Chalmers MP,,https://twitter.com/JEChalmers,Australian Labor Party,australian_labor_party,"Rankin, Queensland",House of Representatives,44,,
00BCM,Dr Peter Hendy MP,,,Liberal Party of Australia,liberal_party_of_australia,"Eden-Monaro, New South Wales",House of Representatives,44,,
VU5,Hon Alan Griffin MP,Alan.Griffin.MP@aph.gov.au,,Australian Labor Party,australian_labor_party,"Bruce, Victoria",House of Representatives,44,,
M2Y,Hon Alan Tudge MP,,http://twitter.com/AlanTudgeMP,Liberal Party of Australia,liberal_party_of_australia,"Aston, Victoria",House of Representatives,44,,
L6P,Hon Alannah MacTiernan MP,,https://twitter.com/AlannahMac,Australian Labor Party,australian_labor_party,"Perth, Western Australia",House of Representatives,44,,
HWA,Hon Amanda Rishworth MP,,http://twitter.com/AmandaRishworth,Australian Labor Party,australian_labor_party,"Kingston, South Australia",House of Representatives,44,,
FU4,"Hon Andrew Robb AO, MP",Andrew.Robb.MP@aph.gov.au,http://twitter.com/AndrewRobbMP,Liberal Party of Australia,liberal_party_of_australia,"Goldstein, Victoria",House of Representatives,44,,
R36,Hon Anthony Albanese MP,A.Albanese.MP@aph.gov.au,http://twitter.com/AlboMP,Australian Labor Party,australian_labor_party,"Grayndler, New South Wales",House of Representatives,44,,
008K0,Hon Anthony Byrne MP,Anthony.Byrne.MP@aph.gov.au,http://twitter.com/AnthonyByrne_MP,Australian Labor Party,australian_labor_party,"Holt, Victoria",House of Representatives,44,,
E5D,Hon Barnaby Joyce MP,,https://twitter.com/Barnaby_Joyce,The Nationals,the_nationals,"New England, New South Wales",House of Representatives,44,,
83E,Hon Bernie Ripoll MP,Bernie.Ripoll.MP@aph.gov.au,http://twitter.com/bernieripoll_mp,Australian Labor Party,australian_labor_party,"Oxley, Queensland",House of Representatives,44,,
00ATG,Hon Bill Shorten MP,,http://twitter.com/billshortenmp,Australian Labor Party,australian_labor_party,"Maribyrnong, Victoria",House of Representatives,44,,
LL6,Hon Bob Baldwin MP,Bob.Baldwin.MP@aph.gov.au,http://twitter.com/bobbaldwinmp,Liberal Party of Australia,liberal_party_of_australia,"Paterson, New South Wales",House of Representatives,44,,
HX4,Hon Bob Katter MP,Bob.Katter.MP@aph.gov.au,http://twitter.com/RealBobKatter,Katter's Australian Party,katter's_australian_party,"Kennedy, Queensland",House of Representatives,44,,
00AN3,Hon Brendan O'Connor MP,Brendan.O'Connor.MP@aph.gov.au,,Australian Labor Party,australian_labor_party,"Gorton, Victoria",House of Representatives,44,,
SE4,Hon Bronwyn Bishop MP,Bronwyn.Bishop.MP@aph.gov.au,,Liberal Party of Australia,liberal_party_of_australia,"Mackellar, New South Wales",House of Representatives,44,,
1K6,Hon Bruce Billson MP,B.Billson.MP@aph.gov.au,http://twitter.com/BruceBillsonMP,Liberal Party of Australia,liberal_party_of_australia,"Dunkley, Victoria",House of Representatives,44,,
YT4,Hon Bruce Scott MP,Bruce.Scott.MP@aph.gov.au,,The Nationals,the_nationals,"Maranoa, Queensland",House of Representatives,44,,
00AMR,Hon Catherine King MP,Catherine.King.MP@aph.gov.au,http://twitter.com/CatherineKingMP,Australian Labor Party,australian_labor_party,"Ballarat, Victoria",House of Representatives,44,,
DZS,Hon Chris Bowen MP,Chris.Bowen.MP@aph.gov.au,http://twitter.com/Bowenchris,Australian Labor Party,australian_labor_party,"McMahon, New South Wales",House of Representatives,44,,
208884,Hon Christian Porter MP,,https://twitter.com/cporterwa,Liberal Party of Australia,liberal_party_of_australia,"Pearce, Western Australia",House of Representatives,44,,
9V5,Hon Christopher Pyne MP,C.Pyne.MP@aph.gov.au,https://twitter.com/CPyne,Liberal Party of Australia,liberal_party_of_australia,"Sturt, South Australia",House of Representatives,44,,
IPZ,Hon Darren Chester MP,,https://twitter.com/DarrenChesterMP,The Nationals,the_nationals,"Gippsland, Victoria",House of Representatives,44,,
I0O,Hon David Feeney MP,,https://twitter.com/Feeney4Batman,Australian Labor Party,australian_labor_party,"Batman, Victoria",House of Representatives,44,,
BU8,Hon Dr Andrew Leigh MP,andrew.leigh.mp@aph.gov.au,https://twitter.com/ALEIGHMP,Australian Labor Party,australian_labor_party,"Fraser, Australian Capital Territory",House of Representatives,44,,
91219,Hon Ed Husic MP,,http://twitter.com/edhusicmp,Australian Labor Party,australian_labor_party,"Chifley, New South Wales",House of Representatives,44,,
8W5,"Hon Gary Gray AO, MP",Gary.Gray.MP@aph.gov.au,,Australian Labor Party,australian_labor_party,"Brand, Western Australia",House of Representatives,44,,
00AMV,Hon Greg Hunt MP,Greg.Hunt.MP@aph.gov.au,http://www.twitter.com/greghuntmp,Liberal Party of Australia,liberal_party_of_australia,"Flinders, Victoria",House of Representatives,44,,
WN6,Hon Ian Macfarlane MP,Ian.Macfarlane.MP@aph.gov.au,,Liberal Party of Australia,liberal_party_of_australia,"Groom, Queensland",House of Representatives,44,,
IYU,Hon Jamie Briggs MP,,http://twitter.com/BriggsJamie,Liberal Party of Australia,liberal_party_of_australia,"Mayo, South Australia",House of Representatives,44,,
HWL,Hon Jason Clare MP,,http://twitter.com/JasonClareMP,Australian Labor Party,australian_labor_party,"Blaxland, New South Wales",House of Representatives,44,,
PG6,Hon Jenny Macklin MP,,,Australian Labor Party,australian_labor_party,"Jagajaga, Victoria",House of Representatives,44,,
DK6,Hon Joe Hockey MP,J.Hockey.MP@aph.gov.au,http://twitter.com/JoeHockey,Liberal Party of Australia,liberal_party_of_australia,"North Sydney, New South Wales",House of Representatives,44,,
8K6,Hon Joel Fitzgibbon MP,Joel.fitzgibbon.MP@aph.gov.au,http://twitter.com/fitzhunter,Australian Labor Party,australian_labor_party,"Hunter, New South Wales",House of Representatives,44,,
00AN1,Hon John Cobb MP,John.Cobb.MP@aph.gov.au,,The Nationals,the_nationals,"Calare, New South Wales",House of Representatives,44,,
FKL,Hon Josh Frydenberg MP,josh.frydenberg.mp@aph.gov.au,http://twitter.com/JoshFrydenberg,Liberal Party of Australia,liberal_party_of_australia,"Kooyong, Victoria",House of Representatives,44,,
83P,Hon Julie Bishop MP,Julie.Bishop.MP@aph.gov.au,http://twitter.com/JulieBishopMP,Liberal Party of Australia,liberal_party_of_australia,"Curtin, Western Australia",House of Representatives,44,,
HWM,Hon Julie Collins MP,,https://twitter.com/JulieCollinsMP,Australian Labor Party,australian_labor_party,"Franklin, Tasmania",House of Representatives,44,,
DZW,Hon Justine Elliot MP,Justine.Elliot.MP@aph.gov.au,,Australian Labor Party,australian_labor_party,"Richmond, New South Wales",House of Representatives,44,,
230886,Hon Karen Andrews MP,karen.andrews.mp@aph.gov.au,http://twitter.com/karenandrewsmp,Liberal Party of Australia,liberal_party_of_australia,"McPherson, Queensland",House of Representatives,44,,
DZU,Hon Kate Ellis MP,Kate.Ellis.MP@aph.gov.au,http://twitter.com/KateEllisMP,Australian Labor Party,australian_labor_party,"Adelaide, South Australia",House of Representatives,44,,
LKU,Hon Kelly O'Dwyer MP,,http://twitter.com/kellyodwyer,Liberal Party of Australia,liberal_party_of_australia,"Higgins, Victoria",House of Representatives,44,,
UK6,Hon Kelvin Thomson MP,Kelvin.Thomson.MP@aph.gov.au,http://twitter.com/KelvinThomsonMP,Australian Labor Party,australian_labor_party,"Wills, Victoria",House of Representatives,44,,
HK5,Hon Kevin Andrews MP,menzies@aph.gov.au,http://twitter.com/kevinandrewsmp,Liberal Party of Australia,liberal_party_of_australia,"Menzies, Victoria",House of Representatives,44,,
00AMM,Hon Luke Hartsuyker MP,Luke.Hartsuyker.MP@aph.gov.au,,The Nationals,the_nationals,"Cowper, New South Wales",House of Representatives,44,,
2K6,Hon Mal Brough MP,,,Liberal Party of Australia,liberal_party_of_australia,"Fisher, Queensland",House of Representatives,44,,
885,Hon Malcolm Turnbull MP,Malcolm.Turnbull.MP@aph.gov.au,http://twitter.com/TurnbullMalcolm,Liberal Party of Australia,liberal_party_of_australia,"Wentworth, New South Wales",House of Representatives,44,,
HWK,Hon Mark Butler MP,,http://twitter.com/Mark_Butler_MP,Australian Labor Party,australian_labor_party,"Port Adelaide, South Australia",House of Representatives,44,,
HWG,"Hon Mark Dreyfus QC, MP",,,Australian Labor Party,australian_labor_party,"Isaacs, Victoria",House of Representatives,44,,
182468,Hon Matt Thistlethwaite MP,,https://twitter.com/MThistlethwaite,Australian Labor Party,australian_labor_party,"Kingsford Smith, New South Wales",House of Representatives,44,,
HWR,Hon Melissa Parke MP,,,Australian Labor Party,australian_labor_party,"Fremantle, Western Australia",House of Representatives,44,,
WF6,Hon Michael Danby MP,Michael.Danby.MP@aph.gov.au,,Australian Labor Party,australian_labor_party,"Melbourne Ports, Victoria",House of Representatives,44,,
E0J,Hon Michael Keenan MP,,,Liberal Party of Australia,liberal_party_of_australia,"Stirling, Western Australia",House of Representatives,44,,
219646,Hon Michael McCormack MP,,http://twitter.com/M_McCormackMP,The Nationals,the_nationals,"Riverina, New South Wales",House of Representatives,44,,
L6B,Hon Paul Fletcher MP,Paul.Fletcher.MP@aph.gov.au,https://twitter.com/PaulFletcherMP,Liberal Party of Australia,liberal_party_of_australia,"Bradfield, New South Wales",House of Representatives,44,,
