id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
abbas-abu-amin-5,Abbas Abu Amin,,,,People's Action Party,people's_action_party,,,Parliament,7,,,http://www.parliament.gov.sg/sites/default/files/abbasabuamin.gif,
abdul-nasser-bin-kamarudin-7,Abdul Nasser Bin Kamarudin,,,,People's Action Party,people's_action_party,,,Parliament,7,,,http://www.parliament.gov.sg/sites/default/files/abdulnasserbinkamaruddin.gif,
abdullah-bin-tarmugi-6,Abdullah Bin Tarmugi,,,,People's Action Party,people's_action_party,,,Parliament,7,,,http://www.parliament.gov.sg/sites/default/files/Tarmugi.jpg,
ahmad-mattar-3,Ahmad Mattar,,,,People's Action Party,people's_action_party,,,Parliament,7,,,http://www.parliament.gov.sg/sites/default/files/anmadmattar.gif,
"beng-kian-lam,-arthur-6","Beng Kian Lam, Arthur",,,,People's Action Party,people's_action_party,,,Parliament,7,,,http://www.parliament.gov.sg/sites/default/files/bengkianlamarthur.gif,
ch'ng-jit-koon-2,Ch'ng Jit Koon,,,,People's Action Party,people's_action_party,,,Parliament,7,,,http://www.parliament.gov.sg/sites/default/files/chngjitkoon.gif,
"chandra-das,-s.-5","Chandra Das, S.",,,,People's Action Party,people's_action_party,,,Parliament,7,,,http://www.parliament.gov.sg/sites/default/files/schandradas.gif,
charles-chong-7,Charles Chong,,,,People’s Action Party,people’s_action_party,,,Parliament,7,,,http://www.parliament.gov.sg/sites/default/files/Mr%20Charles%20Chong_0.jpg,
chay-wai-chuen-7,Chay Wai Chuen,,,,People's Action Party,people's_action_party,,,Parliament,7,,,http://www.parliament.gov.sg/sites/default/files/chaywaichuen.gif,
"chen-seow-phun,-john,-dr-7","Chen Seow Phun, John, Dr",,,,People’s Action Party,people’s_action_party,,,Parliament,7,,,http://www.parliament.gov.sg/sites/default/files/chenseowphunjohn.gif,
"chen-tien-lap,-bernard-4","Chen Tien Lap, Bernard",,,,People's Action Party,people's_action_party,,,Parliament,7,,,http://www.parliament.gov.sg/sites/default/files/chentienlapbernard.gif,
chew-heng-ching-6,Chew Heng Ching,,,,People's Action Party,people's_action_party,,,Parliament,7,,,http://www.parliament.gov.sg/sites/default/files/chewhengching.gif,
chiam-see-tong-6,Chiam See Tong,,,,Singapore Democratic Alliance,singapore_democratic_alliance,,,Parliament,7,,,http://www.parliament.gov.sg/sites/default/files/Prof-ChiamSeeTong.gif,
