id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
C000877,Alan Cranston,"Cranston, Alan",,,,Democrat,democrat,ocd-division/country:us/state:ca,California,Senate,97,,,https://theunitedstates.io/images/congress/original/C000877.jpg,male
D000366,Alan Dixon,"Dixon, Alan",,,,Democrat,democrat,ocd-division/country:us/state:il,Illinois,Senate,97,,,https://theunitedstates.io/images/congress/original/D000366.jpg,male
S000429,Alan Simpson,"Simpson, Alan",,,,Republican,republican,ocd-division/country:us/state:wy,Wyoming,Senate,97,,,https://theunitedstates.io/images/congress/original/S000429.jpg,male
D000018,Alfonse D'Amato,"D'Amato, Alfonse",,,,Republican,republican,ocd-division/country:us/state:ny,New York,Senate,97,,,https://theunitedstates.io/images/congress/original/D000018.jpg,male
S000709,Arlen Specter,"Specter, Arlen",,,,Republican,republican,ocd-division/country:us/state:pa,Pennsylvania,Senate,97,,,https://theunitedstates.io/images/congress/original/S000709.jpg,male
G000267,Barry Goldwater,"Goldwater, Barry",,,,Republican,republican,ocd-division/country:us/state:az,Arizona,Senate,97,,,https://theunitedstates.io/images/congress/original/G000267.jpg,male
B001225,Bill Bradley,"Bradley, William",,,,Democrat,democrat,ocd-division/country:us/state:nj,New Jersey,Senate,97,,,https://theunitedstates.io/images/congress/original/B001225.jpg,male
L000261,Carl Levin,"Levin, Carl",,,,Democrat,democrat,ocd-division/country:us/state:mi,Michigan,Senate,97,,,https://theunitedstates.io/images/congress/original/L000261.jpg,male
M000241,"Charles Mathias, Jr.","Mathias, Charles",,,,Republican,republican,ocd-division/country:us/state:md,Maryland,Senate,97,,,https://theunitedstates.io/images/congress/original/M000241.jpg,male
P000222,Charles Percy,"Percy, Charles",,,,Republican,republican,ocd-division/country:us/state:il,Illinois,Senate,97,,,https://theunitedstates.io/images/congress/original/P000222.jpg,male
D000388,Christopher Dodd,"Dodd, Christopher",,,,Democrat,democrat,ocd-division/country:us/state:ct,Connecticut,Senate,97,,,https://theunitedstates.io/images/congress/original/D000388.jpg,male
G000386,Chuck Grassley,"Grassley, Charles",,ChuckGrassley,grassley,Republican,republican,ocd-division/country:us/state:ia,Iowa,Senate,97,,,https://theunitedstates.io/images/congress/original/G000386.jpg,male
P000193,Claiborne Pell,"Pell, Claiborne",,,,Democrat,democrat,ocd-division/country:us/state:ri,Rhode Island,Senate,97,,,https://theunitedstates.io/images/congress/original/P000193.jpg,male
B001057,Dale Bumpers,"Bumpers, Dale",,,,Democrat,democrat,ocd-division/country:us/state:ar,Arkansas,Senate,97,,,https://theunitedstates.io/images/congress/original/B001057.jpg,male
Q000007,Dan Quayle,"Quayle, James",,,,Republican,republican,ocd-division/country:us/state:in,Indiana,Senate,97,,,https://theunitedstates.io/images/congress/original/Q000007.jpg,male
I000025,Daniel K. Inouye,"Inouye, Daniel",,,,Democrat,democrat,ocd-division/country:us/state:hi,Hawaii,Senate,97,,,https://theunitedstates.io/images/congress/original/I000025.jpg,male
M001054,Daniel Moynihan,"Moynihan, Daniel",,,,Democrat,democrat,ocd-division/country:us/state:ny,New York,Senate,97,,,https://theunitedstates.io/images/congress/original/M001054.jpg,male
B000639,David Boren,"Boren, David",,,,Democrat,democrat,ocd-division/country:us/state:ok,Oklahoma,Senate,97,,,https://theunitedstates.io/images/congress/original/B000639.jpg,male
D000566,David Durenberger,"Durenberger, David",,,,Republican,republican,ocd-division/country:us/state:mn,Minnesota,Senate,97,,,https://theunitedstates.io/images/congress/original/D000566.jpg,male
P000556,David Pryor,"Pryor, David",,,,Democrat,democrat,ocd-division/country:us/state:ar,Arkansas,Senate,97,,,https://theunitedstates.io/images/congress/original/P000556.jpg,male
H000905,Dee Huddleston,"Huddleston, Walter",,,,Democrat,democrat,ocd-division/country:us/state:ky,Kentucky,Senate,97,,,https://theunitedstates.io/images/congress/original/H000905.jpg,male
D000185,Dennis DeConcini,"DeConcini, Dennis",,,,Democrat,democrat,ocd-division/country:us/state:az,Arizona,Senate,97,,,https://theunitedstates.io/images/congress/original/D000185.jpg,male
N000102,Don Nickles,"Nickles, Don",,,,Republican,republican,ocd-division/country:us/state:ok,Oklahoma,Senate,97,,,https://theunitedstates.io/images/congress/original/N000102.jpg,male
R000249,"Donald Riegle, Jr.","Riegle, Donald",,,,Democrat,democrat,ocd-division/country:us/state:mi,Michigan,Senate,97,,,https://theunitedstates.io/images/congress/original/R000249.jpg,male
M001085,Frank Murkowski,"Murkowski, Frank",,,,Republican,republican,ocd-division/country:us/state:ak,Alaska,Senate,97,,,https://theunitedstates.io/images/congress/original/M001085.jpg,male
L000123,Frank R. Lautenberg,"Lautenberg, Frank",,,,Democrat,democrat,ocd-division/country:us/state:nj,New Jersey,Senate,97,1982-01-01,,https://theunitedstates.io/images/congress/original/L000123.jpg,male
