id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
arnhim_eustace,Arnhim EUSTACE,,,,New Democratic Party,NDP,ocd-division/country:vc/constituency:east-kingstown, East Kingstown,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Arnhim_Eustace_02.png,
cecil_mckie,Cecil McKIE,,,,Unity Labour Party,ULP,ocd-division/country:vc/constituency:west-st.-george,West St. George,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Cecil_McKie_2010.png,
clayton_burgin,Clayton BURGIN,,,,Unity Labour Party,ULP,ocd-division/country:vc/constituency:east-st.-george,East St. George,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Clayton_Burgin_2010.png,
daniel_cummings,Daniel CUMMINGS,,,,New Democratic Party,NDP,ocd-division/country:vc/constituency:west-kingstown,West Kingstown,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Daniel_Cummings_2010.png,
frederick_stephenson,Frederick STEPHENSON,,,,Unity Labour Party,ULP,ocd-division/country:vc/constituency:south-windward,South Windward,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Frederick_Stephenson_2010.png,
girlyn_miguel,Girlyn MIGUEL,,,,Unity Labour Party,ULP,ocd-division/country:vc/constituency:marriaqua,Marriaqua,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Girlyn_Miguel_2010.png,
godwin_friday,Godwin FRIDAY,,,,New Democratic Party,NDP,ocd-division/country:vc/constituency:northern-grenadines,Northern Grenadines,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Godwin_Friday_2010.png,
maxwell_charles,Maxwell CHARLES,,,,Unity Labour Party,ULP,ocd-division/country:vc/constituency:central-leeward,Central Leeward,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Maxwell_Charles_2010.png,
montgomery_daniel,Montgomery DANIEL,,,,Unity Labour Party,ULP,ocd-division/country:vc/constituency:north-windward,North Windward,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Montgomery_Daniel_2010.png,
nigel_stephenson,Nigel STEPHENSON,,,,New Democratic Party,NDP,ocd-division/country:vc/constituency:south-leeward,South Leeward,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Nighel_Stephenson_2010.png,
ralph_gonsalves,Ralph GONSALVES,,,,Unity Labour Party,ULP,ocd-division/country:vc/constituency:north-central-windward,North Central Windward,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Ralph_Gonsalves_02.png,
roland_matthews,Roland MATHEWS,,,,New Democratic Party,NDP,ocd-division/country:vc/constituency:north-leeward,North Leeward,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Roland_Matthews_2010.png,
saboto_caesar,Saboto CAESAR,,,,Unity Labour Party,ULP,ocd-division/country:vc/constituency:south-central-windward,South Central Windward,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Saboto_Caesar_2010.png,
stclaire_leacock,St. Claire LEACOCK,,,,New Democratic Party,NDP,ocd-division/country:vc/constituency:central-kingstown, Central Kingstown,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Stclaire_Leacock_2010.png,
terrance_ollivierre,Terrance OLLIVIERRE,,,,New Democratic Party,NDP,ocd-division/country:vc/constituency:southern-grenadines,Southern Grenadines,House of Assembly,8,,,http://www.caribbeanelections.com/vc/images/people/Terrance_Ollivierre_2010.png,
