id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
abang_abu_bakar_abang_mustapha,Abang Abu Bakar Abang Mustapha,,,Parti Pesaka Bumiputera Bersatu,PBB,"Paloh, Sarawak",Dewan Rakyat,7,,
abdol_mulok_awang_damit,Abdol Mulok Awang Damit,,,Independent,IND,"Labuan, Federal Territory",Dewan Rakyat,7,,
abdul_ajib_ahmad,Abdul Ajib Ahmad,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Mersing, Johor",Dewan Rakyat,7,,
abdul_daim_zainuddin,Abdul Daim Zainuddin,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Merbok, Kedah",Dewan Rakyat,7,,
abdul_ghafar_baba,Abdul Ghafar Baba,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Jasin, Malacca",Dewan Rakyat,7,,
abdul_ghani_othman,Abdul Ghani Othman,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Ledang, Johor",Dewan Rakyat,7,,
abdul_hadi_derani,Abdul Hadi Derani,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Kota Setar, Kedah",Dewan Rakyat,7,,
abdul_kadir_sheikh_fadzir,Abdul Kadir Sheikh Fadzir,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Kulim-Bandar Baharu, Kedah",Dewan Rakyat,7,,
abdul_manaf_ahmad,Abdul Manaf Ahmad,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Sungai Petani, Kedah",Dewan Rakyat,7,,
abdul_rahman_bakar,Abdul Rahman Bakar,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Marang, Terengganu",Dewan Rakyat,7,,
abdul_rahman_sulaiman,Abdul Rahman Sulaiman,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Parit Buntar, Perak",Dewan Rakyat,7,,
abdul_razak_abu_samah,Abdul Razak Abu Samah,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Lembah Pantai, Federal Territory",Dewan Rakyat,7,,
abdul_taib_mahmud,Abdul Taib Mahmud,,,Parti Pesaka Bumiputera Bersatu,PBB,"Samarahan, Sarawak",Dewan Rakyat,7,,
abdullah_ahmad,Abdullah Ahmad,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Kok Lanas, Kelantan",Dewan Rakyat,7,,
abdullah_ahmad_badawi,Abdullah Ahmad Badawi,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Kepala Batas, Penang",Dewan Rakyat,7,,
abdullah_arshad,Abdullah Arshad,,,Pan-Malaysian Islamic Party,PAS,"Pengkalan Chepa, Kelantan",Dewan Rakyat,7,,
abdullah_fadzil_che_wan,Abdullah Fadzil Che Wan,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Bukit Gantang, Perak",Dewan Rakyat,7,,
abu_hassan_omar,Abu Hassan Omar,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Kuala Selangor, Selangor",Dewan Rakyat,7,,
adam_abdul_kadir,Adam Abdul Kadir,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Kuantan, Pahang",Dewan Rakyat,7,,
