id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
81,Adam Zdziebło,,,Unknown,_unknown,,Senat,chamber_VIII,,
54,Aleksander Pociej,,,Unknown,_unknown,,Senat,chamber_VIII,,
62,Aleksander Świeykowski,,,Unknown,_unknown,,Senat,chamber_VIII,,
16,Alicja Chybicka,,,Unknown,_unknown,,Senat,chamber_VIII,,
66,Alicja Zając,,,Unknown,_unknown,,Senat,chamber_VIII,,
75,Andrzej Grzyb,,,Unknown,_unknown,,Senat,chamber_VIII,,
18,Andrzej Kobiak,,,Unknown,_unknown,,Senat,chamber_VIII,,
67,Andrzej Matusiewicz,,,Unknown,_unknown,,Senat,chamber_VIII,,
80,Andrzej Misiołek,,,Unknown,_unknown,,Senat,chamber_VIII,,
35,Andrzej Owczarek,,,Unknown,_unknown,,Senat,chamber_VIII,,
39,Andrzej Pająk,,,Unknown,_unknown,,Senat,chamber_VIII,,
22,Andrzej Person,,,Unknown,_unknown,,Senat,chamber_VIII,,
78,Andrzej Szewiński,,,Unknown,_unknown,,Senat,chamber_VIII,,
104,Andżelika Możdżanowska,,,Unknown,_unknown,,Senat,chamber_VIII,,
49,Anna Aksamit,,,Unknown,_unknown,,Senat,chamber_VIII,,
82,Antoni Motyczka,,,Unknown,_unknown,,Senat,chamber_VIII,,2013-01-24
53,Barbara Borys-Damięcka,,,Unknown,_unknown,,Senat,chamber_VIII,,
91,Beata Gosiewska,,,Unknown,_unknown,,Senat,chamber_VIII,,2014-05-25
74,Bogdan Borusewicz,,,Unknown,_unknown,,Senat,chamber_VIII,,
42,Bogdan Klich,,,Unknown,_unknown,,Senat,chamber_VIII,,
40,Bogdan Pęk,,,Unknown,_unknown,,Senat,chamber_VIII,,
86,Bogusław Śmigielski,,,Unknown,_unknown,,Senat,chamber_VIII,,
68,Bohdan Paszkowski,,,Unknown,_unknown,,Senat,chamber_VIII,,
841,Bolesław Piecha,,,Unknown,_unknown,,Senat,chamber_VIII,,2014-05-25
249,Czesław Ryszka,,,Unknown,_unknown,,Senat,chamber_VIII,2015-02-27,
12,Dorota Czudowska,,,Unknown,_unknown,,Senat,chamber_VIII,,
73,Edmund Wittbrodt,,,Unknown,_unknown,,Senat,chamber_VIII,,
84,Elżbieta Bieńkowska,,,Unknown,_unknown,,Senat,chamber_VIII,,2014-10-31
