id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
arias.ca,Adriana Arias Calderón,,,,MAS,mas,area/c_-_49,C - 49,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Santa%20Cruz/arias.ca.jpg,
gallardo.ia,Alcides Andrés Gallardo Ibarra,,,,UD,ud,area/c_-_47,C - 47,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Santa%20Cruz/gallardo.ia.jpg,
canqui.ca,Alicia Canqui Condori,,,,MAS,mas,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Chuquisaca/canqui.ca.jpg,
natte.ra,Alicia Natte Rosendi,,,,MAS,mas,,,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/La%20Paz/natte.ra.jpg,
villarpando.fa,Alicia Villarpando Flores,,,,MAS,mas,area/c_-_5,C - 5,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Chuquisaca/villarpando.fa.jpg,
guzman.ca,Alvaro Rodrigo Guzman Collao,,,,UD,ud,area/c_-_58,C - 58,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Beni/guzman.ca.jpg,
costa.ba,Ana Jimena Costa Benavides,,,,UD,ud,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/La%20Paz/costa.ba.jpg,
vidal.va,Ana Vidal Velasco,,,,MAS,mas,area/c_-_59,C - 59,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Beni/vidal.va.jpg,
amurrio.pa,Anacleta Amurrio Paniagua,,,,MAS,mas,area/c_-_55,C - 55,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Santa%20Cruz/amurrio.pa.jpg,
choque.ca,Aniceto Choque Chino,,,,MAS,mas,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Oruro/choque.ca.jpg,
torrez.da,Army Claudia Torrez Diez,,,,MAS,mas,area/c_-_63,C - 63,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Pando/torrez.da.jpg,
lazo.a,Ascencio Lazo,,,,MAS,mas,area/c_-_36,C - 36,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Potosi/lazo.a.jpg,
vaca.aa,Avilio Vaca Achico,,,,MAS,mas,,,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Santa%20Cruz/vaca.aa.jpg,
villarroel.qa,Ayda Luz Villarroel Quinteros,,,,MAS,mas,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Cochabamba/villarroel.qa.jpg,
velasquez.sb,Bacilio Velasquez Salazar,,,,MAS,mas,area/c_-_4,C - 4,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Chuquisaca/velasquez.sb.jpg,
capobianco.sb,Beatriz Eliane Capobianco Sandoval,,,,UD,ud,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Santa%20Cruz/capobianco.sb.jpg,
suarez.bb,Benita Suarez Barba,,,,MAS,mas,area/c_-_57,C - 57,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Santa%20Cruz/suarez.bb.jpg,
gutierrez.sb,Bernard Osvaldo Gutierrez Sanz,,,,UD,ud,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Cochabamba/gutierrez.sb.jpg,
yaniquez.lb,Betty Beatriz Yañiquez Lozano,,,,MAS,mas,area/c_-_7,C - 7,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/La%20Paz/yaniquez.lb.jpg,
quiroga.rb,Brigida Virginia Quiroga Ramos,,,,MAS,mas,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/La%20Paz/quiroga.rb.jpg,
cruz.cc,Carmen Muriel Cruz Claros,,,,MAS,mas,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Santa%20Cruz/cruz.cc.jpg,
dominguez.ac,Carmen Rosa Dominguez Arias,,,,MAS,mas,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Chuquisaca/dominguez.ac.jpg,
montanio.rc,Carol Mireya Montaño Rocha,,,,MAS,mas,area/c_-_11,C - 11,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/La%20Paz/montanio.rc.jpg,
bonilla.gc,Celia Andrea Bonilla Gemio,,,,MAS,mas,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/La%20Paz/bonilla.gc.jpg,
sequeiros.rc,Cinthia Sequeiros Rivero,,,,UD,ud,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Santa%20Cruz/sequeiros.rc.jpg,
mallon.vc,Claudia Mallon Vargas,,,,UD,ud,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Cochabamba/mallon.vc.jpg,
vargas.vc,Clery Vargas Villca,,,,MAS,mas,area/c_-_13,C - 13,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/La%20Paz/vargas.vc.jpg,
ortiz.c,Concepcion Ortiz,,,,MAS,mas,area/c_-_16,C - 16,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/La%20Paz/ortiz.c.jpg,
ramos.md,David Ramos Mamani,,,,MAS,mas,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Potosi/ramos.md.jpg,
canaviri.cd,Delia Canaviri Condori,,,,MAS,mas,area/c_-_32,C - 32,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Oruro/canaviri.cd.jpg,
araujo.dd,Dulce Maria Araujo Dominguez,,,,UD,ud,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Pando/araujo.dd.jpg,
cabrera.ce,Eddy Henrry Cabrera Carlo,,,,MAS,mas,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Santa%20Cruz/cabrera.ce.jpg,
montanio.re,Edgar Montaño Rojas,,,,MAS,mas,area/c_-_50,C - 50,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Santa%20Cruz/montanio.re.jpg,
rendon.re,Edgar Rendon Rios,,,,PDC,pdc,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Tarija/rendon.re.jpg,
polo.ae,Edmundo Gaston Polo Ariñez,,,,MAS,mas,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/La%20Paz/polo.ae.jpg,
huallpa.je,Eleuterio Huallpa Janco,,,,MAS,mas,area/c_-_31,C - 31,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Oruro/huallpa.je.jpg,
catari.me,Elisa Catari Méndez,,,,MAS,mas,area/c_-_35,C - 35,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Potosi/catari.me.jpg,
rojas.oe,Elvira Silvana Rojas Orellana,,,,MAS,mas,area/c_-_25,C - 25,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Cochabamba/rojas.oe.jpg,
monron.oe,Erik Morón Osinaga,,,,UD,ud,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Santa%20Cruz/monron.oe.jpg,
lopez.fe,Esteban López Fernández,,,,MAS,mas,area/plurinominal,Plurinominal,Chamber of Deputies,2015,,,http://www.diputados.bo/script/imagenes/Potosi/lopez.fe.jpg,
