id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
1942,ABDUL Ghafar,ABDUL Ghafar,,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/abdul%20ghafar.jpg,
1977,ABDUL HAY,ABDUL HAY,,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/no-pic-vak.png,
1893,ABDUL Rahim Ayoobi,ABDUL Rahim Ayoobi,,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/no-pic-vak.png,
1894,ATAULLAH JAN HABIB,ATAULLAH JAN HABIB,,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/no-pic-vak.png,
1738,"Abas Ebrahimzada , balkh","Abas Ebrahimzada , balkh",,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/abas-ebrahim-zadeh-m.jpg,
2009,Abdul Ahmad Durany,Abdul Ahmad Durany,,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/abdol-ahmad-dorani.jpg,
1850,Abdul Hafiz Mansoor,Abdul Hafiz Mansoor,,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/m-abdulhafiz-mansor.JPG,
1892,Abdul Khaliq Barekzai,Abdul Khaliq Barekzai,,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/no-pic-vak.png,
2010,Abdul Majeed Wardak,Abdul Majeed Wardak,,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/abdulmajidwardak.s.JPG,
1707,"Abdul Raoof Anamy , Badakhshan","Abdul Raoof Anamy , Badakhshan",,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/Abdul%20Rauf%20Enami-Monshi.jpeg,
1882,Abdul Wadud Payman,Abdul Wadud Payman,,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/no-pic-vak.png,
1959,Abdul hadi Jamshidi,Abdul hadi Jamshidi,,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/no-pic-vak.png,
1976,Abdul jabar,Abdul jabar,,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/no-pic-vak.png,
1774,Abdul satar,Abdul satar,,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/darzyabi-m.jpg,
1984,Abdul wadood popal,Abdul wadood popal,,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/m-abdolvodod-popal.jpg,
1851,Abdulrab Rasool Sayaf,Abdulrab Rasool Sayaf,,,,unknown,unknown,,,Wolesi Jirga,2010,,,http://www.wolesi.website/Media/Images/mine/abdolrasol-sayaf-m.jpg,
