id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
53db868e-8ecf-4e5a-9bcd-86811afc6bf1,Abednico Bhebhe,Abednico Bhebhe,,,,MDC-T,mdc-t,area/nkayi_south,Nkayi South,House of Assembly,8,,,,
4b647c0a-3754-4f05-be00-e5de977e8085,Abednico Ncube,Abednico Ncube,,,,ZANU PF,zanu_pf,area/gwanda_south,Gwanda South,House of Assembly,8,,,,
d64d37af-a10b-4241-8296-fe44c0c16e52,Adam Chimwamurombe,Adam Chimwamurombe,,,,ZANU PF,zanu_pf,area/chipinge_west,Chipinge West,House of Assembly,8,,,,
4cff869c-d397-46b7-825f-aa639e9f5ff5,Albert Mhlanga,Albert Mhlanga,,,,MDC-T,mdc-t,area/pumula,Pumula,House of Assembly,8,,,,
66f6daaf-0d89-4958-95a1-e6e0731895af,Aldrin Musiiwa,Aldrin Musiiwa,,,,ZANU PF,zanu_pf,area/chakari,Chakari,House of Assembly,8,,,,
a7c1068d-ab38-4907-aa6d-e10ea76356d4,Alexio Musundire,Alexio Musundire,,,,MDC-T,mdc-t,area/zengeza_east,Zengeza East,House of Assembly,8,,,,
ad015d92-890d-4e1b-83fd-992045b066b5,Alfred Mufunga,Alfred Mufunga,,,,ZANU PF,zanu_pf,area/muzarabani_north,Muzarabani North,House of Assembly,8,,,,
98aec1f1-6cf7-48c2-bb34-3d206f9cecec,Ambrose Mutinhiri,Ambrose Mutinhiri,,,,ZANU PF,zanu_pf,area/marondera_west,Marondera West,House of Assembly,8,,,,
520a385a-1dda-4b58-82c2-1bfec90f5d83,Amos Chibaya,Amos Chibaya,,,,MDC-T,mdc-t,area/mkoba,Mkoba,House of Assembly,8,,,,
3acfb90a-56db-4652-9957-9fdaeeae19f5,Amos Midzi,Amos Midzi,,,,ZANU PF,zanu_pf,area/epworth,Epworth,House of Assembly,8,,,,
61711609-2633-4daa-8ef2-beefef99771f,Andrew Langa,Andrew Langa,,,,ZANU PF,zanu_pf,area/insizo_north,Insizo North,House of Assembly,8,,,,
