id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
anfinn_kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,,,,Fólkaflokkurin,fólkaflokkurin,area/norðoyar,Norðoyar,Løgting,1990,,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Anfinn_Kallsberg.jpg,male
asbjørn_joensen,Asbjørn Joensen,Asbjørn Joensen,,,,Sjálvstýrisflokkurin,sjálvstýrisflokkurin,area/norðoyar,Norðoyar,Løgting,1990,,,,male
atli_dam,Atli Dam,Atli Dam,,,,Javnaðarflokkurin,javnaðarflokkurin,area/suðurstreymoy,Suðurstreymoy,Løgting,1990,,,,
birgir_danielsen,Birgir Danielsen,Birgir Danielsen,,,,Fólkaflokkurin,fólkaflokkurin,area/suðurstreymoy,Suðurstreymoy,Løgting,1990,,,,
edmund_joensen,Edmund Joensen,Edmund Joensen,,,,Sambandsflokkurin,sambandsflokkurin,area/eysturoy,Eysturoy,Løgting,1990,,,https://upload.wikimedia.org/wikipedia/commons/6/63/Edmund_Joensen.JPG,male
finnbogi_arge,Finnbogi Arge,Finnbogi Arge,,,,Sambandsflokkurin,sambandsflokkurin,area/suðurstreymoy,Suðurstreymoy,Løgting,1990,,,,male
finnbogi_Ísakson,Finnbogi Ísakson,Finnbogi Ísakson,,,,Tjóðveldisflokkurin,tjóðveldisflokkurin,area/suðurstreymoy,Suðurstreymoy,Løgting,1990,,,,male
flemming_mikkelsen,Flemming Mikkelsen,Flemming Mikkelsen,,,,Sambandsflokkurin,sambandsflokkurin,area/suðuroy,Suðuroy,Løgting,1990,,,,male
frank_davidsen,Frank Davidsen,Frank Davidsen,,,,Javnaðarflokkurin,javnaðarflokkurin,area/vágar,Vágar,Løgting,1990,,,,male
heini_o._heinesen,Heini O. Heinesen,Heini O. Heinesen,,,,Tjóðveldisflokkurin,tjóðveldisflokkurin,area/norðoyar,Norðoyar,Løgting,1990,,,,
helena_dam_á_neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,,,,Sjálvstýrisflokkurin,sjálvstýrisflokkurin,area/suðurstreymoy,Suðurstreymoy,Løgting,1990,,,https://upload.wikimedia.org/wikipedia/commons/8/8d/Helena_Dam_a_Neystabo.jpg,female
