id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
891,Adi Koll,,,,Yesh Atid,yesh_atid,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Kohl_Adi.jpg,female
842,Afou Agbaria,,,,Hadash,hadash,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Agbaria_Afou.jpg,male
208,Ahmad Tibi,,,,Arab Movement for Renewal,arab_movement_for_renewal,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/tibi_ahmed.jpg,male
785,Alex Miller,,,,Yisrael Beitenu,yisrael_beitenu,,,Knesset,19,2014-08-06,,http://www.knesset.gov.il/mk/images/members/Miller_Alex.jpg,male
875,Aliza Lavie,,,,Yesh Atid,yesh_atid,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Lavie_Aliza.jpg,female
105,Amir Peretz,,,,Hatenua Chaired by Tzipi Livni,hatenua_chaired_by_tzipi_livni,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/peretz_amir.jpg,male
210,Amnon Cohen,,,,Shas,shas,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/cohen_amnon.jpg,male
739,Amram Mitzna,,,,Hatenua Chaired by Tzipi Livni,hatenua_chaired_by_tzipi_livni,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/mitzna_amram.jpg,male
791,Ariel Atias,,,,Shas,shas,,,Knesset,19,,2014-06-22,http://www.knesset.gov.il/mk/images/members/atias_ariel.jpg,male
41,Aryeh Machluf Deri,,,,Shas,shas,,,Knesset,19,,2015-01-01,http://www.knesset.gov.il/mk/images/members/deri_aryeh.jpg,male
870,Avi Wortzman,,,,HaBayit HaYehudi,habayit_hayehudi,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Wortzman_Avi.jpg,male
214,Avigdor Liberman,,,,Yisrael Beitenu,yisrael_beitenu,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/liberman_avigdor.jpg,male
797,Avishay Braverman,,,,Israel Labor Party,israel_labor_party,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/braverman_avishay.jpg,male
784,Avraham Michaeli,,,,Shas,shas,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/michaeli_avraham.jpg,male
904,Ayelet Shaked,,,,HaBayit HaYehudi,habayit_hayehudi,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Shaked_Ayelet.jpg,female
867,Basel Ghattas,,,,National Democratic Assembly,national_democratic_assembly,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Jitas_Basil.jpg,male
90,Benjamin Netanyahu,,,,Likud - National Liberal Movement,likud_-_national_liberal_movement,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/netanyahu_bibi.jpg,male
20,Binyamin (Fouad) Ben-Eliezer,,,,Israel Labor Party,israel_labor_party,,,Knesset,19,,2014-12-14,http://www.knesset.gov.il/mk/images/members/beneliezer_binyamin.jpg,male
872,Boaz Toporovsky,,,,Yesh Atid,yesh_atid,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Toporovsky_Boaz.jpg,male
829,Carmel Shama Hacohen,,,,Likud - National Liberal Movement,likud_-_national_liberal_movement,,,Knesset,19,2014-06-10,2014-08-06,http://www.knesset.gov.il/mk/images/members/Shama_Carmel.jpg,male
828,Danny Danon,,,,Likud - National Liberal Movement,likud_-_national_liberal_movement,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/danon_danny.jpg,male
7,David Azoulay,,,,Shas,shas,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/azoulay_david.jpg,male
805,David Rotem,,,,Yisrael Beitenu,yisrael_beitenu,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/David_Rotem.jpg,male
890,David Tsur,,,,Hatenua Chaired by Tzipi Livni,hatenua_chaired_by_tzipi_livni,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Tzur_David.jpg,male
780,Dov Khenin,,,,Hadash,hadash,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/khenin_dov.jpg,male
877,Dov Lipman,,,,Yesh Atid,yesh_atid,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Lipman_Dov.jpg,male
64,Eitan Cabel,,,,Israel Labor Party,israel_labor_party,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/cabel_eitan.jpg,male
899,Elazar Stern,,,,Hatenua Chaired by Tzipi Livni,hatenua_chaired_by_tzipi_livni,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Stern_Eliezer.jpg,male
863,Eli Ben-Dahan,,,,HaBayit HaYehudi,habayit_hayehudi,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/BenDahan_Eliahu.jpg,male
63,Eliyahu Yishai,,,,Shas,shas,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/yishai_eli.jpg,male
882,Erel Margalit,,,,Israel Labor Party,israel_labor_party,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Margalit_Erel.jpg,male
888,Esawi Frej,,,,Meretz,meretz,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Farij_Issawi.jpg,male
835,Fania Kirshenbaum,,,,Yisrael Beitenu,yisrael_beitenu,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Kirshenbaum_Faina.jpg,female
725,Gideon Sa`ar,,,,Likud - National Liberal Movement,likud_-_national_liberal_movement,,,Knesset,19,,2014-11-05,http://www.knesset.gov.il/mk/images/members/saar_gidon.jpg,male
723,Gila Gamliel,,,,Likud - National Liberal Movement,likud_-_national_liberal_movement,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/gamliel_gila.jpg,female
734,Gilad Erdan,,,,Likud - National Liberal Movement,likud_-_national_liberal_movement,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/erdan_gilad.jpg,male
212,Haim Katz,,,,Likud - National Liberal Movement,likud_-_national_liberal_movement,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/katz_haim.jpg,male
837,Hamad Amar,,,,Yisrael Beitenu,yisrael_beitenu,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Amar_Hamad.jpg,male
846,Hanin Zoabi,,,,National Democratic Assembly,national_democratic_assembly,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Zuabi_Hanin.jpg,female
789,Hanna Swaid,,,,Hadash,hadash,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/swaid_hana.jpg,male
908,Hillel Ilan Horowitz,,,,HaBayit HaYehudi,habayit_hayehudi,,,Knesset,19,2015-02-16,,http://www.knesset.gov.il/mk/images/members/horowitz_hillel.jpg,male
800,Ibrahim Sarsour,,,,United Arab List,united_arab_list,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/sarsur_ibrahim.jpg,male
200,Ilan Gilon,,,,Meretz,meretz,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/gilon_ilan.jpg,male
740,Isaac Herzog,,,,Israel Labor Party,israel_labor_party,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/herzog_yitzhak.jpg,male
754,Israel Eichler,,,,United Torah Judaism,united_torah_judaism,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/eichler_israel.jpg,male
781,Israel Hasson,,,,Kadima,kadima,,,Knesset,19,,2014-12-18,http://www.knesset.gov.il/mk/images/members/hasson_israel.jpg,male
901,Itzik Shmuli,,,,Israel Labor Party,israel_labor_party,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/Shmuli_Itzik.jpg,male
756,Jamal Zahalka,,,,National Democratic Assembly,national_democratic_assembly,,,Knesset,19,,,http://www.knesset.gov.il/mk/images/members/zahalka_jamal.jpg,male
