id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
S001150,Adam B. Schiff,,,,Democrat,democrat,ocd-division/country:us/state:ca/cd:28,California's 28th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/S001150.jpg,male
K000378,Adam Kinzinger,,,,Republican,republican,ocd-division/country:us/state:il/cd:16,Illinois's 16th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/K000378.jpg,male
S000510,Adam Smith,,,,Democrat,democrat,ocd-division/country:us/state:wa/cd:9,Washington's 9th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/S000510.jpg,male
S001172,Adrian Smith,,,,Republican,republican,ocd-division/country:us/state:ne/cd:3,Nebraska's 3rd congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/S001172.jpg,male
G000553,Al Green,,,,Democrat,democrat,ocd-division/country:us/state:tx/cd:9,Texas's 9th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/G000553.jpg,male
G000556,Alan Grayson,,,,Democrat,democrat,ocd-division/country:us/state:fl/cd:9,Florida's 9th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/G000556.jpg,male
L000579,Alan S. Lowenthal,,,,Democrat,democrat,ocd-division/country:us/state:ca/cd:47,California's 47th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/L000579.jpg,male
S001165,Albio Sires,,,,Democrat,democrat,ocd-division/country:us/state:nj/cd:8,New Jersey's 8th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/S001165.jpg,male
H000324,Alcee L. Hastings,,,,Democrat,democrat,ocd-division/country:us/state:fl/cd:20,Florida's 20th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/H000324.jpg,male
M001195,Alexander X. Mooney,,,,Republican,republican,ocd-division/country:us/state:wv/cd:2,West Virginia's 2nd congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/M001195.jpg,male
A000370,Alma S. Adams,,,,Democrat,democrat,ocd-division/country:us/state:nc/cd:12,North Carolina's 12th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/A000370.jpg,female
B001287,Ami Bera,,,,Democrat,democrat,ocd-division/country:us/state:ca/cd:7,California's 7th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/B001287.jpg,male
C001045,Ander Crenshaw,,,,Republican,republican,ocd-division/country:us/state:fl/cd:4,Florida's 4th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/C001045.jpg,male
C001072,André Carson,,,,Democrat,democrat,ocd-division/country:us/state:in/cd:7,Indiana's 7th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/C001072.jpg,male
B001282,Andy Barr,,,,Republican,republican,ocd-division/country:us/state:ky/cd:6,Kentucky's 6th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/B001282.jpg,male
H001052,Andy Harris,,,,Republican,republican,ocd-division/country:us/state:md/cd:1,Maryland's 1st congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/H001052.jpg,male
K000368,Ann Kirkpatrick,,,,Democrat,democrat,ocd-division/country:us/state:az/cd:1,Arizona's 1st congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/K000368.jpg,female
K000382,Ann M. Kuster,,,,Democrat,democrat,ocd-division/country:us/state:nh/cd:2,New Hampshire's 2nd congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/K000382.jpg,female
W000812,Ann Wagner,,,,Republican,republican,ocd-division/country:us/state:mo/cd:2,Missouri's 2nd congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/W000812.jpg,female
E000215,Anna G. Eshoo,,,,Democrat,democrat,ocd-division/country:us/state:ca/cd:18,California's 18th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/E000215.jpg,female
R000600,Aumua Amata Coleman Radewagen,,,,Republican,republican,ocd-division/country:us/state:as,American Samoa,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/R000600.jpg,female
S001189,Austin Scott,,,,Republican,republican,ocd-division/country:us/state:ga/cd:8,Georgia's 8th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/S001189.jpg,male
C001105,Barbara Comstock,,,,Republican,republican,ocd-division/country:us/state:va/cd:10,Virginia's 10th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/C001105.jpg,female
