id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
abbas_sınay,Abbas Sınay,,,,Republican Turkish Party,republican_turkish_party,area/girne,Girne,Assembly of the Republic,14,,,,
ahmet_gülle,Ahmet Gülle,,,,Republican Turkish Party,republican_turkish_party,area/lefkoşa,Lefkoşa,Assembly of the Republic,14,,,,
Q4696177,Ahmet Kaşif,,,,Democratic Party,democratic_party,area/gazimağusa,Gazimağusa,Assembly of the Republic,14,,,,male
ali_pilli,Ali Pilli,,,,National Unity Party,national_unity_party,area/güzelyurt,Güzelyurt,Assembly of the Republic,14,,,,
arif_albayrak,Arif Albayrak,,,,Republican Turkish Party,republican_turkish_party,area/gazimağusa,Gazimağusa,Assembly of the Republic,14,,,,
armağan_candan,Armağan Candan,,,,Republican Turkish Party,republican_turkish_party,area/güzelyurt,Güzelyurt,Assembly of the Republic,14,,,,
asım_akansoy,Asım Akansoy,,,,Republican Turkish Party,republican_turkish_party,area/gazimağusa,Gazimağusa,Assembly of the Republic,14,,,,
biray_hamzaoğlu,Biray Hamzaoğlu,,,,Republican Turkish Party,republican_turkish_party,area/İskele,İskele,Assembly of the Republic,14,,,,
birikim_Özgür,Birikim Özgür,,,,Republican Turkish Party,republican_turkish_party,area/lefkoşa,Lefkoşa,Assembly of the Republic,14,,,,
Q20090577,Doğuş Derya,,,,Republican Turkish Party,republican_turkish_party,area/lefkoşa,Lefkoşa,Assembly of the Republic,14,,,,female
dursun_oğuz,Dursun Oğuz,,,,National Unity Party,national_unity_party,area/gazimağusa,Gazimağusa,Assembly of the Republic,14,,,,
erdal_Özcenk,Erdal Özcenk,,,,National Unity Party,national_unity_party,area/gazimağusa,Gazimağusa,Assembly of the Republic,14,,,,
ergün_serdaroğlu,Ergün Serdaroğlu,,,,Democratic Party,democratic_party,area/girne,Girne,Assembly of the Republic,14,,,,
erkut_Şahali,Erkut Şahali,,,,Republican Turkish Party,republican_turkish_party,area/gazimağusa,Gazimağusa,Assembly of the Republic,14,,,,
ersan_saner,Ersan Saner,,,,National Unity Party,national_unity_party,area/gazimağusa,Gazimağusa,Assembly of the Republic,14,,,,
