id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
13912,Adrian McQuillan,Adrian McQuillan,,,,DUP,dup,uk.org.publicwhip/cons/197-NI,East Londonderry,Northern Ireland Assembly,3,,,,male
13826,Alan McFarland,Alan McFarland,,,,UUP,uup,uk.org.publicwhip/cons/406-NI,North Down,Northern Ireland Assembly,3,,2010-03-30,,male
13826,Alan McFarland,Alan McFarland,,,,Independent,independent,uk.org.publicwhip/cons/406-NI,North Down,Northern Ireland Assembly,3,2010-03-31,,,male
11402,Alasdair McDonnell,Alasdair McDonnell,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,uk.org.publicwhip/cons/37-NI,Belfast South,Northern Ireland Assembly,3,,,https://upload.wikimedia.org/wikipedia/commons/d/d5/Alasdair_McDonnell.jpg,male
13927,Alastair Ross,Alastair Ross,,,,DUP,dup,uk.org.publicwhip/cons/192-NI,East Antrim,Northern Ireland Assembly,3,2007-05-14,,https://upload.wikimedia.org/wikipedia/commons/f/fc/Alastair_Ross_DUP.jpg,male
13815,Alban Maginness,Alban Maginness,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,uk.org.publicwhip/cons/36-NI,Belfast North,Northern Ireland Assembly,3,,,,male
13745,Alex Attwood,Alex Attwood,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,uk.org.publicwhip/cons/38-NI,Belfast West,Northern Ireland Assembly,3,,,"https://upload.wikimedia.org/wikipedia/commons/c/cc/May_Day,_Belfast,_April_2011_(056).JPG",male
13780,Alex Easton,Alex Easton,,,,DUP,dup,uk.org.publicwhip/cons/406-NI,North Down,Northern Ireland Assembly,3,,,https://upload.wikimedia.org/wikipedia/commons/5/5b/Alex_Easton.jpg,male
13816,Alex Maskey,Alex Maskey,,,,Sinn Féin,sinn-fein,uk.org.publicwhip/cons/37-NI,Belfast South,Northern Ireland Assembly,3,,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Alex_Maskey.jpg,male
13894,Allan Bresland,Allan Bresland,,,,DUP,dup,uk.org.publicwhip/cons/629-NI,West Tyrone,Northern Ireland Assembly,3,,,,male
13902,Anna Lo,Anna Lo,,,,Alliance,alliance,uk.org.publicwhip/cons/37-NI,Belfast South,Northern Ireland Assembly,3,,,https://upload.wikimedia.org/wikipedia/commons/e/e4/Anna_Lo_MLA.jpg,female
13790,Arlene Foster,Arlene Foster,,,,DUP,dup,uk.org.publicwhip/cons/231-NI,Fermanagh and South Tyrone,Northern Ireland Assembly,3,,,https://upload.wikimedia.org/wikipedia/commons/4/4c/ArleneFoster.jpg,female
13825,Barry McElduff,Barry McElduff,,,,Sinn Féin,sinn-fein,uk.org.publicwhip/cons/629-NI,West Tyrone,Northern Ireland Assembly,3,,,,male
13907,Basil McCrea,Basil McCrea,,,,UUP,uup,uk.org.publicwhip/cons/325-NI,Lagan Valley,Northern Ireland Assembly,3,,,https://upload.wikimedia.org/wikipedia/commons/8/82/Basil_McCrea_Lisburn_Office047.jpg,male
13744,Billy Armstrong,Billy Armstrong,,,,UUP,uup,uk.org.publicwhip/cons/375-NI,Mid Ulster,Northern Ireland Assembly,3,,,,male
24701,Billy Leonard,Billy Leonard,,,,Sinn Féin,sinn-fein,uk.org.publicwhip/cons/197-NI,East Londonderry,Northern Ireland Assembly,3,2010-01-07,,,male
13917,Brian Wilson,Brian Wilson,,,,Green,green,uk.org.publicwhip/cons/406-NI,North Down,Northern Ireland Assembly,3,,,,male
13862,Caitriona Ruane,Caitriona Ruane,,,,Sinn Féin,sinn-fein,uk.org.publicwhip/cons/519-NI,South Down,Northern Ireland Assembly,3,,,https://upload.wikimedia.org/wikipedia/commons/0/07/Ruane.jpg,female
13797,Carmel Hanna,Carmel Hanna,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,uk.org.publicwhip/cons/37-NI,Belfast South,Northern Ireland Assembly,3,,2010-01-18,,female
13913,Carál Ní Chuilín,Carál Ní Chuilín,,,,Sinn Féin,sinn-fein,uk.org.publicwhip/cons/36-NI,Belfast North,Northern Ireland Assembly,3,,,https://upload.wikimedia.org/wikipedia/commons/0/0f/Carál_Ní_Chuilín_(cropped).jpg,female
13892,Cathal Boylan,Cathal Boylan,,,,Sinn Féin,sinn-fein,uk.org.publicwhip/cons/400-NI,Newry and Armagh,Northern Ireland Assembly,3,,,https://upload.wikimedia.org/wikipedia/commons/c/c7/CathalBoylan.jpg,male
24994,Chris Lyttle,Chris Lyttle,,,,Alliance,alliance,uk.org.publicwhip/cons/35-NI,Belfast East,Northern Ireland Assembly,3,2010-07-05,,,male
13909,Claire McGill,Claire McGill,,,,Sinn Féin,sinn-fein,uk.org.publicwhip/cons/629-NI,West Tyrone,Northern Ireland Assembly,3,,,,female
24702,Conall McDevitt,Conall McDevitt,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,uk.org.publicwhip/cons/37-NI,Belfast South,Northern Ireland Assembly,3,2010-01-21,,,male
11734,Conor Murphy,Conor Murphy,,,,Sinn Féin,sinn-fein,uk.org.publicwhip/cons/400-NI,Newry and Armagh,Northern Ireland Assembly,3,,,https://upload.wikimedia.org/wikipedia/commons/3/3e/Conor_Murphy.jpg,male
13911,Daithí McKay,Daithí McKay,,,,Sinn Féin,sinn-fein,uk.org.publicwhip/cons/402-NI,North Antrim,Northern Ireland Assembly,3,,,https://upload.wikimedia.org/wikipedia/commons/8/83/Edinburgh_fbu.jpg,male
13811,Danny Kennedy,Danny Kennedy,,,,UUP,uup,uk.org.publicwhip/cons/400-NI,Newry and Armagh,Northern Ireland Assembly,3,,,,male
24684,Danny Kinahan,Danny Kinahan,,,,UUP,uup,uk.org.publicwhip/cons/515-NI,South Antrim,Northern Ireland Assembly,3,2009-06-09,,,male
10768,David Burnside,David Burnside,,,,UUP,uup,uk.org.publicwhip/cons/515-NI,South Antrim,Northern Ireland Assembly,3,,2009-06-01,https://upload.wikimedia.org/wikipedia/commons/d/d7/David_Burnside.JPG,male
13788,David Ford,David Ford,,,,Alliance,alliance,uk.org.publicwhip/cons/515-NI,South Antrim,Northern Ireland Assembly,3,,,,male
13801,David Hilditch,David Hilditch,,,,DUP,dup,uk.org.publicwhip/cons/192-NI,East Antrim,Northern Ireland Assembly,3,,,,male
13823,David McClarty,David McClarty,,,,UUP,uup,uk.org.publicwhip/cons/197-NI,East Londonderry,Northern Ireland Assembly,3,,2010-12-31,,male
13823,David McClarty,David McClarty,,,,Independent,independent,uk.org.publicwhip/cons/197-NI,East Londonderry,Northern Ireland Assembly,3,2011-01-01,,,male
13834,David McNarry,David McNarry,,,,UUP,uup,uk.org.publicwhip/cons/557-NI,Strangford,Northern Ireland Assembly,3,,,,male
11892,David Simpson,David Simpson,,,,DUP,dup,uk.org.publicwhip/cons/593-NI,Upper Bann,Northern Ireland Assembly,3,,2010-07-01,https://upload.wikimedia.org/wikipedia/commons/f/fa/David_Simpson.jpg,male
13889,Dawn Purvis,Dawn Purvis,,,,PUP,pup,uk.org.publicwhip/cons/35-NI,Belfast East,Northern Ireland Assembly,3,,2010-06-02,,female
13889,Dawn Purvis,Dawn Purvis,,,,Independent,independent,uk.org.publicwhip/cons/35-NI,Belfast East,Northern Ireland Assembly,3,2010-06-03,,,female
13914,Declan O'Loan,Declan O'Loan,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,uk.org.publicwhip/cons/402-NI,North Antrim,Northern Ireland Assembly,3,,,,male
13810,Dolores Kelly,Dolores Kelly,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,uk.org.publicwhip/cons/593-NI,Upper Bann,Northern Ireland Assembly,3,,,,female
13755,Dominic Bradley,Dominic Bradley,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,uk.org.publicwhip/cons/400-NI,Newry and Armagh,Northern Ireland Assembly,3,,,https://upload.wikimedia.org/wikipedia/commons/d/d6/Dominic_Bradley.jpg,male
13853,Edwin Poots,Edwin Poots,,,,DUP,dup,uk.org.publicwhip/cons/325-NI,Lagan Valley,Northern Ireland Assembly,3,,,,male
13818,Fra McCann,Fra McCann,,,,Sinn Féin,sinn-fein,uk.org.publicwhip/cons/38-NI,Belfast West,Northern Ireland Assembly,3,,,https://upload.wikimedia.org/wikipedia/commons/6/6d/Fra_McCann.jpg,male
13918,Francie Brolly,Francie Brolly,,,,Sinn Féin,sinn-fein,uk.org.publicwhip/cons/197-NI,East Londonderry,Northern Ireland Assembly,3,,2009-12-11,,male
13836,Francie Molloy,Francie Molloy,,,,Sinn Féin,sinn-fein,uk.org.publicwhip/cons/375-NI,Mid Ulster,Northern Ireland Assembly,3,,,https://upload.wikimedia.org/wikipedia/commons/c/cc/FrancieMolloy.jpg,male
13766,Fred Cobain,Fred Cobain,,,,UUP,uup,uk.org.publicwhip/cons/36-NI,Belfast North,Northern Ireland Assembly,3,,,,male
13774,George Dawson,George Dawson,,,,DUP,dup,uk.org.publicwhip/cons/192-NI,East Antrim,Northern Ireland Assembly,3,,2007-05-07,,male
