id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
13826,Alan McFarland,,,,UUP,uup,area/north_down,North Down,Northern Ireland Assembly,1,,,,male
11402,Alasdair McDonnell,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/belfast_south,Belfast South,Northern Ireland Assembly,1,,,,male
13815,Alban Maginness,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/belfast_north,Belfast North,Northern Ireland Assembly,1,,,,male
13745,Alex Attwood,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/belfast_west,Belfast West,Northern Ireland Assembly,1,,,"https://upload.wikimedia.org/wikipedia/commons/c/cc/May_Day,_Belfast,_April_2011_(056).JPG",male
13816,Alex Maskey,,,,Sinn Féin,sinn-fein,area/belfast_west,Belfast West,Northern Ireland Assembly,1,,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Alex_Maskey.jpg,male
13769,Annie Courtney,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/foyle,Foyle,Northern Ireland Assembly,1,2000-12-05,2003-04-01,,female
13769,Annie Courtney,,,,Independent,independent,area/foyle,Foyle,Northern Ireland Assembly,1,2003-04-01,,,female
13777,Arthur Doherty,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/east_londonderry,East Londonderry,Northern Ireland Assembly,1,,2002-09-01,,male
13874,Bairbre de Brún,,,,Sinn Féin,sinn-fein,area/belfast_west,Belfast West,Northern Ireland Assembly,1,,,https://upload.wikimedia.org/wikipedia/commons/b/b9/Bairbre_de_Brún_2008-10-19_Strasbourg.jpg,female
13825,Barry McElduff,,,,Sinn Féin,sinn-fein,area/west_tyrone,West Tyrone,Northern Ireland Assembly,1,,,,male
13744,Billy Armstrong,,,,UUP,uup,area/mid_ulster,Mid Ulster,Northern Ireland Assembly,1,,,,male
13749,Billy Bell,,,,UUP,uup,area/lagan_valley,Lagan Valley,Northern Ireland Assembly,1,,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Billy_Bell.jpg,male
13804,Billy Hutchinson,,,,PUP,pup,area/belfast_north,Belfast North,Northern Ireland Assembly,1,,,,male
13779,Boyd Douglas,,,,Independent,independent,area/east_londonderry,East Londonderry,Northern Ireland Assembly,1,,1998-09-21,,male
13779,Boyd Douglas,,,,UUAP,uuap,area/east_londonderry,East Londonderry,Northern Ireland Assembly,1,1998-09-21,,,male
13861,Brid Rodgers,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/upper_bann,Upper Bann,Northern Ireland Assembly,1,,,,female
13797,Carmel Hanna,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/belfast_south,Belfast South,Northern Ireland Assembly,1,,,,female
13873,Cedric Wilson,,,,UKUP,ukup,area/strangford,Strangford,Northern Ireland Assembly,1,,1999-01-15,,male
13873,Cedric Wilson,,,,NIUP,niup,area/strangford,Strangford,Northern Ireland Assembly,1,1999-01-15,,,male
11734,Conor Murphy,,,,Sinn Féin,sinn-fein,area/newry_and_armagh,Newry and Armagh,Northern Ireland Assembly,1,,,https://upload.wikimedia.org/wikipedia/commons/3/3e/Conor_Murphy.jpg,male
13811,Danny Kennedy,,,,UUP,uup,area/newry_and_armagh,Newry and Armagh,Northern Ireland Assembly,1,,,,male
13846,Danny O'Connor,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/east_antrim,East Antrim,Northern Ireland Assembly,1,,,,male
13848,Dara O'Hagan,,,,Sinn Féin,sinn-fein,area/upper_bann,Upper Bann,Northern Ireland Assembly,1,,,,female
13784,David Ervine,,,,PUP,pup,area/belfast_east,Belfast East,Northern Ireland Assembly,1,,,https://upload.wikimedia.org/wikipedia/commons/d/dd/David_Ervine.png,male
13788,David Ford,,,,Alliance,alliance,area/south_antrim,South Antrim,Northern Ireland Assembly,1,,,,male
13801,David Hilditch,,,,DUP,dup,area/east_antrim,East Antrim,Northern Ireland Assembly,1,,,,male
13823,David McClarty,,,,UUP,uup,area/east_londonderry,East Londonderry,Northern Ireland Assembly,1,,,,male
10605,David Trimble,,,,UUP,uup,area/upper_bann,Upper Bann,Northern Ireland Assembly,1,,,"https://upload.wikimedia.org/wikipedia/commons/0/0a/David_Trimble_at_Lisburn_Seed_Group_benefit,_Hillsborough_Castle,_Christmas_2007_crop.jpg",male
13798,Denis Haughey,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/mid_ulster,Mid Ulster,Northern Ireland Assembly,1,,,,male
13869,Denis Watson,,,,Independent,independent,area/upper_bann,Upper Bann,Northern Ireland Assembly,1,,1998-09-21,,male
13869,Denis Watson,,,,UUAP,uuap,area/upper_bann,Upper Bann,Northern Ireland Assembly,1,1998-09-21,,,male
13803,Derek Hussey,,,,UUP,uup,area/west_tyrone,West Tyrone,Northern Ireland Assembly,1,,,,male
13844,Dermot Nesbitt,,,,UUP,uup,area/south_down,South Down,Northern Ireland Assembly,1,,,,male
13824,Donovan McClelland,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/south_antrim,South Antrim,Northern Ireland Assembly,1,,,,male
13865,Duncan Dalton,,,,UUP,uup,area/south_antrim,South Antrim,Northern Ireland Assembly,1,,,,male
13851,Eamonn ONeill,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/south_down,South Down,Northern Ireland Assembly,1,,,,male
10385,Eddie McGrady,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/south_down,South Down,Northern Ireland Assembly,1,,,,male
13853,Edwin Poots,,,,DUP,dup,area/lagan_valley,Lagan Valley,Northern Ireland Assembly,1,,,,male
13748,Eileen Bell,,,,Alliance,alliance,area/north_down,North Down,Northern Ireland Assembly,1,,,,female
13752,Esmond Birnie,,,,UUP,uup,area/belfast_south,Belfast South,Northern Ireland Assembly,1,,,,male
13832,Eugene McMenamin,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/west_tyrone,West Tyrone,Northern Ireland Assembly,1,,,,male
13836,Francie Molloy,,,,Sinn Féin,sinn-fein,area/mid_ulster,Mid Ulster,Northern Ireland Assembly,1,,,,male
13742,Fraser Agnew,,,,Independent,independent,area/belfast_north,Belfast North,Northern Ireland Assembly,1,,1998-09-21,,male
13742,Fraser Agnew,,,,UUAP,uuap,area/belfast_north,Belfast North,Northern Ireland Assembly,1,1998-09-21,,,male
13766,Fred Cobain,,,,UUP,uup,area/belfast_north,Belfast North,Northern Ireland Assembly,1,,,,male
13807,Gardiner Kane,,,,DUP,dup,area/north_antrim,North Antrim,Northern Ireland Assembly,1,,2002-11-11,,male
13807,Gardiner Kane,,,,Independent,independent,area/north_antrim,North Antrim,Northern Ireland Assembly,1,2002-11-11,,,male
13863,George Savage,,,,UUP,uup,area/upper_bann,Upper Bann,Northern Ireland Assembly,1,,,,male
10002,Gerry Adams,,,,Sinn Féin,sinn-fein,area/belfast_west,Belfast West,Northern Ireland Assembly,1,,,https://upload.wikimedia.org/wikipedia/commons/4/47/Gerry_Adams_Easter_Lily_Badge.jpg,male
13809,Gerry Kelly,,,,Sinn Féin,sinn-fein,area/belfast_north,Belfast North,Northern Ireland Assembly,1,,,,male
13830,Gerry McHugh,,,,Sinn Féin,sinn-fein,area/fermanagh_and_south_tyrone,Fermanagh and South Tyrone,Northern Ireland Assembly,1,,,,male
10780,Gregory Campbell,,,,DUP,dup,area/east_londonderry,East Londonderry,Northern Ireland Assembly,1,,,https://upload.wikimedia.org/wikipedia/commons/4/42/GregoryCampell.jpg,male
13741,Ian Adamson,,,,UUP,uup,area/belfast_east,Belfast East,Northern Ireland Assembly,1,,,,male
10471,Ian Paisley,,,,DUP,dup,area/north_antrim,North Antrim,Northern Ireland Assembly,1,,,https://upload.wikimedia.org/wikipedia/commons/e/eb/DrIanPaisley.jpg,male
13852,Ian Paisley Jnr,,,,DUP,dup,area/north_antrim,North Antrim,Northern Ireland Assembly,1,,,,male
11194,Iris Robinson,,,,DUP,dup,area/strangford,Strangford,Northern Ireland Assembly,1,,,,female
13773,Ivan Davis,,,,UUP,uup,area/lagan_valley,Lagan Valley,Northern Ireland Assembly,1,,,,male
13812,James Leslie,,,,UUP,uup,area/north_antrim,North Antrim,Northern Ireland Assembly,1,,,,male
13838,Jane Morrice,,,,NIWC,niwc,area/north_down,North Down,Northern Ireland Assembly,1,,,,female
13864,Jim Shannon,,,,DUP,dup,area/strangford,Strangford,Northern Ireland Assembly,1,,,https://upload.wikimedia.org/wikipedia/commons/b/b7/JimShannon.jpg,male
13871,Jim Wells,,,,DUP,dup,area/south_down,South Down,Northern Ireland Assembly,1,,,,male
13872,Jim Wilson,,,,UUP,uup,area/south_antrim,South Antrim,Northern Ireland Assembly,1,,,,male
13762,Joan Carson,,,,UUP,uup,area/fermanagh_and_south_tyrone,Fermanagh and South Tyrone,Northern Ireland Assembly,1,,,,female
13760,Joe Byrne,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/west_tyrone,West Tyrone,Northern Ireland Assembly,1,,,,male
13800,Joe Hendron,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/belfast_west,Belfast West,Northern Ireland Assembly,1,,,,male
13772,John Dallat,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/east_londonderry,East Londonderry,Northern Ireland Assembly,1,,,,male
13786,John Fee,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/newry_and_armagh,Newry and Armagh,Northern Ireland Assembly,1,,,,male
13795,John Gorman,,,,UUP,uup,area/north_down,North Down,Northern Ireland Assembly,1,,,,male
