id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
alvera_maduro-caines,Alvera Maduro-Caines,Alvera Maduro-Caines,,,,NDP,ndp,6,District 6,House of Assembly,2015,,,,
andrew_fahie,Andrew Fahie,Andrew Fahie,,,,VIP,vip,1,District 1,House of Assembly,2015,,,,
archibald_christian,Archibald Christian,Archibald Christian,,,,NDP,ndp,none,At large,House of Assembly,2015,,,,
delores_christopher,Delores Christopher,Delores Christopher,,,,NDP,ndp,5,District 5,House of Assembly,2015,,,,
hubert_o'neal,Hubert O'Neal,Hubert O'Neal,,,,NDP,ndp,9,District 9,House of Assembly,2015,,,,
julian_fraser,Julian Fraser,Julian Fraser,,,,VIP,vip,3,District 3,House of Assembly,2015,,,,male
kedrick_pickering,Kedrick Pickering,Kedrick Pickering,,,,NDP,ndp,7,District 7,House of Assembly,2015,,,,
mark_vanterpool,Mark Vanterpool,Mark Vanterpool,,,,NDP,ndp,4,District 4,House of Assembly,2015,,,,
marlon_penn,Marlon Penn,Marlon Penn,,,,NDP,ndp,8,District 8,House of Assembly,2015,,,,
melvin_turnbull_jr.,Melvin Turnbull Jr.,Melvin Turnbull Jr.,,,,NDP,ndp,2,District 2,House of Assembly,2015,,,,
myron_walwyn,Myron Walwyn,Myron Walwyn,,,,NDP,ndp,none,At large,House of Assembly,2015,,,,male
orlando_smith,Orlando Smith,Orlando Smith,,,,NDP,ndp,none,At large,House of Assembly,2015,,,https://upload.wikimedia.org/wikipedia/commons/a/ab/D._Orlando_Smith_(cropped).jpg,male
ronnie_skelton,Ronnie Skelton,Ronnie Skelton,,,,NDP,ndp,none,At large,House of Assembly,2015,,,,
