id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
albert_taaviri_kaitara_nicholas,Albert Taaviri Kaitara Nicholas,Albert Taaviri Kaitara Nicholas,,,,DP,dp,area/avatiu-ruatonga-palmerston,Avatiu-Ruatonga-Palmerston,Parliament,14,,,,
james_beer,James Beer,James Beer,,,,DP,dp,area/murienua,Murienua,Parliament,14,,,,
kareroa_wesley,Kareroa Wesley,Kareroa Wesley,,,,DP,dp,area/oneroa,Oneroa,Parliament,14,,,,
selina_napa,Selina Napa,Selina Napa,,,,DP,dp,area/titikaveka,Titikaveka,Parliament,14,,,,
tamaiva_tuavera,Tamaiva Tuavera,Tamaiva Tuavera,,,,DP,dp,area/ngatangiia,Ngatangiia,Parliament,14,,,,
toka_hagai,Toka Hagai,Toka Hagai,,,,CIP,cip,area/rakahanga,Rakahanga,Parliament,14,,,,
tokorua_pareina,Tokorua Pareina,Tokorua Pareina,,,,CIP,cip,area/tamarua,Tamarua,Parliament,14,,,,
tuakeu_tangatapoto,Tuakeu Tangatapoto,Tuakeu Tangatapoto,,,,CIP,cip,area/mitiaro,Mitiaro,Parliament,14,,,,
vainetutai_rose_toki-brown,Vainetutai Rose Toki-Brown,Vainetutai Rose Toki-Brown,,,,CIP,cip,area/teenui-mapumai,Teenui-Mapumai,Parliament,14,,,,
william_william_heather,William William Heather,William William Heather,,,,DP,dp,area/ruaau,Ruaau,Parliament,14,,,,
willie_john,Willie John,Willie John,,,,CIP,cip,area/penrhyn,Penrhyn,Parliament,14,,,,
