id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
Q2851582,Annick Girardin,,,,Cap sur l'avenir - PRG,cap_sur_l'avenir_-_prg,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,https://upload.wikimedia.org/wikipedia/commons/d/dc/Annick_Girardin.jpg,female
bernard_briand,Bernard Briand,,,,Archipel demain,archipel_demain,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,,
catherine_pen,Catherine Pen,,,,Cap sur l'avenir,cap_sur_l'avenir,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,,
catherine_de_arburn,Catherine de Arburn,,,,Archipel demain,archipel_demain,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,,
céline_gaspard,Céline Gaspard,,,,Archipel demain,archipel_demain,area/miquelon-langlade,Miquelon-Langlade,Territorial Council,2012,,,,
david_dodeman,David Dodeman,,,,Cap sur l'avenir,cap_sur_l'avenir,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,,
gildas_morel,Gildas Morel,,,,Cap sur l'avenir,cap_sur_l'avenir,area/miquelon-langlade,Miquelon-Langlade,Territorial Council,2012,,,,
gérard_briand,Gérard Briand,,,,Archipel demain,archipel_demain,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,,
jean-pierre_lebailly,Jean-Pierre Lebailly,,,,Archipel demain,archipel_demain,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,,
joane_beauperthuis,Joane Beauperthuis,,,,Archipel demain,archipel_demain,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,,
marine_garnier,Marine Garnier,,,,Archipel demain,archipel_demain,area/miquelon-langlade,Miquelon-Langlade,Territorial Council,2012,,,,
martine_derouet,Martine Derouet,,,,Archipel demain,archipel_demain,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,,
nicolas_gourmelon,Nicolas Gourmelon,,,,Archipel demain,archipel_demain,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,,
olivier_detcheverry,Olivier Detcheverry,,,,Archipel demain,archipel_demain,area/miquelon-langlade,Miquelon-Langlade,Territorial Council,2012,,,,
rosiane_gautier_zimmermann,Rosiane Gautier Zimmermann,,,,Archipel demain,archipel_demain,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,,
sonia_poirier_urdanabia,Sonia Poirier Urdanabia,,,,Archipel demain,archipel_demain,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,,
Q3501568,Stéphane Artano,,,,Archipel demain,archipel_demain,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,,male
stéphane_lenormand,Stéphane Lenormand,,,,Archipel demain,archipel_demain,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,,
valérie_corbeil_perrin,Valérie Corbeil Perrin,,,,Archipel demain,archipel_demain,area/saint-pierre,Saint-Pierre,Territorial Council,2012,,,,
