id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
abang_abu_bakar_abang_mustapha,Abang Abu Bakar Abang Mustapha,Abang Abu Bakar Abang Mustapha,,,,Parti Pesaka Bumiputera Bersatu,PBB,P142-5,"Paloh, Sarawak",Dewan Rakyat,5,,,,
ghafar_baba,Abdul Ghafar Baba,Abdul Ghafar Baba,,,,United Malays National Organisation,UMNO,P096-5,"Jasin, Malacca",Dewan Rakyat,5,,,,male
abdul_ghani_misbah,Abdul Ghani Misbah,Abdul Ghani Misbah,,,,Sabah People's United Front,BERJAYA,P124-5,"Kinabatangan, Sabah",Dewan Rakyat,5,,,,
abdul_jalal_abu_bakar,Abdul Jalal Abu Bakar,Abdul Jalal Abu Bakar,,,,United Malays National Organisation,UMNO,P106-5,"Batu Pahat, Johore",Dewan Rakyat,5,,,,
abdul_kadir_sheikh_fadzir,Abdul Kadir Sheikh Fadzir,Abdul Kadir Sheikh Fadzir,,,,United Malays National Organisation,UMNO,P015-5,"Kulim-Bandar Bahru, Kedah",Dewan Rakyat,5,,,,
abdul_kadir_yusof,Abdul Kadir Yusof,Abdul Kadir Yusof,,,,United Malays National Organisation,UMNO,P101-5,"Tenggaroh, Johore",Dewan Rakyat,5,,,,
abdul_kadir_yusuf,Abdul Kadir Yusuf,Abdul Kadir Yusuf,,,,United Malays National Organisation,UMNO,P101-5,"Tenggaroh, Johore",Dewan Rakyat,5,,,,male
abdul_manan_othman,Abdul Manan Othman,Abdul Manan Othman,,,,United Malays National Organisation,UMNO,P032-5,"Kuala Trengganu, Trengganu",Dewan Rakyat,5,,,,
abdul_rahman_daud,Abdul Rahman Daud,Abdul Rahman Daud,,,,United Malays National Organisation,UMNO,P018-5,"Pasir Mas, Kelantan",Dewan Rakyat,5,,,,
abdul_rahman_ya'kub,Abdul Rahman Ya'kub,Abdul Rahman Ya'kub,,,,Parti Pesaka Bumiputera Bersatu,PBB,P142-5,"Paloh, Sarawak",Dewan Rakyat,5,,,,male
abdul_samad_idris,Abdul Samad Idris,Abdul Samad Idris,,,,United Malays National Organisation,UMNO,P089-5,"Jelebu, Negri Sembilan",Dewan Rakyat,5,,,,
abdul_shukur_siraj,Abdul Shukur Siraj,Abdul Shukur Siraj,,,,United Malays National Organisation,UMNO,P074-5,"Tanjong Karang, Selangor",Dewan Rakyat,5,,,,
abdul_taib_mahmud,Abdul Taib Mahmud,Abdul Taib Mahmud,,,,Parti Pesaka Bumiputera Bersatu,PBB,P134-5,"Samarahan, Sarawak",Dewan Rakyat,5,,,,male
abdullah_abdul_rahman,Abdullah Abdul Rahman,Abdullah Abdul Rahman,,,,United Malays National Organisation,UMNO,P029-5,"Ulu Nerus, Trengganu",Dewan Rakyat,5,,,,
abdullah_ahmad_badawi,Abdullah Ahmad Badawi,Abdullah Ahmad Badawi,,,,United Malays National Organisation,UMNO,P035-5,"Kepala Batas, Penang",Dewan Rakyat,5,,,https://upload.wikimedia.org/wikipedia/commons/5/53/Abdullah_Badawi_2004.jpg,male
abu_bakar_umar,Abu Bakar Umar,Abu Bakar Umar,,,,Pan-Malaysian Islamic Party,PAS,P008-5,"Kota Setar, Kedah",Dewan Rakyat,5,,,,
abu_hassan_omar,Abu Hassan Omar,Abu Hassan Omar,,,,United Malays National Organisation,UMNO,P076-5,"Kuala Selangor, Selangor",Dewan Rakyat,5,,,,male
aishah_ghani,Aishah Ghani,Aishah Ghani,,,,United Malays National Organisation,UMNO,P082-5,"Kuala Langat, Selangor",Dewan Rakyat,5,,,,female
alias_md._ali,Alias Md. Ali,Alias Md. Ali,,,,United Malays National Organisation,UMNO,P030-5,"Ulu Trengganu, Trengganu",Dewan Rakyat,5,,,,
aliuddin_mohd._tahir,Aliuddin Mohd. Tahir,Aliuddin Mohd. Tahir,,,,Independent,IND,P125-5,"Kimanis, Sabah",Dewan Rakyat,5,,,,
ampong_puyon,Ampong Puyon,Ampong Puyon,,,,United Sabah National Organisation,USNO,P118-5,"Labuk-Sugut, Sabah",Dewan Rakyat,5,,,,
ashkar_hasbollah,Ashkar Hasbollah,Ashkar Hasbollah,,,,United Sabah National Organisation,USNO,P115-5,"Marudu, Sabah",Dewan Rakyat,5,,,,
au_how_cheong,Au How Cheong,Au How Cheong,,,,Parti Gerakan Rakyat Malaysia,Gerakan,P062-5,"Telok Anson, Perak",Dewan Rakyat,5,,,,
awang_abdul_jabar,Awang Abdul Jabar,Awang Abdul Jabar,,,,United Malays National Organisation,UMNO,P033-5,"Dungun, Trengganu",Dewan Rakyat,5,,,,
azharul_abidin_abdul_rahim,Azharul Abidin Abdul Rahim,Azharul Abidin Abdul Rahim,,,,United Malays National Organisation,UMNO,P059-5,"Batang Padang, Perak",Dewan Rakyat,5,,,,
bujang_ulis,Bujang Ulis,Bujang Ulis,,,,Parti Pesaka Bumiputera Bersatu,PBB,P137-5,"Simunjan, Sarawak",Dewan Rakyat,5,,,,
chan_kok_kit,Chan Kok Kit,Chan Kok Kit,,,,Democratic Action Party,DAP,P088-5,"Sungei Besi, Federal Territory of Kuala Lumpur",Dewan Rakyat,5,,,,
chan_siang_sun,Chan Siang Sun,Chan Siang Sun,,,,Malaysian Chinese Association,MCA,P070-5,"Bentong, Pahang",Dewan Rakyat,5,,,,
chan_teck_chan,Chan Teck Chan,Chan Teck Chan,,,,Democratic Action Party,DAP,P098-5,"Kota Melaka, Malacca",Dewan Rakyat,5,,,,
chen_man_hin,Chen Man Hin,Chen Man Hin,,,,Democratic Action Party,DAP,P091-5,"Seremban, Negri Sembilan",Dewan Rakyat,5,,,,
chian_heng_kai,Chian Heng Kai,Chian Heng Kai,,,,Democratic Action Party,DAP,P058-5,"Batu Gajah, Perak",Dewan Rakyat,5,,,,
chieng_tiong_kai,Chieng Tiong Kai,Chieng Tiong Kai,,,,Sarawak United Peoples' Party,SUPP,P143-5,"Sarikei, Sarawak",Dewan Rakyat,5,,,,
chin_hon_ngian,Chin Hon Ngian,Chin Hon Ngian,,,,Malaysian Chinese Association,MCA,P107-5,"Renggam, Johore",Dewan Rakyat,5,,,,
chong_hon_nyan,Chong Hon Nyan,Chong Hon Nyan,,,,Malaysian Chinese Association,MCA,P097-5,"Batu Berendam, Malacca",Dewan Rakyat,5,,,,
clarence_e._mansul,Clarence E. Mansul,Clarence E. Mansul,,,,Sabah People's United Front,BERJAYA,P122-5,"Penampang, Sabah",Dewan Rakyat,5,,,,
edmund_langgu_saga,Edmund Langgu Saga,Edmund Langgu Saga,,,,Sarawak National Party,SNAP,P141-5,"Saratok, Sarawak",Dewan Rakyat,5,,,,
edwin_esnen_unang,Edwin Esnen Unang,Edwin Esnen Unang,,,,Parti Pesaka Bumiputera Bersatu,PBB,P146-5,"Mukah, Sarawak",Dewan Rakyat,5,,,,
edwin_tangkun,Edwin Tangkun,Edwin Tangkun,,,,Sarawak National Party,SNAP,P138-5,"Batang Lupar, Sarawak",Dewan Rakyat,5,,,,
embong_yahya,Embong Yahya,Embong Yahya,,,,United Malays National Organisation,UMNO,P112-5,"Ledang, Johore",Dewan Rakyat,5,,,,
fung_ket_wing,Fung Ket Wing,Fung Ket Wing,,,,Democratic Action Party,DAP,P123-5,"Sandakan, Sabah",Dewan Rakyat,5,,,,
george_abah_mengimbal,George Abah Mengimbal,George Abah Mengimbal,,,,Sabah People's United Front,BERJAYA,P116-5,"Bandau, Sabah",Dewan Rakyat,5,,,,
ghazali_shafie,Ghazali Shafie,Ghazali Shafie,,,,United Malays National Organisation,UMNO,P065-5,"Lipis, Pahang",Dewan Rakyat,5,,,https://upload.wikimedia.org/wikipedia/commons/9/94/Ghazali_Shafie_(crop).jpg,male
goh_cheng_teik,Goh Cheng Teik,Goh Cheng Teik,,,,Parti Gerakan Rakyat Malaysia,Gerakan,P039-5,"Nibong Tebal, Penang",Dewan Rakyat,5,,,,
hamzah_abu_samah,Hamzah Abu Samah,Hamzah Abu Samah,,,,United Malays National Organisation,UMNO,P072-5,"Temerloh, Pahang",Dewan Rakyat,5,,,,male
harris_salleh,Harris Salleh,Harris Salleh,,,,Sabah People's United Front,BERJAYA,P129-5,"Ulu Padas, Sabah",Dewan Rakyat,5,,,,male
hashim_endut,Hashim Endut,Hashim Endut,,,,United Malays National Organisation,UMNO,P009-5,"Ulu Muda, Kedah",Dewan Rakyat,5,,,,
hashim_ghazali,Hashim Ghazali,Hashim Ghazali,,,,United Malays National Organisation,UMNO,P050-5,"Matang, Perak",Dewan Rakyat,5,,,,
hassan_adli_arshad,Hassan Adli Arshad,Hassan Adli Arshad,,,,United Malays National Organisation,UMNO,P064-5,"Bagan Datok, Perak",Dewan Rakyat,5,,,,
hee_tien_lai,Hee Tien Lai,Hee Tien Lai,,,,Malaysian Chinese Association,MCA,P111-5,"Ayer Hitam, Johore",Dewan Rakyat,5,,,,male
hiew_nyuk_ying,Hiew Nyuk Ying,Hiew Nyuk Ying,,,,Sabah People's United Front,BERJAYA,P130-5,"Tawau, Sabah",Dewan Rakyat,5,,,,
hishamuddin_yahaya,Hishamuddin Yahaya,Hishamuddin Yahaya,,,,United Malays National Organisation,UMNO,P069-5,"Maran, Pahang",Dewan Rakyat,5,,,,
hussein_mahmood,Hussein Mahmood,Hussein Mahmood,,,,United Malays National Organisation,UMNO,P023-5,"Tanah Merah, Kelantan",Dewan Rakyat,5,,,,
hussein_onn,Hussein Onn,Hussein Onn,,,,United Malays National Organisation,UMNO,P110-5,"Sri Gading, Johore",Dewan Rakyat,5,,,,male
ibrahim_muhammad,Ibrahim Muhammad,Ibrahim Muhammad,,,,United Malays National Organisation,UMNO,P021-5,"Rantau Panjang, Kelantan",Dewan Rakyat,5,,,,
idris_abdul_rauf,Idris Abdul Rauf,Idris Abdul Rauf,,,,United Malays National Organisation,UMNO,P046-5,"Parit Buntar, Perak",Dewan Rakyat,5,,,,
ikhwan_nasir,Ikhwan Nasir,Ikhwan Nasir,,,,United Malays National Organisation,UMNO,P105-5,"Pontian, Johore",Dewan Rakyat,5,,,,
ismail_arshad,Ismail Arshad,Ismail Arshad,,,,United Malays National Organisation,UMNO,P011-5,"Jerai, Kedah",Dewan Rakyat,5,,,,
ismail_said,Ismail Said,Ismail Said,,,,United Malays National Organisation,UMNO,P034-5,"Kemaman, Trengganu",Dewan Rakyat,5,,,,
jamaluddin_suhaimi,Jamaluddin Suhaimi,Jamaluddin Suhaimi,,,,United Malays National Organisation,UMNO,P073-5,"Sabak Bernam, Selangor",Dewan Rakyat,5,,,,
james_peter_ongkili,James Peter Ongkili,James Peter Ongkili,,,,Sabah People's United Front,BERJAYA,P119-5,"Tuaran, Sabah",Dewan Rakyat,5,,,,
jawan_empaling,Jawan Empaling,Jawan Empaling,,,,Sarawak United Peoples' Party,SUPP,P145-5,"Rajang, Sarawak",Dewan Rakyat,5,,,,
jonathan_narwin_jinggong,Jonathan Narwin Jinggong,Jonathan Narwin Jinggong,,,,Sarawak National Party,SNAP,P139-5,"Lubok Antu, Sarawak",Dewan Rakyat,5,,,,
k._pathamanaban,K. Pathamanaban,K. Pathamanaban,,,,Malaysian Indian Congress,MIC,P093-5,"Telok Kemang, Negri Sembilan",Dewan Rakyat,5,,,,
kamaluddin_maamor,Kamaluddin Maamor,Kamaluddin Maamor,,,,United Malays National Organisation,UMNO,P061-5,"Hilir Perak, Perak",Dewan Rakyat,5,,,,
kamaruddin_mohamed_isa,Kamaruddin Mohamed Isa,Kamaruddin Mohamed Isa,,,,United Malays National Organisation,UMNO,P045-5,"Larut, Perak",Dewan Rakyat,5,,,,
karpal_singh,Karpal Singh,Karpal Singh,,,,Democratic Action Party,DAP,P043-5,"Jelutong, Penang",Dewan Rakyat,5,,,https://upload.wikimedia.org/wikipedia/commons/2/2e/Karpal_Singh.jpg,male
khir_johari,Khir Johari,Khir Johari,,,,United Malays National Organisation,UMNO,P012-5,"Kuala Muda, Kedah",Dewan Rakyat,5,,,,male
lee_boon_peng,Lee Boon Peng,Lee Boon Peng,,,,Malaysian Chinese Association,MCA,P090-5,"Mantin, Negri Sembilan",Dewan Rakyat,5,,,,
