id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
4858,ADA DAMJANAC,ADA DAMJANAC,,,,SDP,sdp,area/8th,8th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19547,
5660,ALEN PRELEC,ALEN PRELEC,,,,SDP,sdp,area/1st,1st,Sabor,7,2013-07-12,,http://www.sabor.hr/lgs.axd?t=16&id=25482,
4762,ANA KOMPARIĆ DEVČIĆ,ANA KOMPARIĆ DEVČIĆ,,,,SDP,sdp,area/8th,8th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19586,
4859,ANTE BABIĆ,ANTE BABIĆ,,,,HDZ,hdz,area/10th,10th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19523,
5696,ANTE JEROLIMOV,ANTE JEROLIMOV,,,,HDZ,hdz,area/9th,9th,Sabor,7,2013-09-24,,http://www.sabor.hr/lgs.axd?t=16&id=25483,
4779,ANTE KULUŠIĆ,ANTE KULUŠIĆ,,,,HDZ,hdz,area/9th,9th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19591,
4867,ANTE SANADER,ANTE SANADER,,,,HDZ,hdz,area/9th,9th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=24691,
4993,BORIS BLAŽEKOVIĆ,BORIS BLAŽEKOVIĆ,,,,HNS,hns,area/6th,6th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19536,
5096,BORIS KOVAČIĆ,BORIS KOVAČIĆ,,,,SDP,sdp,area/6th,6th,Sabor,7,2011-12-23,,http://www.sabor.hr/lgs.axd?t=16&id=19589,
5045,BORO GRUBIŠIĆ,BORO GRUBIŠIĆ,,,,HDSSB,hdssb,area/5th,5th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19563,
4732,BRANKA JURIČEV-MARTINČEV,BRANKA JURIČEV-MARTINČEV,,,,HDZ,hdz,area/9th,9th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19575,
4973,BRANKO BAČIĆ,BRANKO BAČIĆ,,,,HDZ,hdz,area/10th,10th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19525,
5472,BRANKO HRG,BRANKO HRG,,,,HSS,hss,area/2nd,2nd,Sabor,7,2012-10-12,,http://www.sabor.hr/lgs.axd?t=16&id=22156,
4783,BRANKO KUTIJA,BRANKO KUTIJA,,,,HDZ,hdz,area/9th,9th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19596,
5122,BRANKO VUKŠIĆ,BRANKO VUKŠIĆ,,,,Independent,independent,area/1st,1st,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19657,
4741,DAMIR KAJIN,DAMIR KAJIN,,,,Independent,independent,area/8th,8th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19577,male
4821,DAMIR MATELJAN,DAMIR MATELJAN,,,,SDP,sdp,area/7th,7th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19667,
5108,DAMIR RILJE,DAMIR RILJE,,,,SDP,sdp,area/9th,9th,Sabor,7,2011-12-23,,http://www.sabor.hr/lgs.axd?t=16&id=19817,
5069,DAMIR RIMAC,DAMIR RIMAC,,,,SDP,sdp,area/5th,5th,Sabor,7,2011-12-23,,http://www.sabor.hr/lgs.axd?t=16&id=19626,
4961,DAMIR TOMIĆ,DAMIR TOMIĆ,,,,SDP,sdp,area/4th,4th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19819,
4773,DANIEL MONDEKAR,DANIEL MONDEKAR,,,,SDP,sdp,area/6th,6th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19614,
5664,DARKO LEDINSKI,DARKO LEDINSKI,,,,SDP,sdp,area/2nd,2nd,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=25365,
4742,DARKO MILINOVIĆ,DARKO MILINOVIĆ,,,,HDZ,hdz,area/9th,9th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19611,male
4987,DAVOR BERNARDIĆ,DAVOR BERNARDIĆ,,,,SDP,sdp,area/1st,1st,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19533,male
5001,DAVOR BOŽINOVIĆ,DAVOR BOŽINOVIĆ,,,,HDZ,hdz,area/8th,8th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19541,male
5592,DAVOR MILIČEVIĆ,DAVOR MILIČEVIĆ,,,,HDZ,hdz,area/5th,5th,Sabor,7,2013-04-12,,http://www.sabor.hr/lgs.axd?t=16&id=23897,
4761,DAVORIN MLAKAR,DAVORIN MLAKAR,,,,HDZ,hdz,area/2nd,2nd,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19812,
5005,DINKO BURIĆ,DINKO BURIĆ,,,,HDSSB,hdssb,area/4th,4th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19543,
5051,DOMAGOJ HAJDUKOVIĆ,DOMAGOJ HAJDUKOVIĆ,,,,SDP,sdp,area/4th,4th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19566,
4746,DOMAGOJ IVAN MILOŠEVIĆ,DOMAGOJ IVAN MILOŠEVIĆ,,,,HDZ,hdz,area/3rd,3rd,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19811,male
