id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
c3a1c4a2-a4a7-496f-9183-a186e2823579,Atli Gíslason,,,Independent,046affbd-67cf-472b-b108-ae0a7d1903ea,South Constituency,Alþingi,2009,2011-03-21,
b0b765bc-4bd5-4989-86fc-98b9e9f809c9,Birgir Ármannsson,,,Independence Party,678d00a4-dd00-48be-bfc7-adc85413605a,Reykjavik Constituency South,Alþingi,2009,,
ef0ecb8b-2bee-4f42-8df2-5324a37fb756,Birgitta Jónsdóttir,,,Pirate Party,19c27a85-669f-4e14-b61f-a559aa918a69,Reykjavik Constituency South,Alþingi,2009,2012,
94ccb06d-c701-4849-a6af-b845d46d683a,Birkir Jónsson,,,Progressive Party,02d8e0ab-943b-482b-95e0-8423c26e6c11,Northeast Constituency,Alþingi,2009,,
8227b075-aa02-4f97-a68b-4f85549e69f5,Bjarni Benediktsson,,,Independence Party,678d00a4-dd00-48be-bfc7-adc85413605a,Southwest Constituency,Alþingi,2009,,
c92576fc-2dfb-49bd-b526-1264980cc374,Björgvin Sigurðsson,,,Social Democratic Alliance,0be7e488-2a4d-4f02-9c7a-0d57648cf9e8,South Constituency,Alþingi,2009,,
e4283e7a-0d24-4a67-9fee-abe3e66ffa15,Björn Gíslason,,,Left-Green Movement,d828c606-5269-4a11-a12b-ba3923d4284f,Northeast Constituency,Alþingi,2009,,
2328b84d-8a90-4b81-a082-f366fbb9fe6d,Einar Guðfinnsson,,,Independence Party,678d00a4-dd00-48be-bfc7-adc85413605a,Northwest Constituency,Alþingi,2009,,
c1dc5827-c24a-437b-9c0c-ac5b04a5aa5b,Eygló Harðardóttir,,,Progressive Party,02d8e0ab-943b-482b-95e0-8423c26e6c11,South Constituency,Alþingi,2009,,
ac9941bc-1e0c-4ece-a960-4714cad792c3,Gunnar Sveinsson,,,Progressive Party,02d8e0ab-943b-482b-95e0-8423c26e6c11,Northwest Constituency,Alþingi,2009,,
1494b454-46da-40f5-8c88-63f0347b377d,Guðbjartur Hannesson,,,Social Democratic Alliance,0be7e488-2a4d-4f02-9c7a-0d57648cf9e8,Northwest Constituency,Alþingi,2009,,
bcd414f7-c27d-4a1b-97b1-5e32b5e0df69,Guðfríður Grétarsdóttir,,,Left-Green Movement,d828c606-5269-4a11-a12b-ba3923d4284f,Southwest Constituency,Alþingi,2009,,
170d13a6-b74f-4bcb-b269-d2da18c731b2,Guðlaugur Þórðarson,,,Independence Party,678d00a4-dd00-48be-bfc7-adc85413605a,Reykjavik Constituency South,Alþingi,2009,,
4092e8e4-17d3-46a7-adc1-64c966778668,Guðmundur Steingrímsson,,,Bright Future,5f726575-cfe6-45f6-b936-c9e82c6a5b81,Northwest Constituency,Alþingi,2009,2011-08-22,
d1ea28f9-eee5-4fb5-a747-61f87284194d,Helgi Hjörvar,,,Social Democratic Alliance,0be7e488-2a4d-4f02-9c7a-0d57648cf9e8,Reykjavik Constituency North,Alþingi,2009,,
209e529d-69f2-4eff-9bd4-1c3b03a583ff,Höskuldur Þórhallsson,,,Progressive Party,02d8e0ab-943b-482b-95e0-8423c26e6c11,Northeast Constituency,Alþingi,2009,,
c309cb29-70ab-4eb5-bbb2-57eabcd6e6e1,Illugi Gunnarsson,,,Independence Party,678d00a4-dd00-48be-bfc7-adc85413605a,Reykjavik Constituency North,Alþingi,2009,,
03e6776c-eb2f-4cfc-8202-5604b0de09fb,Jóhanna Sigurðardóttir,,,Social Democratic Alliance,0be7e488-2a4d-4f02-9c7a-0d57648cf9e8,Reykjavik Constituency North,Alþingi,2009,,
ba92274a-c072-4625-97b9-7c9b3b51085e,Jón Bjarnason,,,Independent,046affbd-67cf-472b-b108-ae0a7d1903ea,Northwest Constituency,Alþingi,2009,2013-01-24,
8ab5826a-4a49-4299-b5a5-666feeef68d4,Jón Gunnarsson,,,Independence Party,678d00a4-dd00-48be-bfc7-adc85413605a,Southwest Constituency,Alþingi,2009,,
81a51df5-c6c9-4878-9980-4e910f8a6869,Jónína Guðmundsdóttir,,,Social Democratic Alliance,0be7e488-2a4d-4f02-9c7a-0d57648cf9e8,Northeast Constituency,Alþingi,2009,,
685c3baa-ba13-4be5-9db2-c6cc7ccf2be4,Katrín Jakobsdóttir,,,Left-Green Movement,d828c606-5269-4a11-a12b-ba3923d4284f,Reykjavik Constituency North,Alþingi,2009,,
b3d2726c-9eea-4bdb-8002-6adef183c043,Katrín Júlíusdóttir,,,Social Democratic Alliance,0be7e488-2a4d-4f02-9c7a-0d57648cf9e8,Southwest Constituency,Alþingi,2009,,
878a3032-5243-4552-9343-b73436112ddf,Kristján Júlíusson,,,Independence Party,678d00a4-dd00-48be-bfc7-adc85413605a,Northeast Constituency,Alþingi,2009,,
6bf427d0-d7e9-4743-90cc-d3a4b1bb5aa0,Kristján Möller,,,Social Democratic Alliance,0be7e488-2a4d-4f02-9c7a-0d57648cf9e8,Northeast Constituency,Alþingi,2009,,
401409ba-2e25-44bc-9735-9ffa4adad40d,Lilja Magnúsdóttir,,,Left-Green Movement,d828c606-5269-4a11-a12b-ba3923d4284f,Northwest Constituency,Alþingi,2009,,
95bfda70-b6d4-43ac-9181-4153fcee0ae5,Lilja Mósesdóttir,,,Solidarity,60372598-d8de-4925-8953-f3c5cbf239f7,Reykjavik Constituency South,Alþingi,2009,2011-03-21,
632ce31a-bad6-4b9e-8f2a-e311dca38435,Lúðvík Geirsson,,,Social Democratic Alliance,0be7e488-2a4d-4f02-9c7a-0d57648cf9e8,Southwest Constituency,Alþingi,2009,2011,
cf2ba257-7358-475b-b003-106ee779041e,Magnús Schram,,,Social Democratic Alliance,0be7e488-2a4d-4f02-9c7a-0d57648cf9e8,Southwest Constituency,Alþingi,2009,,
0fcfab6d-51eb-455a-a8b1-08d3a664f38b,Margrét Tryggvadóttir,,,Citizens' Movement,40565a78-fd84-4cdb-8cc5-2bef9daeff3a,South Constituency,Alþingi,2009,,
e80566cf-b46e-4d01-b28b-22ce3a00b152,Mörður Árnason,,,Social Democratic Alliance,0be7e488-2a4d-4f02-9c7a-0d57648cf9e8,Reykjavik Constituency North,Alþingi,2009,2010,
4f07da2d-c1df-45d3-8084-2b28ae8ed493,Oddný Harðardóttir,,,Social Democratic Alliance,0be7e488-2a4d-4f02-9c7a-0d57648cf9e8,South Constituency,Alþingi,2009,,
bddba7c6-2c72-41c2-b72a-f64858f67faa,Pétur Blöndal,,,Independence Party,678d00a4-dd00-48be-bfc7-adc85413605a,Reykjavik Constituency North,Alþingi,2009,,
50a0e8a6-0bc3-4b77-9a0d-f1f7c378b859,Ragnheiður Ríkharðsdóttir,,,Independence Party,678d00a4-dd00-48be-bfc7-adc85413605a,Southwest Constituency,Alþingi,2009,,
f937ef82-12ed-474f-a585-fcf265dc92d5,Ragnheiður Árnadóttir,,,Independence Party,678d00a4-dd00-48be-bfc7-adc85413605a,South Constituency,Alþingi,2009,,
7f9efd9c-7a77-4bc4-a11b-67354a36929f,Róbert Marshall,,,Bright Future,5f726575-cfe6-45f6-b936-c9e82c6a5b81,South Constituency,Alþingi,2009,2012-10-12,
