id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
aaron_dladla,Aaron Dladla,,,,unknown,unknown,area/nkwene,Nkwene,House of Assembly,9,,,,
benedict_xaba,Benedict Xaba,,,,unknown,unknown,area/shiselweni_ii,Shiselweni II,House of Assembly,9,,,,
bennedict_xaba,Bennedict Xaba,,,,unknown,unknown,area/shiselweni_ii,Shiselweni II,House of Assembly,9,,,,
big_boy_mamba,Big Boy Mamba,,,,unknown,unknown,area/ngudzeni,Ngudzeni,House of Assembly,9,,,,
bongani_mdluli,Bongani Mdluli,,,,unknown,unknown,area/madlangempisi,Madlangempisi,House of Assembly,9,,,,
charles_myeza,Charles Myeza,,,,unknown,unknown,area/khubuta,Khubuta,House of Assembly,9,,,,
clement_dlamini,Clement Dlamini,,,,unknown,unknown,area/kukhanyeni,Kukhanyeni,House of Assembly,9,,,,
doward_sihlongonye,Doward Sihlongonye,,,,unknown,unknown,area/somntongo,Somntongo,House of Assembly,9,,,,
enock_dlamini,Enock Dlamini,,,,unknown,unknown,area/nkhaba,Nkhaba,House of Assembly,9,,,,
esther_dlamini,Esther Dlamini,,,,unknown,unknown,area/mbabane_east,Mbabane East,House of Assembly,9,,,,
frans_dlamini,Frans Dlamini,,,,unknown,unknown,area/nhlambeni,Nhlambeni,House of Assembly,9,,,,
gibson_hlophe,Gibson Hlophe,,,,unknown,unknown,area/sandleni,Sandleni,House of Assembly,9,,,,
gundwane_gamedze,Gundwane Gamedze,,,,unknown,unknown,area/siphofaneni,Siphofaneni,House of Assembly,9,,,,
henry_dlamini,Henry Dlamini,,,,unknown,unknown,area/ntfonjeni,Ntfonjeni,House of Assembly,9,,,,
hlobsile_ndlovu,Hlobsile Ndlovu,,,,unknown,unknown,area/pigg’s_peak,Pigg’s Peak,House of Assembly,9,,,,
jennifer_du_pont,Jennifer du Pont,,,,unknown,unknown,area/timphisini,Timphisini,House of Assembly,9,,,,
johane_shongwe,Johane Shongwe,,,,unknown,unknown,area/mbabane_west,Mbabane West,House of Assembly,9,,,,
johannes_ndlangamandla,Johannes Ndlangamandla,,,,unknown,unknown,area/zombodze,Zombodze,House of Assembly,9,,,,
joseph_souza,Joseph Souza,,,,unknown,unknown,area/lugongolweni,Lugongolweni,House of Assembly,9,,,,
lutfo_dlamini,Lutfo Dlamini,,,,unknown,unknown,area/ndzingeni,Ndzingeni,House of Assembly,9,,,,
mabhanisi_dlamini,Mabhanisi Dlamini,,,,unknown,unknown,area/kwaluseni,Kwaluseni,House of Assembly,9,,,,
macford_sibandze,Macford Sibandze,,,,unknown,unknown,area/manzini_north,Manzini North,House of Assembly,9,,,,
magobetane_mamba,Magobetane Mamba,,,,unknown,unknown,area/sithobela,Sithobela,House of Assembly,9,,,,
majahodvwa_khumalo,Majahodvwa Khumalo,,,,unknown,unknown,area/lobamba,Lobamba,House of Assembly,9,,,,
marwick_khumalo,Marwick Khumalo,,,,unknown,unknown,area/lobamba_lomdzala,Lobamba Lomdzala,House of Assembly,9,,,,
mbalekelwa_ndwandwe,Mbalekelwa Ndwandwe,,,,unknown,unknown,area/mhlangatane,Mhlangatane,House of Assembly,9,,,,
mduduzi_dlamini,Mduduzi Dlamini,,,,unknown,unknown,area/mangcongco,Mangcongco,House of Assembly,9,,,,
mduduzi_mabuza,Mduduzi Mabuza,,,,unknown,unknown,area/hosea,Hosea,House of Assembly,9,,,,
mduduzi_magagula,Mduduzi Magagula,,,,unknown,unknown,area/hlane,Hlane,House of Assembly,9,,,,
mduduzi_‘small_joe’_dlamini,Mduduzi ‘Small Joe’ Dlamini,,,,unknown,unknown,area/maseyisini,Maseyisini,House of Assembly,9,,,,
mlamuli_dlamini,Mlamuli Dlamini,,,,unknown,unknown,area/mstambama,Mstambama,House of Assembly,9,,,,
musa_kunene,Musa Kunene,,,,unknown,unknown,area/gege,Gege,House of Assembly,9,,,,
musa_ngcobo,Musa Ngcobo,,,,unknown,unknown,area/mahlangatja,Mahlangatja,House of Assembly,9,,,,
nicodemus_mashwama,Nicodemus Mashwama,,,,unknown,unknown,area/mpolonjeni,Mpolonjeni,House of Assembly,9,,,,
nkululeko_mbhamali,Nkululeko Mbhamali,,,,unknown,unknown,area/matsanjeni_north,Matsanjeni North,House of Assembly,9,,,,
nonhlanhla_dlamini,Nonhlanhla Dlamini,,,,unknown,unknown,area/ludzeludze,Ludzeludze,House of Assembly,9,,,,
ntuthuko_dlamini,Ntuthuko Dlamini,,,,unknown,unknown,area/lamgabhi,Lamgabhi,House of Assembly,9,,,,
patrick_gamedze,Patrick Gamedze,,,,unknown,unknown,area/mtfongwaneni,Mtfongwaneni,House of Assembly,9,,,,
peter_ngwenya,Peter Ngwenya,,,,unknown,unknown,area/ntondozi,Ntondozi,House of Assembly,9,,,,
petros_mavimbela,Petros Mavimbela,,,,unknown,unknown,area/mhlambanyatsi,Mhlambanyatsi,House of Assembly,9,,,,
qedusizi_ndlovu,Qedusizi Ndlovu,,,,unknown,unknown,area/matsanjeni_south,Matsanjeni South,House of Assembly,9,,,,
robert_magongo,Robert Magongo,,,,unknown,unknown,area/motshane,Motshane,House of Assembly,9,,,,
rogers_mamba,Rogers Mamba,,,,unknown,unknown,area/mkhiweni,Mkhiweni,House of Assembly,9,,,,
sicelo_dlamini,Sicelo Dlamini,,,,unknown,unknown,area/maphalaleni,Maphalaleni,House of Assembly,9,,,,
sifiso_matsebula,Sifiso Matsebula,,,,unknown,unknown,area/mayiwane,Mayiwane,House of Assembly,9,,,,
sivumelwano_nxumalo,Sivumelwano Nxumalo,,,,unknown,unknown,area/sigwe,Sigwe,House of Assembly,9,,,,
thandi_nxumalo,Thandi Nxumalo,,,,unknown,unknown,area/manzini_south,Manzini South,House of Assembly,9,,,,
