id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
2010-1,AHINGEJEJE Alfred,AHINGEJEJE Alfred,,,,-,-,area/cibitoke,CIBITOKE,Assemblée nationale,2010,,,,
2010-2,ARAKAZA Christine,ARAKAZA Christine,,,,CNDD-FDD,CNDD-FDD,area/muyinga,MUYINGA,Assemblée nationale,2010,,,,
2010-3,BARAMPAMA Rémy,BARAMPAMA Rémy,,,,CNDD-FDD,CNDD-FDD,area/bujumbura-mairie,BUJUMBURA-Mairie,Assemblée nationale,2010,,,,
2010-4,BARARUFISE Marceline,BARARUFISE Marceline,,,,UPRONA,UPRONA,area/rutana,RUTANA,Assemblée nationale,2010,,,,
2010-5,BAREKEBAVUGE Alexis,BAREKEBAVUGE Alexis,,,,CNDD-FDD,CNDD-FDD,area/cibitoke,CIBITOKE,Assemblée nationale,2010,,,,
2010-6,BERAHINO Gloriose,BERAHINO Gloriose,,,,CNDD-FDD,CNDD-FDD,area/kayanza,KAYANZA,Assemblée nationale,2010,,,,
2010-7,BIGIRIMANA Alphonsine,BIGIRIMANA Alphonsine,,,,CNDD-FDD,CNDD-FDD,area/karusi,KARUSI,Assemblée nationale,2010,,,,
2010-11,BOSOKOZA Bernard,BOSOKOZA Bernard,,,,UPRONA,UPRONA,area/bujumbura-mairie,BUJUMBURA-Mairie,Assemblée nationale,2010,,,,
2010-8,BUCUMI Moïse,BUCUMI Moïse,,,,CNDD-FDD,CNDD-FDD,area/ruyigi,RUYIGI,Assemblée nationale,2010,,,,
2010-9,BUCUMI Pasteur,BUCUMI Pasteur,,,,CNDD-FDD,CNDD-FDD,area/makamba,MAKAMBA,Assemblée nationale,2010,,,,
2010-10,BUKUMBANYA Henri,BUKUMBANYA Henri,,,,CNDD-FDD,CNDD-FDD,area/ruyigi,RUYIGI,Assemblée nationale,2010,,,,
2010-12,BUTORE Joseph,BUTORE Joseph,,,,CNDD-FDD,CNDD-FDD,area/cibitoke,CIBITOKE,Assemblée nationale,2010,,,,
2010-13,BUTOYI Stany,BUTOYI Stany,,,,CNDD-FDD,CNDD-FDD,area/karusi,KARUSI,Assemblée nationale,2010,,,,
2010-14,GAFURERO Léocadie,GAFURERO Léocadie,,,,CNDD-FDD,CNDD-FDD,area/bubanza,BUBANZA,Assemblée nationale,2010,,,,
2010-15,GAHIMBARE Joselyne,GAHIMBARE Joselyne,,,,CNDD-FDD,CNDD-FDD,area/kayanza,KAYANZA,Assemblée nationale,2010,,,,
2010-16,GAHUNGU Juvénal,GAHUNGU Juvénal,,,,FRODEBU NYAKURI,FRODEBU NYAKURI,area/bujumbura-rural,BUJUMBURA-Rural,Assemblée nationale,2010,,,,
2010-17,GASUHUKE Jacques,GASUHUKE Jacques,,,,UPRONA,UPRONA,area/cankuzo,CANKUZO,Assemblée nationale,2010,,,,
2010-18,GASUTWA Bonaventure,GASUTWA Bonaventure,,,,UPRONA,UPRONA,area/bujumbura,BUJUMBURA,Assemblée nationale,2010,,,,
2010-19,HABONIMANA Odette,HABONIMANA Odette,,,,CNDD-FDD,CNDD-FDD,area/bujumbura-rural,BUJUMBURA-Rural,Assemblée nationale,2010,,,,
2010-20,HAKIZIMANA Emilien,HAKIZIMANA Emilien,,,,CNDD-FDD,CNDD-FDD,area/kayanza,KAYANZA,Assemblée nationale,2010,,,,
2010-21,HATUNGIMANA Léonidas,HATUNGIMANA Léonidas,,,,CNDD-FDD,CNDD-FDD,area/cankuzo,CANKUZO,Assemblée nationale,2010,,,,
2010-22,HAVYARIMANA Juvénal,HAVYARIMANA Juvénal,,,,CNDD-FDD,CNDD-FDD,area/bubanza,BUBANZA,Assemblée nationale,2010,,,,
