id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
45,E M Britto,,,,Association for the Advancement of Civil Rights,association_for_the_advancement_of_civil_rights,,,Parliament,7,"","",,
50,F Vasquez,,,,Gibraltar Social Democrats,gibraltar_social_democrats,,,Parliament,7,"","",,
51,H Corby,,,,unknown,unknown,,,Parliament,7,"","",,
40,J C Perez,,,,Gibraltar Socialist Labour Party,gibraltar_socialist_labour_party,,,Parliament,7,"","",,
22,J J Bossano,,,,unknown,unknown,,,Parliament,7,"","",https://upload.wikimedia.org/wikipedia/commons/2/2b/Joe_Bossano_on_National_Day_2011.jpg,male
41,J L Baldachino,,,,Gibraltar Socialist Labour Party,gibraltar_socialist_labour_party,,,Parliament,7,"","",,
43,J L Moss,,,,Gibraltar Socialist Labour Party,gibraltar_socialist_labour_party,,,Parliament,7,"","",,
37,J Pilcher,,,,Gibraltar Socialist Labour Party,gibraltar_socialist_labour_party,,,Parliament,7,"","",,
47,K W Harris,,,,unknown,unknown,,,Parliament,7,"","",,
53,L H Francis,,,,Gibraltar Social Democrats,gibraltar_social_democrats,,,Parliament,7,"","",,
38,M Feetham,,,,Gibraltar Socialist Labour Party,gibraltar_socialist_labour_party,,,Parliament,7,"","",,
39,M I Montegriffo,,,,Gibraltar Socialist Labour Party,gibraltar_socialist_labour_party,,,Parliament,7,"","",,
54,M Ramagge,,,,Gibraltar Social Democrats,gibraltar_social_democrats,,,Parliament,7,"","",,
52,P Cumming,,,,Gibraltar Social Democrats,gibraltar_social_democrats,,,Parliament,7,"","",,
48,P J Brooke,,,,unknown,unknown,,,Parliament,7,"","",,
49,P R Caruana,,,,Gibraltar Social Democrats,gibraltar_social_democrats,,,Parliament,7,"","",https://upload.wikimedia.org/wikipedia/commons/f/f5/Peter_Caruana_elected.jpg,male
42,R Mor,,,,Gibraltar Socialist Labour Party,gibraltar_socialist_labour_party,,,Parliament,7,"","",,
