id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
28e035ec-6f8a-42b5-8533-29e2c5b3be84,ABDIROV Nurlan Mazhitovich,ABDIROV Nurlan Mazhitovich,,,,Nur Otan,1,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1374?size=big,
e0452ce6-900b-42df-bad6-d31dac22da6d,ABILDAYEV Azamat Rahatovich,ABILDAYEV Azamat Rahatovich,,,,Ak Zhol,2,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1582?size=big,
0cc7019e-2061-40a0-9a81-ff5bbd43688e,AHMADIYEV Murat Abdureimuly,AHMADIYEV Murat Abdureimuly,,,,Independent,0,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1191?size=big,
fdabec3e-fdf7-4b1b-b868-461d65bf6766,AHMETBEKOV Zhambyl Auzhanovich,AHMETBEKOV Zhambyl Auzhanovich,,,,Communist People's Party,3,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1591?size=big,
9bd5f6f3-e74f-4ef9-b003-0e6fa3f0cca4,AIMBETOV Seitsultan Suleymenovich,AIMBETOV Seitsultan Suleymenovich,,,,Nur Otan,1,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1248?size=big,
d0188362-0521-4b57-bade-00c50f6c3b81,AISINA Mayra Arapovna,AISINA Mayra Arapovna,,,,Nur Otan,1,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1194?size=big,
8c7d9ef1-4531-4755-870b-8132963fefe1,ALIYEV Zhumatay,ALIYEV Zhumatay,,,,unknown,4,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1588?size=big,
057a3011-b33b-4200-b25f-2d7077e10174,ARONOVA Irina Petrovna,ARONOVA Irina Petrovna,,,,Nur Otan,1,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1415?size=big,
16e33117-f6cb-403a-9641-fe4b630c87d5,ASANGAZY Orazkul Asangazyқyzy,ASANGAZY Orazkul Asangazyқyzy,,,,Nur Otan,1,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1417?size=big,
90fc2a53-dce5-42b3-8712-0a6efd19f2a1,ASANOV Turarbek Mazhilovich,ASANOV Turarbek Mazhilovich,,,,Nur Otan,1,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/60?size=big,
476c3df5-da5b-406d-b022-23e7ec2132ad,ASHIM Nurgali Saduakasuly,ASHIM Nurgali Saduakasuly,,,,Nur Otan,1,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1420?size=big,
8e246db0-e233-4175-a9cf-0c034742940b,ASHIMBAYEV Maulen Sagathanuly,ASHIMBAYEV Maulen Sagathanuly,,,,Nur Otan,1,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1423?size=big,
15149450-81a6-41a0-b3ba-3abd8e98e8e9,BALIEVA ZagipaYahyanovna,BALIEVA ZagipaYahyanovna,,,,Nur Otan,1,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1368?size=big,
8f50958d-2ff6-4b58-8899-55d46ffa89d5,BAYMAKHANOVA Galina Alexandrovna,BAYMAKHANOVA Galina Alexandrovna,,,,Communist People's Party,3,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1435?size=big,
919d173a-5eb4-4a74-bdcf-2365272338a2,BAZARBAYEV Askar Ermurzaevich,BAZARBAYEV Askar Ermurzaevich,,,,Nur Otan,1,,,Mazhilis,5,,,http://www.parlam.kz/en/mazhilis/People/PersonImage/1426?size=big,
