id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
alexandera_otway-noel,Alexandera Otway-Noel,,,,New National Party,NNP,area/st._george_south,St. George South,House of Representatives,2013,,,,
alvin_dabreo,Alvin Dabreo,,,,New National Party,NNP,area/st._john,St. John,House of Representatives,2013,,,,
anthony_boatswain,Anthony Boatswain,,,,New National Party,NNP,area/st._patrick_west,St. Patrick West,House of Representatives,2013,,,,
clarice_modeste-curwen,Clarice Modeste-Curwen,,,,New National Party,NNP,area/st._mark,St. Mark,House of Representatives,2013,,,,
clifton_paul,Clifton Paul,,,,New National Party,NNP,area/st._patrick_east,St. Patrick East,House of Representatives,2013,,,,
delma_thomas,Delma Thomas,,,,New National Party,NNP,area/st._andrew_north_west,St. Andrew North West,House of Representatives,2013,,,,
elvin_nimrod,Elvin Nimrod,,,,New National Party,NNP,area/carriacou_&_petite_martinique,Carriacou & Petite Martinique,House of Representatives,2013,,,,
emmalin_pierre,Emmalin Pierre,,,,New National Party,NNP,area/st._andrew_south_east,St. Andrew South East,House of Representatives,2013,,,,
gregory_bowen,Gregory Bowen,,,,New National Party,NNP,area/st._george_south_east,St. George South East,House of Representatives,2013,,,,
keith_mitchell,Keith Mitchell,,,,New National Party,NNP,area/st._george_north_west,St. George North West,House of Representatives,2013,,,,
niickolas_steele,Niickolas Steele,,,,New National Party,NNP,area/town_of_st._george,Town of St. George,House of Representatives,2013,,,,
oliver_joseph,Oliver Joseph,,,,New National Party,NNP,area/st._david,St. David,House of Representatives,2013,,,,
roland_bhola,Roland Bhola,,,,New National Party,NNP,area/st._andrew_north_east,St. Andrew North East,House of Representatives,2013,,,,
tobias_clement,Tobias Clement,,,,New National Party,NNP,area/st._george_north_east,St. George North East,House of Representatives,2013,,,,
yolande_bain_-_horseford,Yolande Bain - Horseford,,,,New National Party,NNP,area/st._andrew_south_west,St. Andrew South West,House of Representatives,2013,,,,
