id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
14013,Adam Ingram,Adam Ingram,,,,Scottish National Party,scottish-national-party,area/south_of_scotland,South of Scotland,Scottish Parliament,1,,,,
10441,Alasdair Morgan,Alasdair Morgan,,,,Scottish National Party,scottish-national-party,area/galloway_and_upper_nithsdale,Galloway and Upper Nithsdale,Scottish Parliament,1,,,,
14067,Alasdair Morrison,Alasdair Morrison,,,,Labour,labour,area/western_isles,Western Isles,Scottish Parliament,1,,,,
13985,Alex Fergusson,Alex Fergusson,,,,Conservative,conservative,area/south_of_scotland,South of Scotland,Scottish Parliament,1,,,,
14020,Alex Johnstone,Alex Johnstone,,,,Conservative,conservative,area/north_east_scotland,North East Scotland,Scottish Parliament,1,,,,
14071,Alex Neil,Alex Neil,,,,Scottish National Party,scottish-national-party,area/central_scotland,Central Scotland,Scottish Parliament,1,,,,
10525,Alex Salmond,Alex Salmond,,,,Scottish National Party,scottish-national-party,area/banff_and_buchan,Banff and Buchan,Scottish Parliament,1,,2001-05-14,,
14121,Allan Wilson,Allan Wilson,,,,Labour,labour,area/cunninghame_north,Cunninghame North,Scottish Parliament,1,,,,
10628,Andrew Welsh,Andrew Welsh,,,,Scottish National Party,scottish-national-party,area/angus,Angus,Scottish Parliament,1,,,,
14122,Andrew Wilson,Andrew Wilson,,,,Scottish National Party,scottish-national-party,area/central_scotland,Central Scotland,Scottish Parliament,1,,,,
14023,Andy Kerr,Andy Kerr,,,,Labour,labour,area/east_kilbride,East Kilbride,Scottish Parliament,1,,,,
14033,Angus MacKay,Angus MacKay,,,,Labour,labour,area/edinburgh_south,Edinburgh South,Scottish Parliament,1,,,,
13998,Annabel Goldie,Annabel Goldie,,,,Conservative,conservative,area/west_of_scotland,West of Scotland,Scottish Parliament,1,,,,
11668,Ben Wallace,Ben Wallace,,,,Conservative,conservative,area/north_east_scotland,North East Scotland,Scottish Parliament,1,,,,
13945,Bill Aitken,Bill Aitken,,,,Conservative,conservative,area/glasgow,Glasgow,Scottish Parliament,1,,,,
13963,Bill Butler,Bill Butler,,,,Labour,labour,area/glasgow_anniesland,Glasgow Anniesland,Scottish Parliament,1,2000-11-23,,,
13943,Brian Adam,Brian Adam,,,,Scottish National Party,scottish-national-party,area/north_east_scotland,North East Scotland,Scottish Parliament,1,,,,
13988,Brian Fitzpatrick,Brian Fitzpatrick,,,,Labour,labour,area/strathkelvin_and_bearsden,Strathkelvin and Bearsden,Scottish Parliament,1,2001-06-07,,,
14066,Brian Monteith,Brian Monteith,,,,Conservative,conservative,area/mid_scotland_and_fife,Mid Scotland and Fife,Scottish Parliament,1,,,,
14068,Bristow Muldoon,Bristow Muldoon,,,,Labour,labour,area/livingston,Livingston,Scottish Parliament,1,,,,
13971,Bruce Crawford,Bruce Crawford,,,,Scottish National Party,scottish-national-party,area/mid_scotland_and_fife,Mid Scotland and Fife,Scottish Parliament,1,,,,
13970,Cathie Craigie,Cathie Craigie,,,,Labour,labour,area/cumbernauld_and_kilsyth,Cumbernauld and Kilsyth,Scottish Parliament,1,,,,
14017,Cathy Jamieson,Cathy Jamieson,,,,Labour,labour,"area/carrick,_cumnock_and_doon_valley","Carrick, Cumnock and Doon Valley",Scottish Parliament,1,,,,
14077,Cathy Peattie,Cathy Peattie,,,,Labour,labour,area/falkirk_east,Falkirk East,Scottish Parliament,1,,,,
14000,Christine Grahame,Christine Grahame,,,,Scottish National Party,scottish-national-party,area/south_of_scotland,South of Scotland,Scottish Parliament,1,,,,
13965,Colin Campbell,Colin Campbell,,,,Scottish National Party,scottish-national-party,area/west_of_scotland,West of Scotland,Scottish Parliament,1,,,,
13974,David Davidson,David Davidson,,,,Conservative,conservative,area/north_east_scotland,North East Scotland,Scottish Parliament,1,,,,
14058,David McLetchie,David McLetchie,,,,Conservative,conservative,area/lothians,Lothians,Scottish Parliament,1,,,,
11970,David Mundell,David Mundell,,,,Conservative,conservative,area/south_of_scotland,South of Scotland,Scottish Parliament,1,,,,
10091,Dennis Canavan,Dennis Canavan,,,,Independent,independent,area/falkirk_west,Falkirk West,Scottish Parliament,1,,,,
14063,Des McNulty,Des McNulty,,,,Labour,labour,area/clydebank_and_milngavie,Clydebank and Milngavie,Scottish Parliament,1,,,,
10168,Donald Dewar,Donald Dewar,,,,Labour,labour,area/glasgow_anniesland,Glasgow Anniesland,Scottish Parliament,1,,2000-10-11,,
10237,Donald Gorrie,Donald Gorrie,,,,Liberal Democrat,liberal-democrat,area/central_scotland,Central Scotland,Scottish Parliament,1,,,,
13979,Dorothy-Grace Elder,Dorothy-Grace Elder,,,,Independent,independent,area/glasgow,Glasgow,Scottish Parliament,1,,2002-04-30,,
13979,Dorothy-Grace Elder,Dorothy-Grace Elder,,,,Independent,independent,area/glasgow,Glasgow,Scottish Parliament,1,2002-05-01,,,
14003,Duncan Hamilton,Duncan Hamilton,,,,Scottish National Party,scottish-national-party,area/highlands_and_islands,Highlands and Islands,Scottish Parliament,1,,,,
14061,Duncan McNeil,Duncan McNeil,,,,Labour,labour,area/greenock_and_inverclyde,Greenock and Inverclyde,Scottish Parliament,1,,,,
14070,Elaine Murray,Elaine Murray,,,,Labour,labour,area/dumfries,Dumfries,Scottish Parliament,1,,,,
14099,Elaine Smith,Elaine Smith,,,,Labour,labour,area/coatbridge_and_chryston,Coatbridge and Chryston,Scottish Parliament,1,,,,
14108,Elaine Thomson,Elaine Thomson,,,,Labour,labour,area/aberdeen_north,Aberdeen North,Scottish Parliament,1,,,,
14086,Euan Robson,Euan Robson,,,,Liberal Democrat,liberal-democrat,area/roxburgh_and_berwickshire,Roxburgh and Berwickshire,Scottish Parliament,1,,,,
13980,Fergus Ewing,Fergus Ewing,,,,Scottish National Party,scottish-national-party,"area/inverness_east,_nairn_and_lochaber","Inverness East, Nairn and Lochaber",Scottish Parliament,1,,,,
14012,Fiona Hyslop,Fiona Hyslop,,,,Scottish National Party,scottish-national-party,area/lothians,Lothians,Scottish Parliament,1,,,,
14057,Fiona McLeod,Fiona McLeod,,,,Scottish National Party,scottish-national-party,area/west_of_scotland,West of Scotland,Scottish Parliament,1,,,,
14047,Frank McAveety,Frank McAveety,,,,Labour,labour,area/glasgow_shettleston,Glasgow Shettleston,Scottish Parliament,1,,,,
14030,George Lyon,George Lyon,,,,Liberal Democrat,liberal-democrat,area/argyll_and_bute,Argyll and Bute,Scottish Parliament,1,,,,
14084,George Reid,George Reid,,,,Scottish National Party,scottish-national-party,area/mid_scotland_and_fife,Mid Scotland and Fife,Scottish Parliament,1,,,,
14075,Gil Paterson,Gil Paterson,,,,Scottish National Party,scottish-national-party,area/central_scotland,Central Scotland,Scottish Parliament,1,,,,
14014,Gordon Jackson,Gordon Jackson,,,,Labour,labour,area/glasgow_govan,Glasgow Govan,Scottish Parliament,1,,,,
13978,Helen Eadie,Helen Eadie,,,,Labour,labour,area/dunfermline_east,Dunfermline East,Scottish Parliament,1,,,,
10395,Henry McLeish,Henry McLeish,,,,Labour,labour,area/central_fife,Central Fife,Scottish Parliament,1,,,,
14008,Hugh Henry,Hugh Henry,,,,Labour,labour,area/paisley_south,Paisley South,Scottish Parliament,1,,,,
14002,Iain Gray,Iain Gray,,,,Labour,labour,area/edinburgh_pentlands,Edinburgh Pentlands,Scottish Parliament,1,,,,
14098,Iain Smith,Iain Smith,,,,Liberal Democrat,liberal-democrat,area/north_east_fife,North East Fife,Scottish Parliament,1,,,,
14018,Ian Jenkins,Ian Jenkins,,,,Liberal Democrat,liberal-democrat,"area/tweeddale,_ettrick_and_lauderdale","Tweeddale, Ettrick and Lauderdale",Scottish Parliament,1,,,,
14116,Ian Welsh,Ian Welsh,,,,Labour,labour,area/ayr,Ayr,Scottish Parliament,1,,1999-12-21,,
14052,Irene McGugan,Irene McGugan,,,,Scottish National Party,scottish-national-party,area/north_east_scotland,North East Scotland,Scottish Parliament,1,,,,
14073,Irene Oldfather,Irene Oldfather,,,,Labour,labour,area/cunninghame_south,Cunninghame South,Scottish Parliament,1,,,,
14049,Jack McConnell,Jack McConnell,,,,Labour,labour,area/motherwell_and_wishaw,Motherwell and Wishaw,Scottish Parliament,1,,,,
13949,Jackie Baillie,Jackie Baillie,,,,Labour,labour,area/dumbarton,Dumbarton,Scottish Parliament,1,,,,
14051,Jamie McGrigor,Jamie McGrigor,,,,Conservative,conservative,area/highlands_and_islands,Highlands and Islands,Scottish Parliament,1,,,,
14104,Jamie Stone,Jamie Stone,,,,Liberal Democrat,liberal-democrat,"area/caithness,_sutherland_and_easter_ross","Caithness, Sutherland and Easter Ross",Scottish Parliament,1,,,,
14010,Janis Hughes,Janis Hughes,,,,Labour,labour,area/glasgow_rutherglen,Glasgow Rutherglen,Scottish Parliament,1,,,,
10618,Jim Wallace,Jim Wallace,,,,Liberal Democrat,liberal-democrat,area/orkney_islands,Orkney Islands,Scottish Parliament,1,,,,
14025,Johann Lamont,Johann Lamont,,,,Labour,labour,area/glasgow_pollok,Glasgow Pollok,Scottish Parliament,1,,,,
13983,John Farquhar Munro,John Farquhar Munro,,,,Liberal Democrat,liberal-democrat,"area/ross,_skye_and_inverness_west","Ross, Skye and Inverness West",Scottish Parliament,1,,,,
10284,John Home Robertson,John Home Robertson,,,,Labour,labour,area/east_lothian,East Lothian,Scottish Parliament,1,,,,
10375,John McAllion,John McAllion,,,,Labour,labour,area/dundee_east,Dundee East,Scottish Parliament,1,,,,
14091,John Scott,John Scott,,,,Conservative,conservative,area/ayr,Ayr,Scottish Parliament,1,2000-03-16,,,
10581,John Swinney,John Swinney,,,,Scottish National Party,scottish-national-party,area/north_tayside,North Tayside,Scottish Parliament,1,,,,
14124,John Young,John Young,,,,Conservative,conservative,area/west_of_scotland,West of Scotland,Scottish Parliament,1,,,,
