id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
10738,"ABAZI, Sadri",,,,PS,ps,area/tiranë,Tiranë,Kuvendi,8,,,http://www.parlament.al/web/pub/abazi_s_60_0.jpg,
20778,"ALHYSA, Erjeta",,,,PS,ps,area/tiranë,Tiranë,Kuvendi,8,,,,
16260,"ANGJELI, Anastas",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/web/pub/anastas_angjeli_13989_0.jpg,
10708,"BALLA, Taulant",,,,PS,ps,area/elbasan,Elbasan,Kuvendi,8,,,http://www.parlament.al/web/pub/balla_t_64_0.jpg,
10827,"BARAJ, Besnik",,,,PS,ps,area/tiranë,Tiranë,Kuvendi,8,,,http://www.parlament.al/web/pub/baraj_b_8023_0.jpg,
16357,"BEJKO, Gentian",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/web/pub/gentian_bejko_15245_0.jpg,
10842,"BERISHA, Sali",,,,unknown,unknown,,,Kuvendi,8,,,http://www.parlament.al/web/pub/kryeministri_7981_0.jpg,
19766,"BITRI, Robert",,,,LSI,lsi,area/fier,Fier,Kuvendi,8,,,http://www.parlament.al/web/pub/bitri_21844_0.jpg,
10711,"BLUSHI, Ben",,,,PS,ps,area/elbasan,Elbasan,Kuvendi,8,,,http://www.parlament.al/web/pub/blushi_b_72_0.jpg,
10797,"BODE, Ridvan",,,,PD,pd,area/korçë,Korçë,Kuvendi,8,,,http://www.parlament.al/web/pub/bode_r_73_0.jpg,
10781,"BOGDANI, Gerti",,,,PD,pd,area/tiranë,Tiranë,Kuvendi,8,,,http://www.parlament.al/web/pub/bogdani_g_8028_0.jpg,
10834,"BOÇI, Luçiano",,,,PD,pd,area/elbasan,Elbasan,Kuvendi,8,,,http://www.parlament.al/web/pub/boci_l_8027_0.jpg,
15842,"BRAHO, Spartak",,,,LSI,lsi,,,Kuvendi,8,,,http://www.parlament.al/show_image.php?file_id=14926,
10712,"BRAÇE, Erion",,,,PS,ps,area/fier,Fier,Kuvendi,8,,,http://www.parlament.al/web/pub/brace_e_74_0.jpg,
11170,"BREGU, Majlinda, PHD",,,,PD,pd,area/tiranë,Tiranë,Kuvendi,8,,,http://www.parlament.al/web/pub/majlinda_bregu_19142_0.jpg,
11164,"BUMÇI, Aldo",,,,PD,pd,area/lezhë,Lezhë,Kuvendi,8,,,http://www.parlament.al/web/pub/a_bumci_59_0.jpg,
16244,"BUSHATI, Helidon",,,,PD,pd,,,Kuvendi,8,,,http://www.parlament.al/web/pub/helidon_bushati_15051_0.jpg,
16243,"BYLYKBASHI, Oerd",,,,PD,pd,,,Kuvendi,8,,,http://www.parlament.al/web/pub/Person_m_38_0.gif,
15757,"BZHETAJ, Gjovalin",,,,PD,pd,,,Kuvendi,8,,,http://www.parlament.al/web/pub/gjovalin_bzhetaj_15054_0.jpg,
16197,"CAKA, Silva",,,,LSI,lsi,,,Kuvendi,8,,,http://www.parlament.al/web/pub/silva_caka_15052_0.jpg,
19681,"CANI, Shkëlqim",,,,unknown,unknown,,,Kuvendi,8,,,http://www.parlament.al/show_image.php?file_id=21713,
10811,"CARA, Igli",,,,PD,pd,area/durrës,Durrës,Kuvendi,8,,,http://www.parlament.al/web/pub/cara_i_8030_0.jpg,
15995,"CARA, Parid",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/show_image.php?file_id=14923,
10765,"DADE, Arta",,,,PS,ps,area/korçë,Korçë,Kuvendi,8,,,http://www.parlament.al/web/pub/dade_a_87_0.jpg,
15870,"DEDA, Albina",,,,PD,pd,area/lezhe.,Lezhe.,Kuvendi,8,,,http://www.parlament.al/web/pub/Person_m_38_0.gif,
19759,"DERVENI, Bujar",,,,LSI,lsi,area/durrës,Durrës,Kuvendi,8,,,http://www.parlament.al/web/pub/derveni_21826_0.jpg,
20153,"DHIMA, Antoneta",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/web/pub/dhima_22477_0.jpg,
10813,"DODA, Mesila",,,,PD,pd,area/fier,Fier,Kuvendi,8,,,http://www.parlament.al/web/pub/doda_m_8034_0.jpg,
20744,"DOGJANI, Asllan",,,,PD,pd,area/tiranë,Tiranë,Kuvendi,8,,,,
10691,"DOKLE, Namik",,,,PS,ps,area/durrës,Durrës,Kuvendi,8,,,http://www.parlament.al/web/pub/namik_dokle_8808_0.jpg,
10741,"DOSHI, Tom",,,,unknown,unknown,area/shkodër,Shkodër,Kuvendi,8,,,http://www.parlament.al/web/pub/doshi_t_94_0.jpg,
15834,"DUKA, Agron",,,,PR,pr,,,Kuvendi,8,,,http://www.parlament.al/web/pub/Person_m_38_0.gif,
10749,"DULE, Vangjel",,,,unknown,unknown,area/vlorë,Vlorë,Kuvendi,8,,,http://www.parlament.al/web/pub/vangjel_dule_14927_0.jpg,
16234,"DUZHA, Luan",,,,LSI,lsi,,,Kuvendi,8,,,http://www.parlament.al/web/pub/luan_duzha_15028_0.jpg,
15985,"Dashi, Kozma",,,,PD,pd,,,Kuvendi,8,,,http://www.parlament.al/web/pub/kozma_dashi_14423_0.jpg,
15836,"ELMAZI, Liljana",,,,PD,pd,,,Kuvendi,8,,,http://www.parlament.al/web/pub/liljana_elmazi_14024_0.jpg,
10767,"FINO, Bashkim",,,,PS,ps,area/korçë,Korçë,Kuvendi,8,,,http://www.parlament.al/web/pub/fino_b_96_0.jpg,
11188,"GAÇI, Artan",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/web/pub/artan_gaci_14913_0.jpg,
16339,"HAFIZI, Mimoza",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/show_image.php?file_id=15242,
20186,"HAJDARMATAJ, Mimoza",,,,PD,pd,area/kukës,Kukës,Kuvendi,8,,,,
20322,"HALIMI, Arbjola",,,,PD,pd,area/elbasan,Elbasan,Kuvendi,8,,,,
10761,"HALIMI, Eduard",,,,PD,pd,area/durrës,Durrës,Kuvendi,8,,,http://www.parlament.al/web/pub/halimi_e_8049_0.jpg,
11180,"HYSI, Vasilika",,,,PS,ps,area/tiranë,Tiranë,Kuvendi,8,,,http://www.parlament.al/show_image.php?file_id=14928,
10722,"Hoxha, Bedri",,,,PD,pd,area/dibër,Dibër,Kuvendi,8,,,http://www.parlament.al/web/pub/hoxha_b_8052_0.jpg,
10747,"IDRIZI, Shpëtim",,,,unknown,unknown,area/vlorë,Vlorë,Kuvendi,8,,,http://www.parlament.al/web/pub/idrizi_sh_109_0.jpg,
10721,"IMAMI, Arben",,,,PD,pd,area/elbasan,Elbasan,Kuvendi,8,,,http://www.parlament.al/web/pub/imami_a_8054_0.jpg,
10694,"ISLAMI, Kastriot",,,,unknown,unknown,area/tiranë,Tiranë,Kuvendi,8,,,http://www.parlament.al/web/pub/islami_k_111_0.jpg,
11204,"KADELI, Gjovalin",,,,unknown,unknown,area/lezhë.,Lezhë.,Kuvendi,8,,,http://www.parlament.al/web/pub/gjovalin_kadeli_15679_0.jpg,
17051,"KAMBERI, Dashamir",,,,PS,ps,area/gjirokastër,Gjirokastër,Kuvendi,8,,,http://www.parlament.al/show_image.php?file_id=19157,
15752,"KAPURANI, Piro",,,,LSI,lsi,,,Kuvendi,8,,,http://www.parlament.al/show_image.php?file_id=14143,
15751,"KETA, Roland",,,,PD,pd,,,Kuvendi,8,,,http://www.parlament.al/web/pub/Person_m_38_0.gif,
15755,"KLLOGJRI, Bujar",,,,LSI,lsi,,,Kuvendi,8,,,http://www.parlament.al/web/pub/bujar_kllogjri_14038_0.jpg,
20240,"KOPLIKU, Irma",,,,PD,pd,area/shkodër,Shkodër,Kuvendi,8,,,http://www.parlament.al/web/pub/irma_22588_0.png,
15780,"KOPLIKU, Namik",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/show_image.php?file_id=17623,
20388,"KOSTA, Vladimir",,,,PS,ps,area/tiranë,Tiranë,Kuvendi,8,,,http://www.parlament.al/web/pub/vladimir_kosta_foto_22838_0.jpg,
19689,"KOÇI, Ervin",,,,PS,ps,area/fier,Fier,Kuvendi,8,,,,
16229,"KRYEMADHI, Monika",,,,LSI,lsi,,,Kuvendi,8,,,http://www.parlament.al/web/pub/Person_m_38_0.gif,
16419,"KUSHI, Evis",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/web/pub/evis_kushi_15376_0.jpg,
10701,"LESKAJ, Valentina",,,,PS,ps,area/vlorë,Vlorë,Kuvendi,8,,,http://www.parlament.al/web/pub/leskaj_v_125_0.jpg,
10699,"LUTAJ, Piro",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/web/pub/lutaj_11213_0.jpg,
15914,"MAJKO, Pandeli",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/web/pub/pandeli_majko_14422_0.jpg,
16861,"MANJA, ULSI",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/web/pub/ulsi_manja_16716_0.jpg,
16288,"MARTO,Andrea",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/web/pub/andrea_marto_15112_0.jpg,
10754,"MEDIU, Fatmir",,,,unknown,unknown,area/korçë,Korçë,Kuvendi,8,,,http://www.parlament.al/web/pub/mediu_f_130_0.jpg,
10756,"META, Ilir",,,,unknown,unknown,area/tiranë.,Tiranë.,Kuvendi,8,,,http://www.parlament.al/web/pub/meta_i_133_0.jpg,
16237,"MIHAJ, Bedri",,,,PD,pd,,,Kuvendi,8,,,http://www.parlament.al/web/pub/Person_m_38_0.gif,
10675,"MIMA, Florjon",,,,PD,pd,,,Kuvendi,8,,,http://www.parlament.al/web/pub/mima_f_8074_0.jpg,
16343,"NDOKA, Arben",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/web/pub/Person_m_38_0.gif,
15773,"NDOKA, Nard",,,,Pavarur,pavarur,,,Kuvendi,8,,,http://www.parlament.al/web/pub/ndoka_n_141_0.jpg,
16263,"NOKA, Flamur",,,,PD,pd,,,Kuvendi,8,,,http://www.parlament.al/web/pub/Person_m_38_0.gif,
10786,"PALOKA, Edi",,,,PD,pd,area/tiranë,Tiranë,Kuvendi,8,,,http://www.parlament.al/web/pub/Person_m_38_0.gif,
10778,"PAPA, Gjergji",,,,PD,pd,area/korçë,Korçë,Kuvendi,8,,,http://www.parlament.al/web/pub/papa_gj_8098_0.jpg,
10789,"PATOZI, Astrit",,,,PD,pd,area/vlorë,Vlorë,Kuvendi,8,,,http://www.parlament.al/web/pub/patozi_a_147_0.jpg,
19750,"PENDAVINJI, Ilirjan",,,,PS,ps,area/korçë,Korçë,Kuvendi,8,,,,
11191,"PEZA, Dashamir",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/web/pub/Person_m_38_0.gif,
10794,"POLLO, Genc",,,,PD,pd,area/berat,Berat,Kuvendi,8,,,http://www.parlament.al/web/pub/pollo_g_8099_0.jpg,
11186,"PRENGA, Armando",,,,PS,ps,,,Kuvendi,8,,,http://www.parlament.al/web/pub/armando_prenga_14911_0.jpg,
