id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
2168,A B M Anwarul Hoque,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Manikganj,Jatiyo Sangshad,9,,
2145,A K M Fazlul Haque,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Sherpur,Jatiyo Sangshad,9,,
2291,A N M Shamsul Islam,,,Bangladesh Jamaat-e-Islami,07428ce6-74e8-41fd-bb65-4c9174dc2f66,Chittagong,Jatiyo Sangshad,9,,
2280,A.B.M. Abul Qasem,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Chittagong,Jatiyo Sangshad,9,,
2282,A.B.M. Fazle Karim Chowdhury,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Chittagong,Jatiyo Sangshad,9,,
2252,A.B.M. Ghulam Mostafa,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Comilla,Jatiyo Sangshad,9,,
2258,A.H.M Mustafa Kamal,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Comilla,Jatiyo Sangshad,9,,
2295,A.H.M. Hamidur Rahman Azad,,,Bangladesh Jamaat-e-Islami,07428ce6-74e8-41fd-bb65-4c9174dc2f66,Cox's Bazar,Jatiyo Sangshad,9,,
2254,A.K.M. Bahauddin,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Comilla,Jatiyo Sangshad,9,,
2037,A.K.M. Hafizur Rahman,,,Bangladesh Nationalist Party,9b9dc92d-974c-4500-b580-185817e7997b,Bogra,Jatiyo Sangshad,9,,
2027,A.K.M. Mayeedul Islam,,,Jatiya Party,0848b340-b308-4efe-a341-e11cdf61063b,Kurigram,Jatiyo Sangshad,9,,
2025,A.K.M. Mostafizur Rahman,,,Jatiya Party,0848b340-b308-4efe-a341-e11cdf61063b,Kurigram,Jatiyo Sangshad,9,,
2194,A.K.M. Mozammel Huq,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Gazipur,Jatiyo Sangshad,9,,
2183,A.K.M. Rahmatullah,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Dhaka,Jatiyo Sangshad,9,,
2127,A.K.M.A. Awal,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Pirojpur,Jatiyo Sangshad,9,,
2350,A.N.Mahfuza Khatun Baby Maudud,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Seat,Jatiyo Sangshad,9,,
2112,A.S.M. Feroz,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Patuakhali,Jatiyo Sangshad,9,,
2277,ABM Ashraf Uddin Nizan,,,Bangladesh Nationalist Party,9b9dc92d-974c-4500-b580-185817e7997b,Laxmipur,Jatiyo Sangshad,9,,
2124,ABM Ruhul Amin Howlader,,,Jatiya Party,0848b340-b308-4efe-a341-e11cdf61063b,Barisal,Jatiyo Sangshad,9,,
2069,"Abdul Karim Khandakar, Bir Uttam",,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Pabna,Jatiyo Sangshad,9,,
2133,Abdul Latif Siddique,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Tangail,Jatiyo Sangshad,9,,
2084,Abdul Mannan,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Jhenaidah,Jatiyo Sangshad,9,,
2174,Abdul Mannan Khan,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Dhaka,Jatiyo Sangshad,9,,
2253,Abdul Matin Khasru,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Comilla,Jatiyo Sangshad,9,,
2038,Abdul Momin Talukder,,,Bangladesh Nationalist Party,9b9dc92d-974c-4500-b580-185817e7997b,Bogra,Jatiyo Sangshad,9,,
2206,Abdullah AL Kaisar,,,Bangladesh Awami League,3304f855-2af1-41c9-adbd-79c38bec3177,Narayanganj,Jatiyo Sangshad,9,,
