id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
alfred_brin,Alfred Brin,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,
andy_laplace,Andy Laplace,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,
benoît_chauvin,Benoît Chauvin,,,,Tous pour Saint-Barth,tous_pour_saint-barth,,,Territorial Council,2012,,,,
bettina_cointre,Bettina Cointre,,,,Tous pour Saint-Barth,tous_pour_saint-barth,,,Territorial Council,2012,,,,
Q2792714,Bruno Magras,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,male
corinne_febrissy,Corinne Febrissy,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,
cécile_tiberghien,Cécile Tiberghien,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,
donald_gumbs,Donald Gumbs,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,
jean-marie_danet,Jean-Marie Danet,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,
juliette_gréaux,Juliette Gréaux,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,
karine_miot_richard,Karine Miot Richard,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,
marie-angèle_aubin,Marie-Angèle Aubin,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,
maxime_desouches,Maxime Desouches,,,,Saint-Barth en mouvement !,saint-barth_en_mouvement !,,,Territorial Council,2012,,,,
Q385483,Michel Magras,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,male
micheline_jacques,Micheline Jacques,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,
nicole_gréaux,Nicole Gréaux,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,
nils_dufau,Nils Dufau,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,
xavier_lédée,Xavier Lédée,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,
Élodie_laplace,Élodie Laplace,,,,Saint-Barth d'abord,saint-barth_d'abord,,,Territorial Council,2012,,,,
