id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
17130115,Alessandro Cardelli,,,Lista PDCS NS,lista_pdcs_ns,,Grand and General Council,2012,,
17016605,Alessandro De Biagi,,,Partito Socialista,partito_socialista,,Grand and General Council,2012,,
17016634,Alessandro Mancini,,,Partito Socialista,partito_socialista,,Grand and General Council,2012,,
17009046,Andrea Belluzzi,,,Partito dei Socialisti e dei Democratici,partito_dei_socialisti_e_dei_democratici,,Grand and General Council,2012,,
17016606,Andrea Zafferani,,,Civico 10,civico_10,,Grand and General Council,2012,,
17098208,Annamaria Muccioli,,,Lista PDCS NS,lista_pdcs_ns,,Grand and General Council,2012,,
17009037,Augusto Michelotti,,,Sinistra Unita,sinistra_unita,,Grand and General Council,2012,,
17009057,Denis Amici,,,Lista PDCS NS,lista_pdcs_ns,,Grand and General Council,2012,,
17016619,Denise Bronzetti,,,Independent,independent,,Grand and General Council,2012,,
17016613,Elena Tonnini,,,Movimento Civico R.E.T.E.,movimento_civico_r.e.t.e.,,Grand and General Council,2012,,
17141949,Enrico Carattoni,,,Partito dei Socialisti e dei Democratici,partito_dei_socialisti_e_dei_democratici,,Grand and General Council,2012,,
17128823,Fabio Berardi,,,Lista PDCS NS,lista_pdcs_ns,,Grand and General Council,2012,,
17016633,Federico Pedini Amati,,,Federico Pedini Amati,federico_pedini_amati,,Grand and General Council,2012,,
17016602,Filippo Tamagnini,,,Lista PDCS NS,lista_pdcs_ns,,Grand and General Council,2012,,
17016623,Francesca Michelotti,,,Sinistra Unita,sinistra_unita,,Grand and General Council,2012,,
17016599,Francesco Morganti,,,Partito dei Socialisti e dei Democratici,partito_dei_socialisti_e_dei_democratici,,Grand and General Council,2012,,
17009051,Franco Santi,,,Civico 10,civico_10,,Grand and General Council,2012,,
17002008,Gerardo Giovagnoli,,,Partito dei Socialisti e dei Democratici,partito_dei_socialisti_e_dei_democratici,,Grand and General Council,2012,,
17009044,Gian Franco Terenzi,,,Lista PDCS NS,lista_pdcs_ns,,Grand and General Council,2012,,
17016609,Gian Matteo Zeppa,,,Movimento Civico R.E.T.E.,movimento_civico_r.e.t.e.,,Grand and General Council,2012,,
17016610,Gian Nicola Berti,,,Lista PDCS NS,lista_pdcs_ns,,Grand and General Council,2012,,
