id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
achim_großmann,Achim Großmann,Grossmann!,,,,SPD,spd,area/nordrhein-westfalen,Nordrhein-Westfalen,Bundestag,12,,,,male
adolf_herkenrath,Adolf Herkenrath,Herkenrath!,,,,CDU,cdu,area/nordrhein-westfalen,Nordrhein-Westfalen,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/d/d3/KAS-Herkenrath,_Adolf-Bild-2170-1.jpg",male
adolf_ostertag,Adolf Ostertag,Ostertag!,,,,SPD,spd,area/nordrhein-westfalen,Nordrhein-Westfalen,Bundestag,12,,,,male
adolf_roth,Adolf Roth,Roth!,,,,CDU,cdu,area/hessen,Hessen,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/c/c9/KAS-Roth,_Adolf-Bild-19711-1.jpg",male
albert_deß,Albert Deß,Dess!,,,,CSU,csu,area/bayern,Bayern,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/c/c4/Dess,_Albert-9412.jpg",male
albert_pfuhl,Albert Pfuhl,Pfuhl!,,,,SPD,spd,area/hessen,Hessen,Bundestag,12,,,,male
albert_probst,Albert Probst,"Probst, Albert!",,,,CSU,csu,area/bayern,Bayern,Bundestag,12,,,,male
albrecht_müller_(publizist),Albrecht Müller,"Muller, Albrecht!",,,,SPD,spd,area/rheinland-pfalz,Rheinland-Pfalz,Bundestag,12,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/2012-03-22_Bonn_Albrecht_Mueller_FES_01.JPG,male
alexander_warrikoff,Alexander Warrikoff,Warrikoff!,,,,CDU,cdu,area/hessen,Hessen,Bundestag,12,,,,male
alfons_müller,Alfons Müller,"Muller, Alfons!",,,,CDU,cdu,area/nordrhein-westfalen,Nordrhein-Westfalen,Bundestag,12,,,,male
alfred_dregger,Alfred Dregger,Dregger!,,,,CDU,cdu,area/hessen,Hessen,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/c/c8/Bundesarchiv_B_145_Bild-F041436-0018,_Hamburg,_CDU-Bundesparteitag,_Dregger.jpg",male
alois_graf_von_waldburg-zeil_und_trauchburg,Alois Graf von Waldburg-Zeil,Waldburg!,,,,CDU,cdu,area/baden-württemberg,Baden-Württemberg,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/3/3c/KAS-Waldburg-Zeil,_Graf_Alois_von-Bild-2540-1.jpg",male
andrea_gysi,Andrea Lederer,Lederer!,,,,PDS,pds,area/mecklenburg-vorpommern,Mecklenburg-Vorpommern,Bundestag,12,,,,female
andreas_schmidt_(politiker),Andreas Schmidt,"Schmidt, Andreas!",,,,CDU,cdu,area/nordrhein-westfalen,Nordrhein-Westfalen,Bundestag,12,,,,male
andreas_schockenhoff,Andreas Schockenhoff,"Schockenhoff, Andreas!",,,schockenhoff,CDU,cdu,area/baden-württemberg,Baden-Württemberg,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/9/92/Schockenhoff,_Andreas-0311.jpg",male
andreas_von_bülow,Andreas von Bülow,Bulow!,,,,SPD,spd,area/baden-württemberg,Baden-Württemberg,Bundestag,12,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Andreas_Von_Bülow_Axis_for_Peace_2005-11-17.jpg,male
angela_merkel,Angela Merkel,"Merkel, Angela!",,,AngelaMerkel,CDU,cdu,area/mecklenburg-vorpommern,Mecklenburg-Vorpommern,Bundestag,12,,,https://upload.wikimedia.org/wikipedia/commons/2/2d/Angela_Merkel_Juli_2010_-_3zu4.jpg,female
angela_stachowa,Angela Stachowa,Stachowa!,,,,PDS,pds,area/sachsen,Sachsen,Bundestag,12,,,,female
angelika_barbe,Angelika Barbe,Barbe!,,,,SPD,spd,area/berlin,Berlin,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/9/9d/Bundesarchiv_Bild_183-1990-0421-332,_Angelika_Barbe.jpg",female
angelika_pfeiffer,Angelika Pfeiffer,Pfeiffer!,,,,CDU,cdu,area/sachsen,Sachsen,Bundestag,12,,,,female
anke_eymer,Anke Eymer,Eymer!,,,,CDU,cdu,area/schleswig-holstein,Schleswig-Holstein,Bundestag,12,,,,female
anke_fuchs,Anke Fuchs,"Fuchs, Anke!",,,,SPD,spd,area/nordrhein-westfalen,Nordrhein-Westfalen,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/e/e0/Bundesarchiv_B_145_Bild-F079278-0011,_Münster,_SPD-Parteitag,_Anke_Fuchs.jpg",female
anneliese_augustin,Anneliese Augustin,Augustin!,,,,CDU,cdu,area/hessen,Hessen,Bundestag,12,,,,female
anni_brandt-elsweier,Anni Brandt-Elsweier,Brandtelsweier!,,,,SPD,spd,area/nordrhein-westfalen,Nordrhein-Westfalen,Bundestag,12,,,,female
antje-marie_steen,Antje-Marie Steen,Steen!,,,,SPD,spd,area/schleswig-holstein,Schleswig-Holstein,Bundestag,12,,,,female
anton_pfeifer,Anton Pfeifer,Pfeifer!,,,,CDU,cdu,area/baden-württemberg,Baden-Württemberg,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/d/dd/KAS-Pfeifer,_Anton-Bild-2453-1.jpg",male
arne_börnsen,Arne Börnsen,"Bornsen, Arne!",,,,SPD,spd,area/niedersachsen,Niedersachsen,Bundestag,12,,,,male
arne_fuhrmann_(politiker),Arne Fuhrmann,Fuhrmann!,,,,SPD,spd,area/niedersachsen,Niedersachsen,Bundestag,12,,,,male
arno_schmidt_(politiker),Arno Schmidt,"Schmidt, Arno!",,,,FDP,fdp,area/sachsen,Sachsen,Bundestag,12,,,,male
arnulf_kriedner,Arnulf Kriedner,Kriedner!,,,,CDU,cdu,area/thüringen,Thüringen,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/0/07/KAS-Kriedner,_Arnulf-Bild-2395-1.jpg",male
axel_wernitz,Axel Wernitz,Wernitz!,,,,SPD,spd,area/bayern,Bayern,Bundestag,12,,,,male
barbara_höll,Barbara Höll,"Holl, Barbara!",,,,PDS,pds,area/sachsen,Sachsen,Bundestag,12,,,https://upload.wikimedia.org/wikipedia/commons/3/3e/Barbara-Hoell.jpg,female
barbara_weiler,Barbara Weiler,Weiler!,,,,SPD,spd,area/hessen,Hessen,Bundestag,12,,1994-08-14,,female
bartholomäus_kalb,Bartholomäus Kalb,"Kalb, Bartholomaus!",,,,CSU,csu,area/bayern,Bayern,Bundestag,12,,,https://upload.wikimedia.org/wikipedia/commons/c/c8/Bartholomäus_Kalb_2012.jpg,male
benno_zierer_(csu),Benno Zierer (CSU),Zierer!,,,,CSU,csu,area/bayern,Bayern,Bundestag,12,,,,male
bernd_henn,Bernd Henn,Henn!,,,,PDS,pds,area/sachsen-anhalt,Sachsen-Anhalt,Bundestag,12,,,,male
bernd_neumann,Bernd Neumann,"Neumann, Bernd!",,,,CDU,cdu,area/bremen,Bremen,Bundestag,12,,,https://upload.wikimedia.org/wikipedia/commons/a/a6/Bernd_Neumann_2009.jpg,male
bernd_protzner,Bernd Protzner,Protzner!,,,,CSU,csu,area/bayern,Bayern,Bundestag,12,,,,male
bernd_reuter_(spd),Bernd Reuter,Reuter!,,,,SPD,spd,area/hessen,Hessen,Bundestag,12,,,,male
bernd_schmidbauer,Bernd Schmidbauer,Schmidbauer!,,,,CDU,cdu,area/baden-württemberg,Baden-Württemberg,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/9/90/Bundesarchiv_B_145_Bild-F081046-0007,_Bonn,_Bundeshaus,_Kulturpreisträger_Eberhard.jpg",male
bernd_wilz,Bernd Wilz,Wilz!,,,,CDU,cdu,area/nordrhein-westfalen,Nordrhein-Westfalen,Bundestag,12,,,,male
bernhard_jagoda,Bernhard Jagoda,Jagoda!,,,,CDU,cdu,area/hessen,Hessen,Bundestag,12,,1993-02-07,https://upload.wikimedia.org/wikipedia/commons/a/a8/Bernhard_Jagoda_2012_by_Maseltov.jpg,male
bernhard_worms,Bernhard Worms,Worms!,,,,CDU,cdu,area/nordrhein-westfalen,Nordrhein-Westfalen,Bundestag,12,,1991-01-31,https://upload.wikimedia.org/wikipedia/commons/2/28/KAS-Birkesdorf-Bild-36464-1.jpg,male
berthold_wittich,Berthold Wittich,Wittich!,,,,SPD,spd,area/hessen,Hessen,Bundestag,12,,,,male
bertold_mathias_reinartz,Bertold Mathias Reinartz,Reinartz!,,,,CDU,cdu,area/nordrhein-westfalen,Nordrhein-Westfalen,Bundestag,12,,,,male
bertram_wieczorek,Bertram Wieczorek,"Wieczorek, Bertram!",,,,CDU,cdu,area/sachsen,Sachsen,Bundestag,12,,1994-01-31,,male
birgit_homburger,Birgit Homburger,"Homburger, Birgit!",,,,FDP,fdp,area/baden-württemberg,Baden-Württemberg,Bundestag,12,,,https://upload.wikimedia.org/wikipedia/commons/a/a4/2015-01-06_3323_Birgit_Homburger_(Dreikönigskundgebung_der_Liberalen).jpg,female
bodo_seidenthal,Bodo Seidenthal,Seidenthal!,,,,SPD,spd,area/niedersachsen,Niedersachsen,Bundestag,12,,,,male
brigitte_adler,Brigitte Adler,Adler!,,,,SPD,spd,area/baden-württemberg,Baden-Württemberg,Bundestag,12,,,,female
brigitte_baumeister,Brigitte Baumeister,Baumeister!,,,,CDU,cdu,area/baden-württemberg,Baden-Württemberg,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/2/2a/KAS-Baumeister,_Brigitte-Bild-2738-1.jpg",female
brigitte_lange_(mdb),Brigitte Lange,"Lange, Brigitte!",,,,SPD,spd,area/hessen,Hessen,Bundestag,12,,,,female
brigitte_schulte,Brigitte Schulte,Schulte!,,,,SPD,spd,area/niedersachsen,Niedersachsen,Bundestag,12,,,,female
bruno_menzel,Bruno Menzel,Menzel!,,,,FDP,fdp,area/sachsen-anhalt,Sachsen-Anhalt,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/0/07/Bundesarchiv_Bild_183-1990-0228-329,_Dr._Bruno_Menzel,_FDP-Vorsitzender.jpg",male
burkhard_hirsch,Burkhard Hirsch,Hirsch!,,,,FDP,fdp,area/nordrhein-westfalen,Nordrhein-Westfalen,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/0/00/Bundesarchiv_B_145_Bild-F060666-0023,_Köln,_FDP-Parteitag,_Hirsch.jpg",male
burkhard_zurheide,Burkhard Zurheide,Zurheide!,,,,FDP,fdp,area/nordrhein-westfalen,Nordrhein-Westfalen,Bundestag,12,,,,male
bärbel_sothmann,Bärbel Sothmann,Sothmann!,,,,CDU,cdu,area/hessen,Hessen,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/8/85/KAS-Sothmann,_Bärbel-Bild-25891-2.jpg",female
carl_ewen,Carl Ewen,Ewen!,,,,SPD,spd,area/niedersachsen,Niedersachsen,Bundestag,12,,,,male
carl-detlev_freiherr_von_hammerstein,Carl-Detlev Freiherr von Hammerstein,Hammerstein!,,,,CDU,cdu,area/niedersachsen,Niedersachsen,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/1/17/KAS-Hammerstein,_Charly_von-Bild-3040-1.jpg",male
carl-dieter_spranger,Carl-Dieter Spranger,Spranger!,,,,CSU,csu,area/bayern,Bayern,Bundestag,12,,,"https://upload.wikimedia.org/wikipedia/commons/3/3b/Bundesarchiv_B_145_Bild-F086612-0011,_1._Gesamtdeutsche_Bundesratssitzung,_Spranger.jpg",male
carl-ludwig_thiele,Carl-Ludwig Thiele,"Thiele, Carlludwig!",,,,FDP,fdp,area/niedersachsen,Niedersachsen,Bundestag,12,,,,male
christa_lörcher,Christa Lörcher,Lorcher!,,,,SPD,spd,area/baden-württemberg,Baden-Württemberg,Bundestag,12,1993-09-03,,,female
