id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
ALB15,Allyson Baksh,Allyson Baksh,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/ALB15.jpg,
ASI13,Avinash Singh,Avinash Singh,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/ASI13.jpg,
CKA01,Christine Kangaloo,Christine Kangaloo,,,,President of the Senate,president_of_the_senate,,,Senate,11,,,http://ttparliament.org/content_images/CKA01.jpg,
CLR15,Clarence Rambharat,Clarence Rambharat,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/CLR15.jpg,
DDK10,Daniel Dookie,Daniel Dookie,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/DDK10.jpg,
DS911,Daniel Solomon,Daniel Solomon,,,,UNC,unc,,,Senate,11,,,http://ttparliament.org/content_images/DS911.jpg,
DSM13,David Small,David Small,,,,Independent,independent,,,Senate,11,,,http://ttparliament.org/content_images/DSM13.jpg,
DNM15,Dennis Moses,Dennis Moses,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/DNM15.jpg,
DM13,Dhanayshar Mahabir,Dhanayshar Mahabir,,,,Independent,independent,,,Senate,11,,,http://ttparliament.org/content_images/DM13.jpg,
FCU01,Foster Cummings,Foster Cummings,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/FCU01.jpg,
FKH02,Franklin Khan,Franklin Khan,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/FKH02.jpg,
HRR13,H.R. Ian Roach,H.R. Ian Roach,,,,Independent,independent,,,Senate,11,,,http://ttparliament.org/content_images/HRR13.jpg,
HFZ15,Hafeez Ali,Hafeez Ali,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/HFZ15.jpg,
JBP15,Jennifer Baptiste-Primus,Jennifer Baptiste-Primus,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/JBP15.jpg,
JRF15,Jennifer Raffoul,Jennifer Raffoul,,,,Independent,independent,,,Senate,11,,,http://ttparliament.org/content_images/JRF15.jpg,
KHA15,Khadijah Ameen,Khadijah Ameen,,,,UNC,unc,,,Senate,11,,,http://ttparliament.org/content_images/KHA15.jpg,
LHE76,Lester Henry,Lester Henry,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/LHE76.jpg,
MRK15,Melissa Ramkissoon,Melissa Ramkissoon,,,,Independent,independent,,,Senate,11,,,http://ttparliament.org/content_images/MRK15.jpg,
NDS15,Nadine Stewart,Nadine Stewart,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/NDS15.jpg,
NDF15,Nigel De Freitas,Nigel De Freitas,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/NDF15.jpg,
PRI15,Paul Richards,Paul Richards,,,,Independent,independent,,,Senate,11,,,http://ttparliament.org/content_images/PRI15.jpg,
PGO01,Paula Gopee-Scoon,Paula Gopee-Scoon,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/PGO01.jpg,
RSL10,Rodger Samuel,Rodger Samuel,,,,COP,cop,,,Senate,11,,,http://ttparliament.org/content_images/RSL10.jpg,
SBU15,Sarah Budhu,Sarah Budhu,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/SBU15.jpg,
SKC15,Sophia Chote,Sophia Chote,,,,Independent,independent,,,Senate,11,,,http://ttparliament.org/content_images/SKC15.jpg,
SCR15,Stephen Creese,Stephen Creese,,,,Independent,independent,,,Senate,11,,,http://ttparliament.org/content_images/SCR15.jpg,
TRA14,Taurel Shrikissoon,Taurel Shrikissoon,,,,Independent,independent,,,Senate,11,,,http://ttparliament.org/content_images/TRA14.jpg,
VBH01,Vasant Bharath,Vasant Bharath,,,,UNC,unc,,,Senate,11,,,http://ttparliament.org/content_images/VBH01.jpg,
WMA01,Wade Mark,Wade Mark,,,,UNC,unc,,,Senate,11,,,http://ttparliament.org/content_images/WMA01.jpg,
WCO15,Walede Michael Coppin,Walede Michael Coppin,,,,PNM,pnm,,,Senate,11,,,http://ttparliament.org/content_images/WCO15.jpg,
WST13,Wayne Sturge,Wayne Sturge,,,,UNC,unc,,,Senate,11,,,http://ttparliament.org/content_images/WST13.jpg,
