id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
51,AMBETO BLAISE,AMBETO BLAISE,,,,PCT,pct,area/ngoko,NGOKO,Assemblee Nationale,13,,,http://www.assemblee-nationale.cg/upload_deputes/Harmoirie.jpg,male
62,AMPION PHILIPPE,AMPION PHILIPPE,,,,PCT,pct,area/mbon,MBON,Assemblee Nationale,13,,,http://www.assemblee-nationale.cg/upload_deputes/ampion.jpg,male
33,ANIABA PIERRE SYMPHORIEN,ANIABA PIERRE SYMPHORIEN,,,,PCT,pct,area/ngbala,NGBALA,Assemblee Nationale,13,,,http://www.assemblee-nationale.cg/upload_deputes/ANIABA%20Symphorien.jpg,male
48,AYESSA FIRMIN,AYESSA FIRMIN,,,,PCT,pct,area/makoua,MAKOUA,Assemblee Nationale,13,,,http://www.assemblee-nationale.cg/upload_deputes/AYESSA.jpg,male
69,BADIABIO JOSEPH,BADIABIO JOSEPH,,,,MCDDI,mcddi,area/makelekele2,MAKELEKELE2,Assemblee Nationale,13,,,http://www.assemblee-nationale.cg/upload_deputes/badiadio.jpg,male
70,BASSOUAMA PIERRE,BASSOUAMA PIERRE,,,,PRL,prl,area/makelekele3,MAKELEKELE3,Assemblee Nationale,13,,,http://www.assemblee-nationale.cg/upload_deputes/Harmoirie.jpg,male
28,BATHEAS JEAN MARIE,BATHEAS JEAN MARIE,,,,PCT,pct,area/epena2,EPENA2,Assemblee Nationale,13,,,http://www.assemblee-nationale.cg/upload_deputes/BATHEAS%20J.M.jpg,male
118,BATI BENOIT,BATI BENOIT,,,,Independent,independent,area/tsiaki,TSIAKI,Assemblee Nationale,13,,,http://www.assemblee-nationale.cg/upload_deputes/Harmoirie.jpg,male
111,BIDIMBOU MICHEL,BIDIMBOU MICHEL,,,,PCT,pct,area/kayes,KAYES,Assemblee Nationale,13,,,http://www.assemblee-nationale.cg/upload_deputes/Bidimbou.jpg,male
38,BININGA AIME ANGE WILFRID,BININGA AIME ANGE WILFRID,,,,PCT,pct,area/ewo2,EWO2,Assemblee Nationale,13,,,http://www.assemblee-nationale.cg/upload_deputes/Harmoirie.jpg,male
87,BIZONZI NOUNY GABRIEL,BIZONZI NOUNY GABRIEL,,,,Independent,independent,area/madibou,MADIBOU,Assemblee Nationale,13,,,http://www.assemblee-nationale.cg/upload_deputes/Harmoirie.jpg,male
