id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
Alexandre-BORDERO,Alexandre BORDERO,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",be30541d-fb2c-48fd-b01a-ed812313f66c,,National Council,2003,,
Anne-POYARD-VATRICAN,Anne POYARD-VATRICAN,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",be30541d-fb2c-48fd-b01a-ed812313f66c,,National Council,2003,,
Bernard-MARQUET,Bernard MARQUET,,,"UNAM (Union Nationale pour l'Avenir de Monaco), appartenant à la majorité UpM (Union pour Monaco)",0560157a-120a-4c6a-a12a-e4f3d04c8242,,National Council,2003,,
Brigitte-BOCCONE-PAGES,Brigitte BOCCONE-PAGES,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",be30541d-fb2c-48fd-b01a-ed812313f66c,,National Council,2003,,
Bruno-BLANCHY,Bruno BLANCHY,,,"UNAM (Union Nationale pour l'Avenir de Monaco), appartenant à la majorité UpM (Union pour Monaco)",0560157a-120a-4c6a-a12a-e4f3d04c8242,,National Council,2003,,
Catherine-FAUTRIER,Catherine FAUTRIER,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",be30541d-fb2c-48fd-b01a-ed812313f66c,,National Council,2003,,
Christine-PASQUIER-CIULLA,Christine PASQUIER-CIULLA,,,PM (Parti Monégasque),03d038f3-3f8c-4dad-b66c-1e16795a209c,,National Council,2003,,
Christophe-SPILIOTIS-SAQUET,Christophe SPILIOTIS-SAQUET,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",be30541d-fb2c-48fd-b01a-ed812313f66c,,National Council,2003,,
Claude-BOISSON,Claude BOISSON,c.boisson@conseil-national.mc,,Synergie Monégasque,031c9289-cc4f-4a88-9b7e-4e9740204fdc,,National Council,2003,,
Claude-CELLARIO,Claude CELLARIO,,,"UNAM (Union Nationale pour l'Avenir de Monaco), appartenant à la majorité UpM (Union pour Monaco)",0560157a-120a-4c6a-a12a-e4f3d04c8242,,National Council,2003,,
Daniel-RAYMOND,Daniel RAYMOND,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",be30541d-fb2c-48fd-b01a-ed812313f66c,,National Council,2003,,
Fabrice-NOTARI,Fabrice NOTARI,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",be30541d-fb2c-48fd-b01a-ed812313f66c,,National Council,2003,,
Henry-REY,Henry REY,,,RPM (Rassemblement Pour Monaco),440743a8-c439-4667-9ae6-4b611927a661,,National Council,2003,,
Jacques-RIT,Jacques RIT,j.rit@conseil-national.mc,,PFM (Promotion de la Famille Monégasque),5209a9a9-152e-49ed-808c-23a18a8488e2,,National Council,2003,,
Jean-Charles-GARDETTO,Jean-Charles GARDETTO,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",be30541d-fb2c-48fd-b01a-ed812313f66c,,National Council,2003,,
Jean-Francois-ROBILLON,Jean-François ROBILLON,jf.robillon@conseil-national.mc,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",be30541d-fb2c-48fd-b01a-ed812313f66c,,National Council,2003,,
Jean-Joseph-PASTOR,Jean-Joseph PASTOR,,,RPM (Rassemblement Pour Monaco),440743a8-c439-4667-9ae6-4b611927a661,,National Council,2003,,
Jean-Luc-NIGIONI,Jean-Luc NIGIONI,,,PFM (Promotion de la Famille Monégasque),5209a9a9-152e-49ed-808c-23a18a8488e2,,National Council,2003,,
Jean-Michel-CUCCHI,Jean-Michel CUCCHI,jm.cucchi@conseil-national.mc,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",be30541d-fb2c-48fd-b01a-ed812313f66c,,National Council,2003,,
Jean-Pierre-LICARI,Jean-Pierre LICARI,,,PFM (Promotion de la Famille Monégasque),5209a9a9-152e-49ed-808c-23a18a8488e2,,National Council,2003,,
Michele-DITTLOT,Michèle DITTLOT,,,"UNAM (Union Nationale pour l'Avenir de Monaco), appartenant à la majorité UpM (Union pour Monaco)",0560157a-120a-4c6a-a12a-e4f3d04c8242,,National Council,2003,,
Stephane-VALERI,Stéphane VALERI,,,Unknown,_unknown,,National Council,2003,,
Thomas-GIACCARDI,Thomas GIACCARDI,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",be30541d-fb2c-48fd-b01a-ed812313f66c,,National Council,2003,,
Vincent-PALMARO,Vincent PALMARO,,,PEP (Principauté Ethique Progrès),24003fe8-9586-4fde-a4d3-aac8502706f5,,National Council,2003,,
