id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
丁世忠,丁世忠,丁世忠,,,,unknown,unknown,area/福建省,福建省,National People’s Congress,12,,,,
丁仲礼,丁仲礼,丁仲礼,,,,unknown,unknown,area/西藏自治区,西藏自治区,National People’s Congress,12,,,,
丁列明,丁列明,丁列明,,,,unknown,unknown,area/浙江省,浙江省,National People’s Congress,12,,,,
丁宏锁,丁宏锁,丁宏锁,,,,unknown,unknown,area/安徽省,安徽省,National People’s Congress,12,,,,
丁小强,丁小强,丁小强,,,,unknown,unknown,area/湖北省,湖北省,National People’s Congress,12,,,,
丁来杭,丁来杭,丁来杭,,,,unknown,unknown,area/中国人民解放军,中国人民解放军,National People’s Congress,12,,,,
丁海春,丁海春,丁海春,,,,unknown,unknown,area/中国人民解放军,中国人民解放军,National People’s Congress,12,,,,
丁焰章,丁焰章,丁焰章,,,,unknown,unknown,area/湖北省,湖北省,National People’s Congress,12,,,,
丁玉华,丁玉华,丁玉华,,,,unknown,unknown,area/山东省,山东省,National People’s Congress,12,,,,
丁继业,丁继业,丁继业,,,,unknown,unknown,area/中国人民解放军,中国人民解放军,National People’s Congress,12,,,,
丁荣余,丁荣余,丁荣余,,,,unknown,unknown,area/江苏省,江苏省,National People’s Congress,12,,,,
丁雪峰,丁雪峰,丁雪峰,,,,unknown,unknown,area/山西省,山西省,National People’s Congress,12,,,,
万勇,万勇,万勇,,,,unknown,unknown,area/湖北省,湖北省,National People’s Congress,12,,,,
万卫星,万卫星,万卫星,,,,unknown,unknown,area/湖北省,湖北省,National People’s Congress,12,,,,
万建民,万建民,万建民,,,,unknown,unknown,area/江苏省,江苏省,National People’s Congress,12,,,,
万文雅,万文雅,万文雅,,,,unknown,unknown,area/天津市,天津市,National People’s Congress,12,,,,
万玲玲,万玲玲,万玲玲,,,,unknown,unknown,area/吉林省,吉林省,National People’s Congress,12,,,,
万连步,万连步,万连步,,,,unknown,unknown,area/山东省,山东省,National People’s Congress,12,,,,
万鄂湘,万鄂湘,万鄂湘,,,,unknown,unknown,area/湖北省,湖北省,National People’s Congress,12,,,,
万隆,万隆,万隆,,,,unknown,unknown,area/河南省,河南省,National People’s Congress,12,,,,
上官吉庆,上官吉庆,上官吉庆,,,,unknown,unknown,area/陕西省,陕西省,National People’s Congress,12,,,,
丘志勇,丘志勇,丘志勇,,,,unknown,unknown,area/广东省,广东省,National People’s Congress,12,,,,
丘杏红,丘杏红,丘杏红,,,,unknown,unknown,area/广东省,广东省,National People’s Congress,12,,,,
丛强滋,丛强滋,丛强滋,,,,unknown,unknown,area/山东省,山东省,National People’s Congress,12,,,,
丛斌,丛斌,丛斌,,,,unknown,unknown,area/河北省,河北省,National People’s Congress,12,,,,
严以新,严以新,严以新,,,,unknown,unknown,area/福建省,福建省,National People’s Congress,12,,,,
严纯华,严纯华,严纯华,,,,unknown,unknown,area/江西省,江西省,National People’s Congress,12,,,,
