id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
10734,Adam Bandt,adam.bandt.mp@aph.gov.au,http://twitter.com/adambandt,http://www.facebook.com/Adam.Bandt.MP,Australian Greens,australian_greens,ocd-division/country:au/state:vic/federal_electorate:melbourne,Melbourne,House of Representatives,43,,,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/M3C/upload_ref_binary/m3c.jpg,
10267,Alan Griffin,Alan.Griffin.MP@aph.gov.au,,https://www.facebook.com/griffin.alan,Australian Labor Party,australian_labor_party,ocd-division/country:au/state:vic/federal_electorate:bruce,Bruce,House of Representatives,43,,,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/VU5/upload_ref_binary/VU5.jpg,male
10748,Alan Tudge,,http://twitter.com/AlanTudgeMP,http://www.facebook.com/alantudgemp,Liberal Party,liberal_party,ocd-division/country:au/state:vic/federal_electorate:aston,Aston,House of Representatives,43,,,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/M2Y/upload_ref_binary/m2y.jpg,
10563,Alby Schultz,,,,Liberal Party,liberal_party,ocd-division/country:au/state:nsw/federal_electorate:hume,Hume,House of Representatives,43,,2013-08-05,,
10290,Alex Hawke,,http://twitter.com/alexhawkemp,http://www.facebook.com/alex.hawke.mp,Liberal Party,liberal_party,ocd-division/country:au/state:nsw/federal_electorate:mitchell,Mitchell,House of Representatives,43,,,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HWO/upload_ref_binary/HWO.jpg,male
10600,Alex Somlyay,,,,Liberal Party,liberal_party,ocd-division/country:au/state:qld/federal_electorate:fairfax,Fairfax,House of Representatives,43,,2013-08-05,,
10543,Amanda Rishworth,,http://twitter.com/AmandaRishworth,http://www.facebook.com/rishworth,Australian Labor Party,australian_labor_party,ocd-division/country:au/state:sa/federal_electorate:kingston,Kingston,House of Representatives,43,,,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HWA/upload_ref_binary/HWA.jpg,female
10377,Andrew Laming,,http://twitter.com/AndrewLamingMP,http://www.facebook.com/profile.php?id=100000494042921,Liberal Party,liberal_party,ocd-division/country:au/state:qld/federal_electorate:bowman,Bowman,House of Representatives,43,,,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/E0H/upload_ref_binary/E0H.jpg,male
10746,Andrew Leigh,andrew.leigh.mp@aph.gov.au,https://twitter.com/ALEIGHMP,http://www.facebook.com/pages/Andrew-Leigh-MP/129819533748295,Australian Labor Party,australian_labor_party,ocd-division/country:au/territory:act/federal_electorate:fraser,Fraser,House of Representatives,43,,,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/BU8/upload_ref_binary/bu8.jpg,
10544,Andrew Robb,Andrew.Robb.MP@aph.gov.au,http://twitter.com/AndrewRobbMP,,Liberal Party,liberal_party,ocd-division/country:au/state:vic/federal_electorate:goldstein,Goldstein,House of Representatives,43,,,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/FU4/upload_ref_binary/FU4.JPG,male
10601,Andrew Southcott,Andrew.Southcott.MP@aph.gov.au,https://www.facebook.com/AndrewSouthcottMP,http://www.facebook.com/people/Andrew-Southcott/564332755,Liberal Party,liberal_party,ocd-division/country:au/state:sa/federal_electorate:boothby,Boothby,House of Representatives,43,,,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/TK6/upload_ref_binary/TK6.JPG,male
10727,Andrew Wilkie,,http://twitter.com/WilkieMP,http://www.facebook.com/andrewwilkiemp,Independent,independent,ocd-division/country:au/state:tas/federal_electorate:denison,Denison,House of Representatives,43,,,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/C2T/upload_ref_binary/c2t.jpg,
