id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
atli_gíslason,Atli Gíslason,Atli Gíslason,,,,Independent,independent,area/south_constituency,South Constituency,Alþingi,2009,2011-03-21,,,
birgir_Ármannsson,Birgir Ármannsson,Birgir Ármannsson,,,,Independence Party,independence_party,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2009,,,,
birgitta_jónsdóttir,Birgitta Jónsdóttir,Birgitta Jónsdóttir,,,,Pirate Party,pirate_party,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2009,2012,,,
birkir_jónsson,Birkir Jónsson,Birkir Jónsson,,,,Progressive Party,progressive_party,area/northeast_constituency,Northeast Constituency,Alþingi,2009,,,,
bjarni_benediktsson,Bjarni Benediktsson,Bjarni Benediktsson,,,,Independence Party,independence_party,area/southwest_constituency,Southwest Constituency,Alþingi,2009,,,,
björgvin_sigurðsson,Björgvin Sigurðsson,Björgvin Sigurðsson,,,,Social Democratic Alliance,social_democratic_alliance,area/south_constituency,South Constituency,Alþingi,2009,,,,
björn_gíslason,Björn Gíslason,Björn Gíslason,,,,Left-Green Movement,left-green_movement,area/northeast_constituency,Northeast Constituency,Alþingi,2009,,,,
einar_guðfinnsson,Einar Guðfinnsson,Einar Guðfinnsson,,,,Independence Party,independence_party,area/northwest_constituency,Northwest Constituency,Alþingi,2009,,,,
eygló_harðardóttir,Eygló Harðardóttir,Eygló Harðardóttir,,,,Progressive Party,progressive_party,area/south_constituency,South Constituency,Alþingi,2009,,,,
gunnar_sveinsson,Gunnar Sveinsson,Gunnar Sveinsson,,,,Progressive Party,progressive_party,area/northwest_constituency,Northwest Constituency,Alþingi,2009,,,,
guðbjartur_hannesson,Guðbjartur Hannesson,Guðbjartur Hannesson,,,,Social Democratic Alliance,social_democratic_alliance,area/northwest_constituency,Northwest Constituency,Alþingi,2009,,,,
guðfríður_grétarsdóttir,Guðfríður Grétarsdóttir,Guðfríður Grétarsdóttir,,,,Left-Green Movement,left-green_movement,area/southwest_constituency,Southwest Constituency,Alþingi,2009,,,,
guðlaugur_Þórðarson,Guðlaugur Þórðarson,Guðlaugur Þórðarson,,,,Independence Party,independence_party,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2009,,,,
guðmundur_steingrímsson,Guðmundur Steingrímsson,Guðmundur Steingrímsson,,,,Bright Future,bright_future,area/northwest_constituency,Northwest Constituency,Alþingi,2009,2011-08-22,,,
helgi_hjörvar,Helgi Hjörvar,Helgi Hjörvar,,,,Social Democratic Alliance,social_democratic_alliance,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2009,,,,
höskuldur_Þórhallsson,Höskuldur Þórhallsson,Höskuldur Þórhallsson,,,,Progressive Party,progressive_party,area/northeast_constituency,Northeast Constituency,Alþingi,2009,,,,
illugi_gunnarsson,Illugi Gunnarsson,Illugi Gunnarsson,,,,Independence Party,independence_party,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2009,,,,
jóhanna_sigurðardóttir,Jóhanna Sigurðardóttir,Jóhanna Sigurðardóttir,,,,Social Democratic Alliance,social_democratic_alliance,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2009,,,,
jón_bjarnason,Jón Bjarnason,Jón Bjarnason,,,,Independent,independent,area/northwest_constituency,Northwest Constituency,Alþingi,2009,2013-01-24,,,
jón_gunnarsson,Jón Gunnarsson,Jón Gunnarsson,,,,Independence Party,independence_party,area/southwest_constituency,Southwest Constituency,Alþingi,2009,,,,
jónína_guðmundsdóttir,Jónína Guðmundsdóttir,Jónína Guðmundsdóttir,,,,Social Democratic Alliance,social_democratic_alliance,area/northeast_constituency,Northeast Constituency,Alþingi,2009,,,,
katrín_jakobsdóttir,Katrín Jakobsdóttir,Katrín Jakobsdóttir,,,,Left-Green Movement,left-green_movement,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2009,,,,
katrín_júlíusdóttir,Katrín Júlíusdóttir,Katrín Júlíusdóttir,,,,Social Democratic Alliance,social_democratic_alliance,area/southwest_constituency,Southwest Constituency,Alþingi,2009,,,,
kristján_júlíusson,Kristján Júlíusson,Kristján Júlíusson,,,,Independence Party,independence_party,area/northeast_constituency,Northeast Constituency,Alþingi,2009,,,,
kristján_möller,Kristján Möller,Kristján Möller,,,,Social Democratic Alliance,social_democratic_alliance,area/northeast_constituency,Northeast Constituency,Alþingi,2009,,,,
lilja_magnúsdóttir,Lilja Magnúsdóttir,Lilja Magnúsdóttir,,,,Left-Green Movement,left-green_movement,area/northwest_constituency,Northwest Constituency,Alþingi,2009,,,,
lilja_mósesdóttir,Lilja Mósesdóttir,Lilja Mósesdóttir,,,,Solidarity,solidarity,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2009,2011-03-21,,,
