id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
abdullah_bin_ahmed_al_malik,Abdullah bin Ahmed Al Malik,Abdullah bin Ahmed Al Malik,,,,None,none,ocd-division/country:om/region:mussandam/wilayah:bukha,Bukha,Majlis al-Shura,7,,,,
abdullah_bin_hamoud_al_nadabi,Abdullah bin Hamoud Al Nadabi,Abdullah bin Hamoud Al Nadabi,,,,None,none,ocd-division/country:om/region:dakhiliyah_region/wilayah:sumayil,Sumayil,Majlis al-Shura,7,,,,
abdullah_bin_khalifa_al_mej’ali,Abdullah bin Khalifa Al Mej’ali,Abdullah bin Khalifa Al Mej’ali,,,,None,none,ocd-division/country:om/region:a’_sharqiya_region/wilayah:masirah,Masirah,Majlis al-Shura,7,,,,
abdullah_bin_mohammed_al_balushi,Abdullah bin Mohammed Al Balushi,Abdullah bin Mohammed Al Balushi,,,,None,none,ocd-division/country:om/region:buraimi_governorate/wilayah:buraimi,Buraimi,Majlis al-Shura,7,,,,
abdullah_bin_mohammed_al_rahbi,Abdullah bin Mohammed Al Rahbi,Abdullah bin Mohammed Al Rahbi,,,,None,none,ocd-division/country:om/region:dakhiliyah_region/wilayah:bidbid,BidBid,Majlis al-Shura,7,,,,
abdullah_bin_salim_al_mukhaini,Abdullah bin Salim Al Mukhaini,Abdullah bin Salim Al Mukhaini,,,,None,none,ocd-division/country:om/region:a’_sharqiya_region/wilayah:sur,Sur,Majlis al-Shura,7,,,,
ahmed_bin_al_dur’ei,Ahmed bin Al Dur’ei,Ahmed bin Al Dur’ei,,,,None,none,ocd-division/country:om/region:dakhiliyah_region/wilayah:adam,Adam,Majlis al-Shura,7,,,,
ahmed_bin_hussain_al_sa’adi,Ahmed bin Hussain Al Sa’adi,Ahmed bin Hussain Al Sa’adi,,,,None,none,ocd-division/country:om/region:a’_sharqiya_region/wilayah:wadi_bani_khalid,Wadi Bani Khalid,Majlis al-Shura,7,,,,
ahmed_bin_mohammed_al_busaidi,Ahmed bin Mohammed Al Busaidi,Ahmed bin Mohammed Al Busaidi,,,,None,none,ocd-division/country:om/region:dakhiliyah_region/wilayah:manah,Manah,Majlis al-Shura,7,,,,
ahmed_bin_mohammed_al_shamsi,Ahmed bin Mohammed Al Shamsi,Ahmed bin Mohammed Al Shamsi,,,,None,none,ocd-division/country:om/region:buraimi_governorate/wilayah:al_shinaina,Al Shinaina,Majlis al-Shura,7,,,,
ahmed_bin_salim_bin_ali_ra’afeet,Ahmed bin Salim bin Ali Ra’afeet,Ahmed bin Salim bin Ali Ra’afeet,,,,None,none,ocd-division/country:om/region:dhofar_governorate/wilayah:dhalkut,Dhalkut,Majlis al-Shura,7,,,,
