id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
Alexandre-BORDERO,Alexandre BORDERO,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)","up_(union_pour_la_principauté),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Anne-POYARD-VATRICAN,Anne POYARD-VATRICAN,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)","up_(union_pour_la_principauté),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Bernard-MARQUET,Bernard MARQUET,,,"UNAM (Union Nationale pour l'Avenir de Monaco), appartenant à la majorité UpM (Union pour Monaco)","unam_(union_nationale_pour_l'avenir_de_monaco),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Brigitte-BOCCONE-PAGES,Brigitte BOCCONE-PAGES,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)","up_(union_pour_la_principauté),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Bruno-BLANCHY,Bruno BLANCHY,,,"UNAM (Union Nationale pour l'Avenir de Monaco), appartenant à la majorité UpM (Union pour Monaco)","unam_(union_nationale_pour_l'avenir_de_monaco),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Catherine-FAUTRIER,Catherine FAUTRIER,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)","up_(union_pour_la_principauté),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Christine-PASQUIER-CIULLA,Christine PASQUIER-CIULLA,,,PM (Parti Monégasque),pm_(parti_monégasque),,National Council,2003,,
Christophe-SPILIOTIS-SAQUET,Christophe SPILIOTIS-SAQUET,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)","up_(union_pour_la_principauté),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Claude-BOISSON,Claude BOISSON,c.boisson@conseil-national.mc,,Synergie Monégasque,synergie_monégasque,,National Council,2003,,
Claude-CELLARIO,Claude CELLARIO,,,"UNAM (Union Nationale pour l'Avenir de Monaco), appartenant à la majorité UpM (Union pour Monaco)","unam_(union_nationale_pour_l'avenir_de_monaco),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Daniel-RAYMOND,Daniel RAYMOND,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)","up_(union_pour_la_principauté),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Fabrice-NOTARI,Fabrice NOTARI,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)","up_(union_pour_la_principauté),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Henry-REY,Henry REY,,,RPM (Rassemblement Pour Monaco),rpm_(rassemblement_pour_monaco),,National Council,2003,,
Jacques-RIT,Jacques RIT,j.rit@conseil-national.mc,,PFM (Promotion de la Famille Monégasque),pfm_(promotion_de_la_famille_monégasque),,National Council,2003,,
Jean-Charles-GARDETTO,Jean-Charles GARDETTO,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)","up_(union_pour_la_principauté),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Jean-Francois-ROBILLON,Jean-François ROBILLON,jf.robillon@conseil-national.mc,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)","up_(union_pour_la_principauté),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Jean-Joseph-PASTOR,Jean-Joseph PASTOR,,,RPM (Rassemblement Pour Monaco),rpm_(rassemblement_pour_monaco),,National Council,2003,,
Jean-Luc-NIGIONI,Jean-Luc NIGIONI,,,PFM (Promotion de la Famille Monégasque),pfm_(promotion_de_la_famille_monégasque),,National Council,2003,,
Jean-Michel-CUCCHI,Jean-Michel CUCCHI,jm.cucchi@conseil-national.mc,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)","up_(union_pour_la_principauté),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Jean-Pierre-LICARI,Jean-Pierre LICARI,,,PFM (Promotion de la Famille Monégasque),pfm_(promotion_de_la_famille_monégasque),,National Council,2003,,
Michele-DITTLOT,Michèle DITTLOT,,,"UNAM (Union Nationale pour l'Avenir de Monaco), appartenant à la majorité UpM (Union pour Monaco)","unam_(union_nationale_pour_l'avenir_de_monaco),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Stephane-VALERI,Stéphane VALERI,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)","up_(union_pour_la_principauté),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Thomas-GIACCARDI,Thomas GIACCARDI,,,"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)","up_(union_pour_la_principauté),_appartenant_à_la_majorité_upm_(union_pour_monaco)",,National Council,2003,,
Vincent-PALMARO,Vincent PALMARO,,,PEP (Principauté Ethique Progrès),pep_(principauté_ethique_progrès),,National Council,2003,,
