id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
3214,Adelrich Jacob Schuler,,,,C,c,area/zh,ZH,National Council,39,,1975-06-01,,male
764,Albert Rüttimann,,,,C,c,area/ag,AG,National Council,39,,,,male
1638,Albin Breitenmoser,,,,C,c,area/bs,BS,National Council,39,,,,male
683,Alfons Müller,,,,C,c,area/lu,LU,National Council,39,,,,male
1729,Alfred Bussey,,,,S,s,area/vd,VD,National Council,39,,,,male
2989,Alfred Rasser,,,,U,u,area/ag,AG,National Council,39,,,,male
3118,Alfred Schaller,,,,R,r,area/bs,BS,National Council,39,,,,male
1253,Alfred Weber,,,,R,r,area/ur,UR,National Council,39,,,,male
1583,Alois Bommer,,,,C,c,area/tg,TG,National Council,39,,,,male
2383,Alois Hürlimann,,,,C,c,area/zg,ZG,National Council,39,,,,male
1184,Aloys Copt,,,,R,r,area/vs,VS,National Council,39,,,,male
1669,Andreas C. Brunner,,,,R,r,area/zg,ZG,National Council,39,,,,male
661,Andreas Dürr,,,,C,c,area/sg,SG,National Council,39,,,,male
667,Andreas Gerwig,,,,S,s,area/bs,BS,National Council,39,,,,male
1786,André Chavanne,,,,S,s,area/ge,GE,National Council,39,,,,male
780,André Gautier,,,,L,l,area/ge,GE,National Council,39,1972-11-30,,,male
2651,André Martin,,,,R,r,area/vd,VD,National Council,39,,,,male
708,Anton Muheim,,,,S,s,area/lu,LU,National Council,39,1974-11-26,,,male
1245,Anton Stadler,,,,C,c,area/sg,SG,National Council,39,,,,male
1562,Armand Bochatay,,,,C,c,area/vs,VS,National Council,39,,,,male
664,Armand-Auguste Forel,,,,T,t,area/vd,VD,National Council,39,,,,male
426,Arnold Koller,,,,C,c,area/ai,AI,National Council,39,,,,male
1239,Arthur Schmid,,,,S,s,area/ag,AG,National Council,39,,,,male
3487,Arthur Villard,,,,S,s,area/be,BE,National Council,39,,,,male
1379,August Albrecht,,,,C,c,area/nw,NW,National Council,39,,,,male
751,Bernard Meizoz,,,,S,s,area/vd,VD,National Council,39,,,,male
1214,Bernhard König,,,,-,-,area/be,BE,National Council,39,1974-06-10,,,male
3285,Carlo Speziali,,,,R,r,area/ti,TI,National Council,39,,,,male
1229,Charles Primborgne,,,,C,c,area/ge,GE,National Council,39,,,,male
680,Christian Merz,,,,S,s,area/ag,AG,National Council,39,1974-11-25,,,male
684,Daniel Müller,,,,R,r,area/so,SO,National Council,39,,,,male
1479,David Baumgartner,,,,S,s,area/gl,GL,National Council,39,,,,male
3670,Didier Wyler,,,,S,s,area/ti,TI,National Council,39,,,,male
160,Edgar Oehler,,,,C,c,area/sg,SG,National Council,39,,,,male
691,Eduard Rothen,,,,S,s,area/so,SO,National Council,39,,,,male
3555,Eduard von Waldkirch,,,,P,p,area/be,BE,National Council,39,,1972-02-05,,male
553,Elisabeth Blunschy-Steiner,,,,C,c,area/sz,SZ,National Council,39,,,,female
1216,Elisabeth Lardelli,,,,V,v,area/gr,GR,National Council,39,1974-06-10,,,female
1235,Emil Schaffer,,,,S,s,area/be,BE,National Council,39,,,,male
1196,Enrico Franzoni,,,,C,c,area/ti,TI,National Council,39,1973-11-27,,,male
1538,Ernst Bircher,,,,S,s,area/be,BE,National Council,39,,,,male
2226,Ernst Gugerli,,,,V,v,area/zh,ZH,National Council,39,1972-01-01,,,male
2262,Ernst Haller,,,,S,s,area/ag,AG,National Council,39,,,,male
3668,Ernst Wüthrich,,,,S,s,area/be,BE,National Council,39,,,,male
649,Erwin Akeret,,,,V,v,area/zh,ZH,National Council,39,1972-01-01,,,male
2073,Erwin Freiburghaus,,,,V,v,area/be,BE,National Council,39,1972-01-01,,,male
1222,Erwin Muff,,,,R,r,area/lu,LU,National Council,39,,,,male
3237,Erwin Schwendinger,,,,S,s,area/ar,AR,National Council,39,,1974-11-01,,male
3576,Erwin Waldvogel,,,,R,r,area/sh,SH,National Council,39,,,,male
1747,Ezio Canonica,,,,S,s,area/zh,ZH,National Council,39,,,,male
716,Felix Auer,,,,R,r,area/bl,BL,National Council,39,,,,male
1185,Fernand Corbat,,,,R,r,area/ge,GE,National Council,39,,,,male
3160,Florian Schlegel,,,,S,s,area/sg,SG,National Council,39,,1972-05-01,,male
787,Franco Masoni,,,,R,r,area/ti,TI,National Council,39,,,,male
573,Franz Eng,,,,R,r,area/so,SO,National Council,39,,,,male
2284,Franz Hayoz,,,,C,c,area/fr,FR,National Council,39,,,,male
2919,François Peyrot,,,,LE,le,area/ge,GE,National Council,39,,,,male
3079,Fred Rubi,,,,S,s,area/be,BE,National Council,39,,,,male
3110,Friedrich Salzmann,,,,U,u,area/be,BE,National Council,39,,,,male
1553,Fritz Blatti,,,,R,r,area/be,BE,National Council,39,,,,male
666,Fritz Ganz,,,,S,s,area/zh,ZH,National Council,39,,,,male
581,Fritz Hofmann,,,,V,v,area/be,BE,National Council,39,1972-01-01,,,male
2649,Fritz Marthaler,,,,V,v,area/be,BE,National Council,39,1972-01-01,,,male
3400,Fritz Tanner,,,,U,u,area/zh,ZH,National Council,39,,1974-06-01,,male
3575,Fritz Waldner,,,,S,s,area/bl,BL,National Council,39,,,,male
1181,Félix Carruzzo,,,,C,c,area/vs,VS,National Council,39,,,,male
