id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
25,A Collings,A Collings,,,,unknown,unknown,,,Parliament,3,"","",,
18,A J Canepa,A J Canepa,,,,unknown,unknown,,,Parliament,3,"","",,
13,A P Montegriffo,A P Montegriffo,,,,unknown,unknown,,,Parliament,3,"","",,
12,A W Serfaty,A W Serfaty,,,,unknown,unknown,,,Parliament,3,"","",,
23,F J Dellipiani,F J Dellipiani,,,,unknown,unknown,,,Parliament,3,"","",,
28,G T Restano,G T Restano,,,,unknown,unknown,,,Parliament,3,"","",,
19,H J Zammitt,H J Zammitt,,,,unknown,unknown,,,Parliament,3,"","",,
16,I Abecasis,I Abecasis,,,,unknown,unknown,,,Parliament,3,"","",,
27,J B Perez,J B Perez,,,,unknown,unknown,,,Parliament,3,"","",,
22,J J Bossano,J J Bossano,,,,unknown,unknown,,,Parliament,3,"","",,
24,J K Havers,J K Havers,,,,unknown,unknown,,,Parliament,3,"","",,
11,Joshua Hassan,Joshua Hassan,,,,unknown,unknown,,,Parliament,3,"","",,
15,M K Featherstone,M K Featherstone,,,,unknown,unknown,,,Parliament,3,"","",,
2,M Xiberras,M Xiberras,,,,unknown,unknown,,,Parliament,3,"","",,
10,P J Isola,P J Isola,,,,unknown,unknown,,,Parliament,3,"","",,
26,R G Valarino,R G Valarino,,,,unknown,unknown,,,Parliament,3,"","",,
1,R J Peliza,R J Peliza,,,,unknown,unknown,,,Parliament,3,"","",,
